rank	username	minecraft:crafted/minecraft:crimson_button
1	noam464	193
2	beeperbeeper5	178
3	Lord_Jord	92
4	Legendosh	81
5	rarrq	80
6	gcaisawesome	64
6	PigDab	64
6	EcksD	64
9	thewindmillman	33
10	Fuad_R	25
11	Jonafrog99	22
12	Awyrlas	21
13	500am	16
13	Rebytre	16
15	Skylord_Luke	12
16	Jackattack53	8
16	binman420	8
16	HellsSponge	8
19	djancak	7
20	gustarbite	4
21	Sleepy_Time_	3
22	pintsizedrogue	2
22	Merv__	2
22	Lez_	2
22	12Magner05	2
22	Smoke____	2
27	joethahobo	1
27	TheSecondLord	1
27	kekhon	1
27	Enderslayerxz3	1
