rank	username	minecraft:crafted/minecraft:wooden_pickaxe
1	ogoa	55
2	PlzNoBM	16
3	Frozil12	13
4	FishyBoy3811	12
4	Smoke____	12
6	beeperbeeper5	11
6	E775	11
8	Di_infiri	10
8	Typadopoulos	10
10	Chuglyfe	9
11	Akoot_	8
11	Racengan	8
11	Warlord324	8
14	Blackberry1310	7
14	FennYuzuna	7
16	ImpavidArcher	6
16	eitanzaki	6
16	TheSecondLord	6
16	sufjanlover	6
16	HellsSponge	6
16	fluddd	6
16	Skippeh	6
16	oxfordschool	6
24	Groovy_MoonBird	5
24	joethahobo	5
24	kekhon	5
24	aec9	5
24	Cattoh	5
24	chipklip	5
24	claivin	5
24	Freak_Genius	5
24	__tomato	5
24	jnp_gaming	5
34	I_Am_Mushkin	4
34	Mahoose	4
34	rarrq	4
34	MrExplorer	4
34	Kamflame10	4
34	Nach0Bear	4
34	thescout7	4
34	Tenns	4
34	hcb238	4
34	BlueZabu	4
34	dendydoom	4
34	fred870d	4
34	lizardfightclub	4
34	QueenShuvi	4
34	Blu3beast	4
34	GravitySaint	4
34	djancak	4
34	stahouo	4
34	Poppy235	4
34	PortlyPete69	4
54	numbra	3
54	ColeSnyder	3
54	Incinere	3
54	CoffeeNoir	3
54	FirsTimeGamingTV	3
54	heckface	3
54	Euclidoris	3
54	firesgal3116	3
54	TheRealGameBoy24	3
54	set67	3
54	mwrty	3
54	2Stout	3
54	gcaisawesome	3
54	Purplehere	3
54	fr_ser	3
54	Jackattack53	3
54	Parcc	3
54	Shychelsoo	3
54	RohnJosin	3
54	Maenara	3
54	NomadicRobin_	3
54	Shintiki	3
54	_Karmaa	3
54	El_Jalapeno	3
54	SkateboardR6	3
54	LordSpeed37	3
54	Eraxa	3
54	Soplight	3
54	CalebDHawk	3
54	KingMatthew506	3
54	EcksD	3
54	Sral7	3
54	h2p_emrld	3
87	HBA00_	2
87	seanitoo	2
87	_Virify_	2
87	SurelyJack	2
87	Froste131	2
87	PhantomsGhost_	2
87	Jalvajar	2
87	CueMix	2
87	zqw10k	2
87	adarkwindblows	2
87	teslawolf38	2
87	Foof13	2
87	elementorix	2
87	SaucyDark	2
87	hm947	2
87	TeamBreezy	2
87	Zippyzam	2
87	openatheclose	2
87	imthatpikachu	2
87	Swexti	2
87	Alphanzt99	2
87	Ozixar	2
87	Prodiginus	2
87	Cryptacity	2
87	bloodbiter	2
87	mattdaddyhart	2
87	m_be9	2
87	ABUSNA1996	2
87	MinttyFressh	2
87	MedSeaArch	2
87	cwin95	2
87	zorin123	2
87	_Dean_123	2
87	CyrusIsTired	2
87	Fullut	2
87	BreadFruggis	2
87	Robby_Cream	2
87	himak1	2
87	Inchef	2
87	actour	2
87	xxPipperDipperxx	2
87	VanJosh	2
87	noam464	2
87	Yuvl	2
87	mimbo1211	2
87	Peeing	2
87	BomberBoi69	2
87	SullyhS	2
87	CarltheCuck	2
87	gabriels543	2
87	Norrhede	2
87	Rumpletaezer	2
87	thewindmillman	2
87	Zythose	2
87	AlexStrange	2
87	Destroyer112221	2
87	MangoTheFish	2
87	Fast_Turtle	2
87	regulator75	2
87	tobinwilliams	2
87	DAD_1996	2
87	Chuvacevedo	2
87	RobotMinion101	2
87	PigDab	2
87	LuceImaginary	2
87	TheShyPig	2
87	XeroByMyth	2
87	ClemenPine	2
87	aa2x_	2
87	Blackerstons	2
87	Leyna3	2
87	TheTrueClipse	2
87	ChampBoii	2
87	Meepcraft	2
87	Fuhrer_Teemo	2
87	ori0le	2
87	ChocolatePepsi	2
87	dreamerasot	2
87	Captain_Nasty	2
87	The_Skramz	2
87	CookTheChef3	2
87	RaahLowe	2
87	ThatMan_Dave	2
87	Xclax101	2
87	freya__b	2
87	Blaiku	2
87	Groundler	2
87	VilsSwag	2
87	DarkLawD	2
87	MentheMan09	2
87	Hisiste	2
87	ceAndy200	2
87	Spacewardharpy7	2
87	sp00ky_ghost977	2
87	AlexBurnsRed	2
87	Ze_BaronKrigler	2
87	Nagasaki_Riku	2
87	Soul_Atreus	2
87	Kowcio_	2
87	AssFullaCum	2
87	BlankityMcBlank	2
87	obzii	2
87	Moetis	2
87	Devouching	2
87	JasmineGK	2
87	Enderslayerxz3	2
87	Legendosh	2
87	Powowowow	2
87	MusicMe1005	2
87	2blox	2
87	vandmanden	2
87	TechnoNinja64	2
87	5712	2
87	Goat_Man512	2
87	561cool	2
202	Gary_	1
202	Alexanderjac	1
202	MunkaKris	1
202	rats_life	1
202	Sheepwarder	1
202	BleachedBussy	1
202	Judaxx	1
202	Flamd	1
202	wylify	1
202	Bruh77	1
202	Mr_Worthless	1
202	RosaDoesMC	1
202	Louiis123	1
202	JaytheGeek	1
202	Lepthymo	1
202	Noxium_	1
202	Im_SMX	1
