rank	username	minecraft:crafted/minecraft:green_bed
1	Soplight	79
2	Groovy_MoonBird	64
3	Werbe	62
3	AssEatrAndLicker	62
5	rarrq	57
6	Kim_Jong_eel	39
7	Merv__	31
7	Ezekson	31
9	SvenskaHugo	30
10	NatrixxddxYT	28
11	Chromary	21
11	oxfordschool	21
13	slkiey	16
14	TheShyPig	15
15	T045RTY	12
16	seramalen	8
17	FishyBoy3811	7
17	The_slideV3	7
19	teslawolf38	6
19	Smoke____	6
21	kekhon	5
21	Kowcio_	5
23	titanlax	4
24	pintsizedrogue	3
24	SaucyDark	3
24	Lord_Jord	3
27	joethahobo	2
27	beeperbeeper5	2
27	loveseeker	2
27	EveryonesUncle	2
27	_Karmaa	2
27	Eraxa	2
27	lcvezra	2
27	Lowjinx	2
35	Mr_Byzantine	1
35	pZygh0st	1
35	AlazelTheReal	1
35	heckface	1
35	AdvertisingMerc	1
35	Scathra	1
35	jandrs	1
35	Kakolbus	1
35	thewindmillman	1
35	MustardDrinker	1
35	HellsSponge	1
35	halfbakedlasagna	1
35	Chaotic1s	1
35	DoctorMagnus	1
35	Dogcorn69420	1
35	alderban107	1
35	2blox	1
35	EcksDofficial	1
