rank	username	minecraft:crafted/minecraft:green_bed
1	SvenskaHugo	86
2	Soplight	79
3	Groovy_MoonBird	64
4	Werbe	62
5	rarrq	57
6	Kim_Jong_eel	39
7	Merv__	31
7	Ezekson	31
9	NatrixxddxYT	28
10	Chromary	21
10	oxfordschool	21
12	slkiey	16
13	TheShyPig	15
14	T045RTY	12
15	seramalen	8
16	FishyBoy3811	7
16	The_slideV3	7
18	pintsizedrogue	6
18	teslawolf38	6
18	Smoke____	6
21	kekhon	5
21	Kowcio_	5
23	titanlax	4
24	SaucyDark	3
24	Lord_Jord	3
24	2blox	3
27	joethahobo	2
27	beeperbeeper5	2
27	loveseeker	2
27	EveryonesUncle	2
27	_Karmaa	2
27	Eraxa	2
27	UCP_TheKingK	2
27	lcvezra	2
27	Lowjinx	2
36	Mr_Byzantine	1
36	pZygh0st	1
36	AlazelTheReal	1
36	Mahoose	1
36	heckface	1
36	AdvertisingMerc	1
36	Scathra	1
36	jandrs	1
36	Kakolbus	1
36	thewindmillman	1
36	MustardDrinker	1
36	HellsSponge	1
36	halfbakedlasagna	1
36	Chaotic1s	1
36	DoctorMagnus	1
36	Dogcorn69420	1
36	alderban107	1
36	EcksDofficial	1
