rank	username	minecraft:crafted/minecraft:white_stained_glass_pane
1	Jackattack53	23408
2	Spacewardharpy7	9280
3	beeperbeeper5	6954
4	joethahobo	6864
5	Mahoose	4000
6	mwrty	3564
7	noam464	3524
8	r123moore	3456
9	Groundler	2448
10	Blackberry1310	2032
11	rarrq	1842
12	pintsizedrogue	1608
13	Ezekson	1568
14	_Karmaa	1488
15	lordpipe	1456
15	Yamdalorian	1456
17	Lez_	1392
18	XboxPanda	1360
19	TheWickedBird	1264
20	Hyp3rion_	1136
20	Manaateee	1136
22	EMC_	1112
23	Werbe	1032
24	El_Jalapeno	1008
25	Blaiku	944
26	Di_infiri	896
27	burbankbuilder28	880
28	skitzxo	864
29	PigDab	856
30	FreakGenius	832
31	Merv__	808
32	xxPipperDipperxx	784
33	teslawolf38	768
34	TheShyPig	752
35	Motsaro	688
36	Hahaa_0	660
37	hanaryheatwave	640
38	luseis	624
39	Akoot_	592
40	Mattesco	576
41	SpacesickPrism	552
42	TheSecondLord	544
42	kekhon	544
44	CoffeeNoir	536
45	Inchef	528
45	Lord_Jord	528
47	MattieHD	512
47	Cocoamallows	512
49	YungMaki	480
49	xzvu	480
51	Buuck_	464
52	Yatitay	455
53	ImpavidArcher	384
53	Dakar_	384
53	mihimihimihi	384
56	crashomon	368
56	Eraxa	368
56	jnp_gaming	368
59	jimintyy	360
59	Steelynan	360
61	Huwulling	352
61	emrekn	352
63	eitanzaki	336
63	Winston_Ingram	336
65	CattSoup	335
66	Xalithia	320
67	IamCL4SSY	304
67	Legendosh	304
69	NinjaKnifeKill	288
70	RobotMinion101	272
70	obzii	272
72	Kakolbus	264
72	Kowcio_	264
74	Snowflowe	256
74	LexMakesHistory	256
76	SOA1RR	240
77	Rumpletaezer	232
78	Arceus1975	224
78	cedric72	224
78	xX_Stalin69_Xx	224
81	Druid95	216
82	drunkeeez	208
82	Parcc	208
84	Natty	192
84	titanlax	192
84	Skylord_Luke	192
84	PlasticOtari	192
88	ShedJr_	176
88	set67	176
88	Jimb0nat0r	176
91	Groovy_MoonBird	160
91	Alteriity	160
91	Mewar	160
91	Fuad_R	160
91	Decaying_Lotus	160
91	Skippeh	160
91	Enderxz3	160
98	_stets	144
98	Myszoaz	144
98	emreknugrlu	144
98	RadarHz	144
102	Tommhh	141
103	TechnoNinja64	136
104	cheerytomato	128
104	NoxxxxiS	128
104	Chromary	128
104	ApophisNova	128
104	NameGenerat0r	128
104	cog	128
104	miramyu	128
104	EcksD	128
104	MyNamaSheff	128
113	500am	120
113	SSytex_X	120
115	prizm_	112
115	pretty_pink_reno	112
115	TheKingK_	112
118	Jackster03	96
118	Swexti	96
118	Ch4osDoom64	96
118	Deathkob	96
118	GoofyBread	96
118	Quotary	96
124	SmashingPump	88
124	olliebollie48	88
124	Pumpkin_P_Patch	88
127	CLG_Kata	80
127	m_be9	80
127	Sloths_Ender	80
127	Septemb3r	80
127	ChillenChiggen	80
127	AlexxO_o	80
127	Inbefour	80
127	Blu3beast	80
127	Thunder_bird4337	80
136	Frozil20	64
136	diamondgolem35	64
136	ZigzagLily43042	64
136	Tiberonus	64
136	TheWildMateo	64
136	ougstur	64
136	thgrocks	64
136	weabis	64
136	TheTommyGun63	64
136	geekbird	64
136	__tomato	64
136	Soplight	64
136	jcool7	64
136	AltnumberF4	64
136	UrbanPlanningEx	64
151	AuroraValkyrie	56
151	Winklepicker279	56
151	Marbz_	56
151	Onennon	56
155	shineh10	48
155	HollieDaNugget	48
155	NieToksikpl	48
155	Crowman1	48
155	_witch_craft_	48
155	SvenskaHugo	48
155	tompup	48
155	annebolyn	48
163	ActualPatbaf	32
163	Stynxy	32
163	Notta	32
163	SteveCraftBlocks	32
163	Enigma0251	32
163	excelsionprime	32
163	thescout7	32
163	Krowuss	32
163	Hoid_the_Roamer	32
163	Hiryu27	32
163	Truckoss	32
163	groofles	32
163	SexcMf	32
163	bloomkieren	32
177	T045RTY	24
177	yaboo88	24
177	HellsSponge	24
177	zOnlyKroks	24
181	funeralhome	16
181	Mr_Byzantine	16
181	Niklas20114552	16
181	ImNotYuqii	16
181	KarlKaek	16
181	Iagoku	16
181	SaucyDark	16
181	Incinere	16
181	Prismyst	16
181	IgnoredBee	16
181	nocturne78	16
181	SquadMonster	16
181	royal_2	16
181	BobDeBouwer1337	16
181	ProfessorBee	16
181	Smashic	16
181	NotMeanttoChange	16
181	Eraza	16
181	orxngejuice	16
181	ROY4LE	16
181	ARandomHedge	16
181	bl1ss0	16
181	U_Mos_	16
181	Solar_Power	16
181	Azmodan_246	16
181	JETrotter	16
181	OreTheBear	16
181	Felenov	16
181	Eerini	16
181	LilLizardWizard	16
181	Ritter__	16
181	FiguraDei	16
181	Optiprimus	16
181	_Mythic____	16
181	pixelviolin	16
181	Kyrum2169	16
181	jaimshae	16
181	LeEricc	16
181	xorompole	16
181	ConnorDanky_	16
221	_Huge_Male_	8
221	Archsam	8
221	skroobiez	8
221	IWorkAtIkea	8
221	M_Patata	8
221	Olib3ar	8
221	Leyna3	8
221	MasterNueve	8
221	Smiguli_	8
221	BlankityMcBlank	8
