rank	username	minecraft:crafted/minecraft:map
1	pintsizedrogue	18471
2	HellsSponge	1532
3	beeperbeeper5	830
4	Werbe	802
5	EcksD	749
6	Zythose	695
7	YungMaki	513
8	oxfordschool	493
9	eitanzaki	440
10	joethahobo	412
11	Mahoose	399
12	MeetTheWollo	388
13	soundad	323
14	__tomato	317
15	fluddd	275
16	mariominejedi	269
17	Legendosh	268
18	pixelviolin	250
19	EcksDofficial	235
20	Merv__	227
21	Jackattack53	210
22	Smoke____	203
23	PlasticOtari	200
24	Hermanni__	190
25	Blaiku	189
26	Soplight	184
27	thewindmillman	183
28	noam464	154
29	Marbz_	151
30	ApophisNova	144
30	Ezekson	144
30	MyNamaSheff	144
33	rarrq	142
34	Kubeusz2010	140
35	500am	139
36	_Dean_123	135
37	claivin	126
38	kekhon	124
38	mihimihimihi	124
38	SSytex_X	124
41	Spacewardharpy7	115
42	xxPipperDipperxx	114
43	Jiminie	110
44	Rumpletaezer	109
45	Hyp3rion_	108
45	Steelynan	108
47	TheShyPig	107
48	Kowcio_	103
49	Inchef	102
50	EMC_	98
51	Fullut	95
51	Freak_Genius	95
53	SuperPooch06	90
54	PortlyPete69	86
55	SvenskaHugo	83
56	teslawolf38	80
56	bigstankyy	80
58	Blackberry1310	69
59	jnp_gaming	68
60	ROY4LE	64
60	binman420	64
60	Enderslayerxz3	64
63	seanitoo	61
63	mwrty	61
65	Chromary	60
65	Sral7	60
67	Skylord_Luke	58
68	EveryonesUncle	54
68	NameGenerat0r	54
70	Awyrlas	41
71	Akoot_	39
72	heckface	38
73	m_be9	37
73	TechnoNinja64	37
75	awesomeoneme	36
75	Smashic	36
75	gcaisawesome	36
75	SingedBread	36
79	lordpipe	35
80	AlexxO_o	34
81	KarlKaek	32
82	bloodbiter	30
83	Mr_Byzantine	26
83	Snowflowe	26
83	lcvezra	26
86	Fuhrer_Teemo	25
87	TooManyDuck	24
87	CoffeeNoir	24
87	12Magner05	24
87	Touched_Bread	24
87	Hoid_the_Roamer	24
92	diamondgolem35	23
93	ShedJr_	22
94	Swexti	21
94	XboxPanda	21
94	El_Jalapeno	21
97	Lord_Jord	20
98	Euclidoris	19
98	Malorn_Aetherius	19
98	MinttyFressh	19
98	MattieHD	19
98	DarlaMeow	19
103	PhantomsGhost_	18
103	Lez_	18
103	Kakolbus	18
103	LilyNova	18
103	MakeHistory157	18
103	CalebDHawk	18
109	Dedalus36	17
109	jacxhadow	17
111	Historical_Sand	16
111	TheSecondLord	16
111	Bumpy419	16
111	_naturell	16
111	Blu3beast	16
116	Drewen24	15
116	Luminad3	15
116	Groundler	15
116	Eraxa	15
120	gustarbite	14
120	Skippeh	14
120	OfficerAnvil	14
123	Arceus1975	12
124	Groovy_MoonBird	11
124	Drlzyy	11
124	H72l9w	11
124	_Boipl_	11
128	Alteriity	10
128	IWorkAtIkea	10
128	audiocracked	10
128	Darkgon	10
128	stellarjay	10
133	Jovaphobic	9
133	Sleek_Storm_721	9
133	MangoTheFish	9
133	pappaberg	9
133	epiksk8erduck	9
133	XxCookiequeenxX	9
133	Fildyr	9
133	TheTommyGun63	9
133	iSammael	9
133	SexcMf	9
133	Shin69	9
133	Eczbek	9
133	Quotary	9
146	fffMike	8
147	Ryker	7
147	Kynigito	7
147	Kryktal	7
147	LexMakesHistory	7
147	Quaintster	7
147	Dusk_95	7
147	LetsDoItLive	7
147	obzii	7
147	Wolverine4302	7
156	_Razar	6
156	301851	6
156	Ssor69	6
156	Zaridey	6
156	Moofyman	6
156	censorsheep	6
156	Xclax101	6
163	PazinGaming	5
163	Hpdinosaur	5
163	youhjjhhhjj	5
163	CaptainBadKid	5
163	whoaluv	5
163	RobotMinion101	5
163	Onennon	5
163	Fuad_R	5
163	The_slideV3	5
163	Racengan	5
163	sp00ky_ghost977	5
163	LordSpeed37	5
175	Frozil20	4
175	Incinere	4
175	Mattesco	4
175	sufjanlover	4
175	Strangemonkey71	4
175	UCP_TheKingK	4
175	Vellu21	4
182	Alexanderjac	3
182	SlowMoNinja1994	3
182	MrExplorer	3
182	slkiey	3
182	Kamflame10	3
182	PegLegPete93	3
182	SamZombie	3
189	q_wq	2
189	ExtraDumb	2
189	Lukeee33	2
189	RatatJuice	2
189	livingdaydreams	2
189	Natty	2
189	MOSS000	2
189	SteveCraftBlocks	2
189	RustyKedel	2
189	LAVA129	2
189	Donutt	2
189	Maenara	2
189	FreddyFart	2
189	C0oOK13M0N5T3R	2
189	gaming4Naming	2
189	AstroLightz_	2
205	rats_life	1
205	Batoser	1
205	Ganongeek	1
205	Mowelan	1
205	Tommhh	1
205	ImpavidArcher	1
205	Tolhart	1
205	RebelAndroid	1
205	KomputerDude	1
205	Prismyst	1
205	Shadoko_	1
205	titanlax	1
205	shdesolt	1
205	Boboczus	1
205	Ardennes	1
205	_Nuf	1
205	ConcretePirate	1
205	DSYisDizzy	1
205	SHAOBADMAN	1
205	TakeThis2UrGrave	1
205	JitteryJared2	1
205	impossibleteapot	1
205	AlexStrange	1
205	CaptainDeadBread	1
205	JustAWill_	1
205	RodSerlingCringe	1
205	stuy9	1
205	aldplaysmc	1
205	Deathkob	1
205	rotten_mango	1
205	wobn	1
205	PartyPhoenix	1
205	chipklip	1
205	419mmurphy	1
205	Typadopoulos	1
205	Cocoamallows	1
205	starbits140	1
205	stahouo	1
205	SammiWolfGirl	1
205	Moetis	1
205	xX_Stalin69_Xx	1
205	Winston_Ingram	1
205	HuangMeiHua	1
205	Nicserso	1
205	FelixPSY375	1
