rank	username	minecraft:crafted/minecraft:cut_red_sandstone
1	Yamdalorian	5476
2	Frozil20	4100
3	royal_2	540
3	ROY4LE	540
5	legal_tax_evader	360
6	weabis	144
7	Manaateee	128
8	Legendosh	112
9	Xclax101	96
9	Steelynan	96
11	TheShyPig	64
11	cuddlyMonster	64
13	bl1ss0	60
14	QuiCreans	52
15	HellsSponge	48
16	RatatJuice	16
16	kekhon	16
16	Studio4x32	16
16	SvenskaSara	16
20	ImpavidArcher	13
21	Mr_Byzantine	8
22	oreee	4
22	JESS_THE_RERE	4
24	pixelviolin	2
25	TheSecondLord	1
25	ItsDeltaMC	1
25	Kowcio_	1
25	Soplight	1
