rank	username	minecraft:crafted/minecraft:brown_terracotta
1	thewindmillman	20476
2	Sral7	13776
3	Rumpletaezer	9856
4	YungMaki	9656
5	Huwulling	6212
6	EveryonesUncle	3368
7	ApophisNova	2112
7	MyNamaSheff	2112
9	PazinGaming	1536
10	Kowcio_	1344
11	Alteriity	1184
12	TheSecondLord	1088
13	joethahobo	1000
14	hanaryheatwave	864
15	Mattesco	800
16	Mahoose	716
17	oscminus	652
18	Frozil20	640
19	500am	512
19	emreknugrlu	512
21	titanlax	496
22	Mr_Byzantine	484
23	Onennon	480
24	ConnorDanky_	472
25	EcksD	408
26	Werbe	360
27	pintsizedrogue	320
27	groofles	320
29	xxPipperDipperxx	285
30	PlasticOtari	280
31	_Huge_Male_	232
32	bl1ss0	224
33	MattieHD	188
34	StarCookiees_	184
35	lordpipe	164
36	Hyp3rion_	156
36	luseis	156
38	Manaateee	152
39	The11thDoctor	128
40	StinkyDiplomat	120
41	myaccountwasgone	96
41	Snowflowe	96
41	Jimb0nat0r	96
44	beeperbeeper5	93
45	ImpavidArcher	84
46	Marbz_	64
46	Jackattack53	64
46	fragrantmonke444	64
49	EMC_	60
50	thescout7	48
50	The_slideV3	48
52	Karbl	40
52	DarlaMeow	40
52	07shiny	40
52	ZoomieZoomie	40
56	pixelviolin	26
57	noam464	24
57	Pumpkin_P_Patch	24
59	Merv__	16
59	Hiryu27	16
59	TechnoNinja64	16
62	Smashic	12
62	XxCookiequeenxX	12
64	Crowman1	8
64	kekhon	8
64	Deathkob	8
64	HellsSponge	8
64	ItsDeltaMC	8
64	Cache3	8
64	00000000-0000-0000-0009-01ff0c3e5e4f	8
71	Buuck_	2
72	EngagedGrub41	1
