rank	username	minecraft:crafted/minecraft:stone_shovel
1	LordSpeed37	996
2	noam464	710
3	Drawgirl	201
4	m_be9	183
5	aldplaysmc	93
6	xxPipperDipperxx	82
7	ExtraDumb	81
8	Iamthejo	79
9	Kryktal	78
10	Touched_Bread	71
11	LordAurum	58
12	Hyp3rion_	54
13	kaiwill0w	53
14	gcaisawesome	47
15	SteveCraftBlocks	46
16	xzvu	44
17	TheShyPig	43
17	Ezekson	43
19	ClemenPine	42
20	rarrq	39
21	H0UNDFRMH3LL	38
22	eitanzaki	36
23	brycepants	33
23	KlausVonStiglitz	33
23	FreakGenius	33
23	El_Jalapeno	33
27	firesgal3116	32
27	_Dean_123	32
27	Kymarmalade	32
27	FormulaNewt3627	32
27	Smaldo	32
32	stuy9	31
32	Soul_Atreus	31
34	himak1	30
35	U_Mos_	29
36	IgnoredBee	28
36	Nach0Bear	28
36	luseis	28
39	_darky1_	27
39	12Magner05	27
39	Kamflame	27
39	EdGalbraith	27
43	MC_Gamer_Geek	26
43	jnp_gaming	26
45	OreTheBear	24
45	PigDab	24
45	ReflexCode	24
48	dendydoom	23
48	rotten_mango	23
50	DASH_X7	22
50	Gus2005	22
50	TheWickedBird	22
53	Blackberry1310	21
54	_Virify_	20
54	Warlord324	20
54	TechnoNinja64	20
57	AJplaysMC_	19
57	MonitorLizards	19
57	Deathkob	19
57	Yamdalorian	19
61	KillerNekoRain	18
61	ooga47	18
63	ImpavidArcher	17
63	Prismyst	17
63	excelsionprime	17
63	Covalents	17
63	Boipl	17
63	Western_1	17
69	RoboTramp7865	16
70	Ryker	15
70	SidorAlex	15
70	2Stout	15
70	natajimi	15
70	NebulousBadger	15
75	kekhon	14
75	ThatMan_Dave	14
77	Tobinator_007	13
77	joethahobo	13
77	Dan_Scha	13
80	chlorinex	12
80	SHAOBADMAN	12
80	hanaryheatwave	12
80	Thomez_	12
80	Racengan	12
80	MADDMASTA	12
80	Kferno	12
80	CrazyPotater	12
88	Archsam	11
88	Ssor69	11
88	Cidah	11
88	ItzYaBoiPicard	11
88	BlueZabu	11
88	Winklepicker279	11
88	Bumpy419	11
88	Skylord_Luke	11
88	Sharkbyte0	11
88	cedric72	11
88	kkatsuragi	11
88	Tyrannosplart	11
88	DracZz	11
88	xorompole	11
102	Groovy_MoonBird	10
102	iElijahi	10
102	benediktine1	10
102	Zythose	10
102	RebytreGT	10
102	RohnJosin	10
102	wwwwinnebagoooo	10
109	Apollo_993	9
109	Merv__	9
109	planc_	9
109	LitoDelvito	9
109	Purplehere	9
