rank	username	minecraft:crafted/minecraft:jungle_boat
1	Werbe	167
1	AssEatrAndLicker	167
3	fluddd	164
4	HellsSponge	49
5	EveryonesUncle	41
6	_3Stump_	39
7	Blu3beast	38
8	mwrty	31
9	Hyp3rion_	28
10	kekhon	26
11	lordpipe	25
12	_Virify_	22
13	kinas45y5	20
14	Soplight	18
15	DarlaMeow	17
16	YungMaki	16
17	beeperbeeper5	13
18	AuroraValkyrie	12
18	himak1	12
18	07shiny	12
21	Kamflame10	10
21	Lord_Jord	10
23	Smoke____	9
24	Xalithia	7
24	sxc_	7
26	Blackberry1310	6
26	cedric72	6
26	Groundler	6
26	sebastiensaborio	6
30	TAKrules	5
30	Comma__	5
30	thescout7	5
30	Nycteus_	5
30	Frozil12	5
30	MightyWertu	5
30	MovingFish7	5
37	set67	4
37	PigDab	4
37	Njensen7	4
37	RadarHz	4
41	Bandito_Roamer	3
41	Swexti	3
41	IWorkAtIkea	3
41	titanlax	3
41	moderncraft	3
41	chipklip	3
41	Quaintster	3
41	_TCARREIRA_	3
41	Kferno	3
41	striker90333	3
41	Skippeh	3
52	peachfuzz1267	2
52	SaucyDark	2
52	Franco093	2
52	Mahoose	2
52	Cryptacity	2
52	_Dean_123	2
52	Fullut	2
52	TylerDupree	2
52	SeverianTheLame	2
52	Winklepicker279	2
52	RefluxRatio	2
52	ItsAki_	2
52	RobotMinion101	2
52	Inbefour	2
52	XxCookiequeenxX	2
52	The_slideV3	2
52	yatsuta	2
52	SammiWolfGirl	2
52	anbbang	2
71	Groovy_MoonBird	1
71	Thaumatarge	1
71	Mr_Byzantine	1
71	Harotio	1
71	MixerDixer	1
71	teslawolf38	1
71	KarlKaek	1
71	bigstankyy	1
71	superfred2010	1
71	openatheclose	1
71	livingdaydreams	1
71	NatrixxddxYT	1
71	MLG_Kirby69	1
71	Historical_Sand	1
71	rarrq	1
71	InfernalMound	1
71	Notta	1
71	_Nuf	1
71	Nach0Bear	1
71	Awyrlas	1
71	NotMeanttoChange	1
71	Ecplosive	1
71	Bazongoman	1
71	Giannism	1
71	Di_infiri	1
71	Useless_Relic	1
71	WET_WET_WET	1
71	AnnieBathory	1
71	BronkerBrum	1
71	Afinnity	1
71	OtariCharlie	1
71	Genius4Hire	1
71	Kim_Jong_eel	1
71	apn999	1
71	Deathkob	1
71	DemTechAlpha	1
71	Freak_Genius	1
71	Xovalt_	1
71	BlankityMcBlank	1
71	Spenduh	1
71	Ezekson	1
71	oxfordschool	1
71	Legendosh	1
71	HesDemonPants	1
71	Rahikeru	1
71	KASAN420	1
