rank	username	minecraft:crafted/minecraft:blaze_powder
1	noam464	9319
2	Di_infiri	6546
3	HellsSponge	3534
4	Hyp3rion_	2488
5	Smoke____	2052
6	eitanzaki	1968
7	thewindmillman	1572
8	EMC_	1322
9	xxPipperDipperxx	852
10	Sky_light_KING	824
11	Lord_Jord	806
12	PigDab	792
13	EveryonesUncle	782
14	beeperbeeper5	712
15	Segotep999	530
16	Frozil12	528
17	Fildyr	494
18	TheSecondLord	442
19	pintsizedrogue	426
20	YungMaki	412
21	r123moore	400
22	oxfordschool	392
23	Mahoose	348
24	Hoid_the_Roamer	344
25	fred870d	334
25	chipklip	334
25	PlasticOtari	334
28	Hisiste	314
29	Winston_Ingram	312
30	Jackattack53	298
31	HolyVenom	294
32	Inbefour	272
33	Vorlice	270
34	_Dean_123	258
34	GlitchyPlate810	258
36	ProfessorDiaper	256
36	SvenskaHugo	256
38	Spacewardharpy7	240
39	Blaiku	234
40	Racengan	230
41	SingedBread	224
42	thescout7	222
43	500am	214
44	kekhon	204
45	RebelAndroid	200
45	Inchef	200
47	NomadicRobin_	188
48	PhantomsGhost_	186
48	wezzzi	186
50	12Magner05	182
51	m_be9	180
52	Freak_Genius	168
52	stellarjay	168
54	Onennon	164
55	bloodbiter	154
56	Chromary	150
57	MyNameIsJobo	134
58	Auseawesome	128
58	CyrusIsTired	128
58	Smashic	128
58	Kkanot	128
58	lordpipe	128
63	Dedalus36	126
63	jnp_gaming	126
65	ProfessorBee	122
66	mwrty	121
67	Rumpletaezer	120
67	Zythose	120
69	dudcreeper	116
70	joethahobo	112
71	nataliecool	110
71	Historical_Sand	110
73	claivin	108
74	Drlzyy	106
75	Miko_Fullbuster	104
75	Ezekson	104
77	Cocoamallows	102
77	Soplight	102
79	FishisTTV	94
80	Eraxa	92
81	Rasmanden	88
82	Awyrlas	86
83	__tomato	82
84	Hermanni__	80
84	EcksD	80
86	King_Pancake1	78
86	audiocracked	78
88	Maenara	76
88	MilleGrug	76
90	Fullut	74
90	mimbo1211	74
90	Kubeusz2010	74
93	Bandito_Roamer	72
93	jacxhadow	72
93	AlphaWolfPlaysMC	72
93	stahouo	72
97	teslawolf38	70
97	alderban107	70
99	_naturell	68
100	Bumpy419	66
100	fluddd	66
100	TechnoNinja64	66
103	AlazelTheReal	64
103	DanTheBuilderino	64
105	Akoot_	62
105	_Bguette_	62
107	_Virify_	60
107	Blackberry1310	60
109	33sudo	58
110	livingdaydreams	56
110	set67	56
110	beeleg	56
113	loveseeker	52
114	gaziter10	50
114	Soap_Bender	50
114	djancak	50
117	sp00ky_ghost977	49
118	stavgod	48
119	6king6colt6	46
119	T045RTY	46
119	Euclidoris	46
119	Nach0Bear	46
119	egglapras	46
119	MeetTheWollo	46
125	CollinMH06	44
125	MightyWertu	44
125	ItsDeltaMC	44
128	XboxPanda	42
128	tobinwilliams	42
128	Groundler	42
128	diggydog67	42
132	Zaridey	40
132	Hiryu27	40
132	Enderslayerxz3	40
135	gabriels543	38
135	pappaberg	38
135	RodSerlingCringe	38
135	WyngGoy	38
135	Skippeh	38
140	BobDeBouwer1337	36
140	UncreativeArtist	36
140	yulgur1	36
140	DarlaMeow	36
144	surfinggiraffejp	35
145	Merv__	34
145	Arceus1975	34
145	TheShyPig	34
148	lotarp	33
149	SaucyDark	32
149	rarrq	32
149	ApophisNova	32
149	gustarbite	32
149	Nycteus_	32
149	Dogcorn69420	32
