rank	username	minecraft:crafted/minecraft:white_carpet
1	YungMaki	138501
2	joethahobo	76369
3	noam464	74894
4	Lez_	56133
5	QuiCreans	50465
6	EcksD	34122
7	Huwulling	30867
8	Kowcio_	29455
9	Spacewardharpy7	23707
10	crashomon	16587
11	skitzxo	14051
12	pretty_pink_reno	12541
13	Mahoose	12462
14	Manaateee	11115
15	CattSoup	10549
16	xxPipperDipperxx	10121
17	beeperbeeper5	8973
18	Di_infiri	8275
19	Crowman1	7574
20	HellsSponge	7200
21	Hyp3rion_	5457
22	Yamdalorian	5353
23	hermmm_	5103
24	heckface	4845
25	ElectricDragon81	4511
26	eitanzaki	4454
27	Rumpletaezer	3864
28	thewindmillman	3519
29	jnp_gaming	3093
30	TheSecondLord	3063
31	Quaintster	2838
32	lorywithay	2478
33	Jackattack53	2280
34	Kubeusz2010	2232
35	Swexti	1986
36	Lord_Jord	1978
37	m_be9	1968
38	emreknugrlu	1764
39	Snowflowe	1687
40	TheShyPig	1572
41	kekhon	1452
42	Frozil20	1257
43	FreakGenius	1146
44	Legendosh	1113
45	Njensen7	1095
46	Blaiku	1038
47	PlasticOtari	954
48	ProfessorBee	873
49	500am	831
50	Ezekson	828
51	r123moore	765
52	taengoos	744
53	PigDab	693
54	Rasmanden	678
55	MustaLoordi	663
56	Mattesco	657
57	Creativebuilder2	639
57	thescout7	639
59	Nicky19	576
60	Kakolbus	534
61	diggydog67	504
62	NoChumpChange	486
63	bl1ss0	481
64	MinttyFressh	480
64	Kiki_Majiki	480
66	Touched_Bread	477
67	sp00ky_ghost977	462
68	SvenskaHugo	456
69	ConnorDanky_	423
70	ayamefag	390
71	Hetti301	384
72	lordpipe	360
73	Hisiste	351
74	MightyWertu	321
75	M_Patata	303
75	MasterNueve	303
77	Zythose	297
77	Werbe	297
79	nstuartwilliams1	288
79	Krowuss	288
79	WyngGoy	288
82	CoffeeNoir	276
83	pintsizedrogue	267
83	AuroraValkyrie	267
83	Niklas20114552	267
86	hanaryheatwave	258
86	Quotary	258
88	ratglock	243
89	Fullut	234
90	Merv__	228
90	Groundler	228
92	fluddd	225
93	_Karmaa	222
94	RebelAndroid	219
94	Xalithia	219
96	cichy096	216
97	luseis	213
97	Jimb0nat0r	213
99	ApophisNova	204
99	MyNamaSheff	204
101	I_Am_Mushkin	201
102	Onennon	198
103	bloodbiter	195
103	Steelynan	195
105	NotMeanttoChange	192
105	emrekn	192
105	_8man	192
