rank	username	minecraft:crafted/minecraft:polished_andesite_slab
1	joethahobo	32341
2	Ezekson	4420
3	El_Jalapeno	3840
4	Spacewardharpy7	2308
5	Hyp3rion_	2130
6	burbankbuilder28	1984
7	EcksDofficial	1422
8	Inchef	1148
9	_TCARREIRA_	1004
10	noam464	996
11	titanlax	947
12	12Magner05	672
13	Skylord_Luke	540
14	Quotary	512
15	Jackattack53	498
16	Lord_Jord	494
17	fluddd	432
18	Dedalus36	414
19	Touched_Bread	384
20	CharlieButt	352
21	The_slideV3	342
22	Smoke____	338
23	Di_infiri	270
24	awesomeoneme	252
24	TheThomas69	252
24	Werbe	252
27	Natty	240
28	Drewen24	228
29	xxPipperDipperxx	216
30	oxfordschool	200
31	EveryonesUncle	198
32	Bazongoman	174
33	Hpdinosaur	156
33	beeperbeeper5	156
35	DarkS0L	152
36	rarrq	150
37	07shiny	144
38	Ssor69	126
38	theonlymagikarp	126
38	HyperCave	126
38	_Karmaa	126
38	Blu3beast	126
38	censorsheep	126
38	Groundler	126
38	Chaotic1s	126
46	_stets	120
47	r123moore	114
47	VentiHilton	114
49	Motsaro	112
50	PlasticOtari	110
51	CrookedKaptain	96
51	Warlord324	96
51	Kijiki	96
54	pintsizedrogue	92
55	eitanzaki	90
56	Tommhh	84
57	RoskobiOne	76
58	teslawolf38	72
58	xX_Stalin69_Xx	72
58	MissCeleste7	72
61	Zythose	66
61	obzii	66
61	Steelynan	66
64	Yahir091	62
65	Sloths_Ender	60
66	500am	54
66	_Boipl_	54
68	dedgt	48
68	Inbefour	48
68	Racengan	48
68	TechnoNinja64	48
68	YoshikageBites	48
73	NoxxxxiS	42
73	masskedman	42
73	fkndweeb	42
76	DermeinUser	36
76	Princesse_Louise	36
78	Incinere	30
78	youhjjhhhjj	30
78	yulgur1	30
81	diamondgolem35	24
81	m_be9	24
81	Ardennes	24
81	Stiar	24
81	TheShyPig	24
81	Matorz	24
81	Eraxa	24
81	underscore_2	24
89	Smashic	22
89	thewindmillman	22
91	Merv__	20
91	UCP_TheKingK	20
93	Cryptacity	18
93	MrExplorer	18
93	lilsay	18
93	Winklepicker279	18
93	CrateOfBoxes	18
93	Jiminie	18
93	Frozil12	18
93	GravitySaint	18
93	lcvezra	18
102	SquadMonster	14
102	CalebDHawk	14
104	Historical_Sand	12
104	tramizu	12
104	shdesolt	12
104	kekhon	12
104	Mariopreeet	12
104	Maenara	12
104	audiocracked	12
104	chipklip	12
104	mawileite	12
104	KingMatthew506	12
114	Mahoose	8
115	seanitoo	6
115	TheSecondLord	6
115	Comma__	6
115	NotMeanttoChange	6
115	Arceus1975	6
115	Snowflowe	6
115	dendydoom	6
115	Akoot_	6
115	Meatlaugh	6
115	Soap_Bender	6
115	DanTheBuilderino	6
115	Jamstroxian	6
115	Xclax101	6
115	MightyWertu	6
115	kinas45y5	6
115	The_SlideV5	6
115	00000000-0000-0000-0009-01f898304150	6
132	Kubelz	4
133	6king6colt6	2
133	Hisiste	2
133	Kowcio_	2
133	Soplight	2
