rank	username	minecraft:crafted/minecraft:purple_terracotta
1	thewindmillman	22768
2	YungMaki	13640
3	Rumpletaezer	4120
4	kekhon	3560
5	Awyrlas	2056
6	Inbefour	1608
7	lordpipe	1072
8	sxc_	704
9	joethahobo	680
10	PortlyPete69	672
11	Legendosh	560
12	TheSecondLord	544
13	bigstankyy	504
14	shineh10	496
15	Mr_Byzantine	464
16	Steelynan	408
17	EcksD	340
18	EMC_	312
19	nocturne78	208
20	Huwulling	136
21	rarrq	128
21	Kakolbus	128
23	pintsizedrogue	120
23	Sral7	120
25	luseis	116
26	RatatJuice	112
27	QuiCreans	64
27	Crowman1	64
27	Marbz_	64
27	Werbe	64
27	Eraxa	64
32	Jimb0nat0r	56
33	HellsSponge	52
34	ImpavidArcher	36
35	DarlaMeow	32
35	monky_irl	32
35	PlasticOtari	32
38	beeperbeeper5	24
38	gcaisawesome	24
38	Bumpy419	24
38	pixelviolin	24
38	Smoke____	24
43	noam464	23
44	AuroraValkyrie	16
44	SaucyDark	16
44	ZigzagLily43042	16
44	mwrty	16
44	Jiminbub	16
44	Soplight	16
50	eitanzaki	12
50	Elastiq	12
50	Lord_Jord	12
53	Bandito_Roamer	8
53	duqboy	8
53	NameGenerat0r	8
53	StinkyDiplomat	8
53	__Auspicious	8
53	Spacewardharpy7	8
53	ItsDeltaMC	8
53	Kowcio_	8
53	bloomkieren	8
53	The_SlideV5	8
63	Tyrannosplart	5
64	EngagedGrub41	1
