rank	username	minecraft:crafted/minecraft:oak_door
1	Mewar	1476
2	_Nuf	759
3	2Stout	579
4	joethahobo	234
5	beeperbeeper5	138
6	noam464	126
6	Werbe	126
8	BumbleBeever	123
9	YungMaki	99
10	Di_infiri	87
11	voiding_	84
12	Hermanni__	81
13	Onennon	78
14	Cocoamallows	76
15	Blackberry1310	72
15	TheShyPig	72
17	r123moore	69
18	Smoke____	63
19	Fullut	54
19	HellsSponge	54
21	EveryonesUncle	51
21	Racengan	51
23	Matemaks2137	42
23	eitanzaki	42
23	_Dean_123	42
23	diggydog67	42
27	lizardfightclub	40
28	Akoot_	39
29	crying_wolf_13	36
29	stellarjay	36
31	EcksD	33
31	Zoeyfortnite	33
33	Dedalus36	30
33	_Karmaa	30
33	stavgod	30
33	Luigipunch989	30
37	Groovy_MoonBird	27
37	CoffeeNoir	27
37	thewindmillman	27
37	Xclax101	27
37	Groundler	27
42	Soap_Bender	24
42	Drawgirll	24
44	Iagoku	21
44	youhjjhhhjj	21
44	bloodbiter	21
44	himak1	21
44	intropass	21
44	Zaridey	21
44	fred870d	21
44	QueenShuvi	21
44	Eczbek	21
44	Miko_Fullbuster	21
44	Ezekson	21
55	Yatitay	18
55	Paintz	18
55	SeverianTheLame	18
55	Rumpletaezer	18
55	Rocco_Lane	18
55	aec9	18
55	ToastedGamingYT	18
55	Syropatathe	18
55	lcvezra	18
55	Njensen7	18
55	Teebone15	18
66	Jovaphobic	15
66	pintsizedrogue	15
66	Menthas	15
66	Lez_	15
66	SteveCraftBlocks	15
66	nitram49b	15
66	_Crimson_Legate	15
66	lordpipe	15
66	Segotep999	15
66	Legendosh	15
66	PlasticOtari	15
77	TheFlfthHorseman	14
77	jewbacaman	14
79	PhantomsGhost_	12
79	Ev0luti0nz	12
79	FroggoTheDoggo	12
79	q_wq	12
79	ssleepless	12
79	ShedJr_	12
79	Swexti	12
79	titanlax	12
79	jacxhadow	12
79	YungJakobo	12
79	MattieHD	12
79	ROY4LE	12
79	Zythose	12
79	l3x07	12
79	kars0n	12
79	Skylord_Luke	12
79	Nicky19	12
79	bpmm	12
79	TheSeismicDuck	12
79	Inbefour	12
79	Darkgon	12
79	Quaintster	12
79	MovingFish7	12
79	TheEnderman548	12
79	SvenskaHugo	12
79	SSytex_X	12
79	Kferno	12
106	Bandito_Roamer	9
106	elicobnoah	9
106	Merv__	9
106	EMC_	9
106	BlancoFlaco	9
106	Incinere	9
106	Wooptey	9
106	T045RTY	9
106	Natty	9
106	Rox_The_Box	9
