rank	username	minecraft:crafted/minecraft:polished_granite_slab
1	joethahobo	29646
2	Smoke____	2682
3	Steelynan	1032
4	Touched_Bread	1026
5	beeperbeeper5	776
6	Frozil20	390
7	Doom_melon	326
8	malgosia14	258
9	Deerfoot	228
10	Werbe	192
11	TheThomas69	156
12	NameGenerat0r	150
13	Huwulling	126
13	Moofyman	126
13	ProfessorDiaper	126
13	SexcMf	126
13	stellarjay	126
18	BobDeBouwer1337	78
19	Mr_Byzantine	72
19	kekhon	72
19	Racengan	72
22	PazinGaming	66
22	ImpavidArcher	66
22	andy_rex	66
25	_TCARREIRA_	64
26	Matorz	48
27	mwrty	42
27	Nicserso	42
29	m_be9	36
29	Inbefour	36
31	ThiccExotic	30
31	jacxhadow	30
31	Winklepicker279	30
31	Lord_Jord	30
31	Meatlaugh	30
31	Eraxa	30
37	hayybails	24
38	Felenov	18
38	Maenara	18
40	himak1	12
40	Hoid_the_Roamer	12
40	Tyrannosplart	12
40	El_Jalapeno	12
40	MineMaster0012	12
40	tartanboy	12
40	Enderxz3	12
40	xolstoi	12
48	bpmm	8
48	PlasticOtari	8
50	Mahoose	6
50	2Stout	6
50	AnnieBathory	6
50	Drewen24	6
50	Tergandius	6
50	BlankityMcBlank	6
56	500am	2
56	Kowcio_	2
