rank	username	minecraft:crafted/minecraft:polished_granite_slab
1	joethahobo	29646
2	AdmiralSmoke	2682
3	Steelynan	1032
4	Touched_Bread	1026
5	beeperbeeper5	776
6	Frozil20	390
7	Doom_melon	326
8	tlustyCZARNY	258
9	Deerfoot	228
10	Werbe	192
11	TheThomas69	156
12	NameGenerat0r	150
13	Huwulling	126
13	Moofyman	126
13	ProfessorDiaper	126
13	SexcMf	126
13	stellarjay	126
18	BobDeBouwer1337	78
19	Mr_Byzantine	72
19	kekhon	72
19	Racengan	72
22	PazinGaming	66
22	ImpavidArcher	66
22	andy_rex	66
25	_TCARREIRA_	64
26	Nicserso	56
27	Matorz	48
28	mwrty	42
29	m_be9	36
29	Inbefour	36
31	MoistMicrowave	30
31	jacxhadow	30
31	Winklepicker279	30
31	Lord_Jord	30
31	Meatlaugh	30
31	Eraxa	30
37	hayybails	24
37	hanaryheatwave	24
39	Felenov	18
39	Maenara	18
41	himak1	12
41	Hoid_the_Roamer	12
41	Tyrannosplart	12
41	El_Jalapeno	12
41	MineMaster0012	12
41	tartanboy	12
41	Enderxz3	12
41	xolstoi	12
49	bpmm	8
49	Kowcio_	8
49	PlasticOtari	8
52	Mahoose	6
52	2Stout	6
52	AnnieBathory	6
52	R1CHY2K	6
52	Drewen24	6
52	Tergandius	6
52	BlankityMcBlank	6
59	500am	2
59	Jimb0nat0r	2
