rank	username	minecraft:crafted/minecraft:iron_leggings
1	Smoke____	110
2	pintsizedrogue	101
3	beeperbeeper5	89
4	joethahobo	48
5	Awyrlas	45
6	rarrq	40
7	teslawolf38	39
7	Lord_Jord	39
9	Frozil20	31
9	luseis	31
11	SmashingPump	30
12	PlasticOtari	29
13	lordpipe	28
14	TheSecondLord	27
14	TheShyPig	27
16	Spacewardharpy7	26
17	Hyp3rion_	24
18	Werbe	23
18	Blaiku	23
20	Quotary	22
21	Di_infiri	21
22	ConnorDanky_	20
23	xzvu	17
24	noam464	16
25	Ardennes	15
25	Smashic	15
25	monky_irl	15
28	Mahoose	14
28	EveryonesUncle	14
30	Kowcio_	13
31	RebelAndroid	12
31	yulgur1	12
33	fluddd	11
33	djancak	11
33	Ezekson	11
36	mariominejedi	10
36	F_Uhre	10
36	cedric72	10
36	Akoot_	10
36	Fuhrer_Teemo	10
36	Tyrannosplart	10
36	Njensen7	10
43	PhantomsGhost_	9
43	himak1	9
43	ROY4LE	9
43	Dan_Scha	9
43	IvarEXE	9
43	Soplight	9
49	Merv__	8
49	Inchef	8
49	Kubelz	8
49	thewindmillman	8
49	Rebytre	8
49	HellsSponge	8
49	Enderxz3	8
49	Legendosh	8
57	ThiccExotic	7
57	set67	7
57	thescout7	7
57	emrekn	7
57	Kakolbus	7
57	whoaluv	7
57	Rumpletaezer	7
57	ooga47	7
57	sufjanlover	7
57	DanTheBuilderino	7
57	jnp_gaming	7
68	KarlKaek	6
68	mwrty	6
68	lorpus	6
68	Meatlaugh	6
68	Groundler	6
68	bloomkieren	6
68	__tomato	6
75	diamondgolem35	5
75	ImpavidArcher	5
75	Incinere	5
75	eitanzaki	5
75	livingdaydreams	5
75	_Dean_123	5
75	500am	5
75	Paintz	5
75	AJplaysMC_	5
75	Fast_Turtle	5
75	_Cloverbelle_	5
75	J4ko8_	5
75	Maenara	5
75	Deathkob	5
75	MyNameIsDakar	5
75	NotMeowMix	5
75	Decaying_Lotus	5
75	Chuglyfe	5
75	nonarso	5
75	laron58	5
95	heysushii	4
95	CloroxBleach385	4
95	ExtraDumb	4
95	Caystelly	4
95	H72l9w	4
95	Euclidoris	4
95	Malorn_Aetherius	4
95	cheerytomato	4
95	Blackberry1310	4
95	ratglock	4
95	bloodbiter	4
95	MattieHD	4
95	excelsionprime	4
95	LeauVox4921	4
95	PeteO1995	4
95	Arceus1975	4
95	AlexStrange	4
95	pappaberg	4
95	Hiryu27	4
95	The11thDoctor	4
95	SaintJosie	4
95	Katsuragi0243218	4
95	SpouHn	4
95	NYJ	4
95	wobn	4
95	claivin	4
95	Deerfoot	4
95	C0oOK13M0N5T3R	4
95	censorsheep	4
95	ComplexSquirrel	4
95	Eraxa	4
95	SvenskaHugo	4
95	YungMaki	4
95	stellarjay	4
95	GlitchyPlate810	4
95	Moetis	4
95	Dreamdbr14	4
95	Skippeh	4
95	anbbang	4
95	cichy096	4
95	RadarHz	4
95	xolstoi	4
95	MelodyGaysharks	4
138	seanitoo	3
138	Bandito_Roamer	3
138	SyK7	3
138	Jalvajar	3
138	FroggoTheDoggo	3
138	6king6colt6	3
138	Slinkyy7071	3
138	BlancoFlaco	3
138	SaucyDark	3
138	Tolhart	3
138	Paleshield	3
138	openatheclose	3
138	Batman922	3
138	Natty	3
138	CoffeeNoir	3
138	MOSS000	3
138	tsohomie	3
138	IWorkAtIkea	3
138	TheMaster972	3
138	Sleepy_Time_	3
138	Ozixar	3
138	picardred	3
138	dopplexd	3
138	Notta	3
138	jacxhadow	3
138	m_be9	3
138	kekhon	3
138	corvidpartyfor6	3
138	Xalithia	3
138	xxPipperDipperxx	3
138	SpicyMeatballs	3
138	XboxPanda	3
138	ImDisconnected_	3
138	Chromary	3
138	DaviusMaximoose	3
138	RyuNeko932000	3
138	MustardDrinker	3
138	ItsAki_	3
138	Kouridragon	3
138	Mattesco	3
138	Kynigito	3
138	PigDab	3
138	Project_MKBRD	3
