rank	username	minecraft:crafted/minecraft:mud_bricks
1	MineMaster0012	6804
2	_Huge_Male_	1472
3	pixelviolin	1244
4	thewindmillman	1060
5	Manaateee	1048
6	Mr_Byzantine	916
7	EMC_	672
8	Dakar_	632
9	Jimb0nat0r	524
10	Soplight	512
11	Kowcio_	484
12	PazinGaming	448
12	12Magner05	448
14	Merv__	416
15	YungMaki	408
16	SpacesickPrism	376
17	luseis	292
18	Mattesco	260
19	GooseWithin	256
20	PlasticOtari	148
21	Iamthejo	124
22	Steelynan	116
23	Mahoose	64
23	Fuad_R	64
23	Nicserso	64
26	Enderxz3	60
27	SvenskaHugo	40
28	jessewegottacook	36
29	EngagedGrub41	28
30	mihimihimihi	24
31	pintsizedrogue	4
