rank	username	minecraft:crafted/minecraft:brown_glazed_terracotta
1	QuiCreans	718
2	ImpavidArcher	288
3	Frozil20	256
4	luseis	243
5	MattieHD	214
6	TheShyPig	185
7	Hyp3rion_	144
8	Inbefour	123
9	lordpipe	117
10	titanlax	115
11	Kowcio_	96
12	Jackattack53	84
13	LeauVox4921	64
13	Blaiku	64
15	noam464	57
16	Mr_Byzantine	56
17	blackeemperor	52
18	EMC_	48
18	Pumpkin_P_Patch	48
20	Sabby65	40
21	MunkaKris	36
21	Lez_	36
23	MakeHistory157	27
24	_Virify_	24
24	BodaciousCake	24
24	oscminus	24
24	Werbe	24
24	hermmm_	24
24	EcksD	24
30	Yamdalorian	20
31	joethahobo	12
31	MAns_44	12
31	Soplight	12
34	Comma__	9
34	AnnieBathory	9
34	Steelynan	9
37	RatatJuice	8
37	kekhon	8
37	StinkyDiplomat	8
40	PaperCanvas	6
41	myaccountwasgone	4
41	YungMaki	4
43	beeperbeeper5	2
43	Chrisdeadeye	2
43	AspenLightVT	2
43	Buuck_	2
43	pixelviolin	2
48	Bandito_Roamer	1
48	ItsDeltaMC	1
48	EngagedGrub41	1
