rank	username	minecraft:crafted/minecraft:end_stone_brick_slab
1	mwrty	12901
2	joethahobo	3036
3	Tyrannosplart	2576
4	PigDab	1212
5	12Magner05	888
6	11Brewer	754
7	mihimihimihi	426
8	Jackattack53	408
9	eitanzaki	390
10	IamCL4SSY	384
11	Blu3beast	376
12	WET_WET_WET	372
12	thewindmillman	372
14	Yamdalorian	294
15	Ender_Souls	228
16	ECstardust	192
17	Hpdinosaur	174
18	jnp_gaming	156
19	DanTheBuilderino	126
20	Mewar	96
21	elicobnoah	72
22	m_be9	60
22	MinttyFressh	60
24	Arceus1975	48
25	Spacewardharpy7	30
26	FreakGenius	18
27	_Huge_Male_	14
28	PlasticOtari	10
29	AuroraValkyrie	6
29	El_Jalapeno	6
29	Ezekson	6
29	Powowowow	6
33	beeperbeeper5	2
33	U_Mos_	2
33	pixelviolin	2
