rank	username	minecraft:crafted/minecraft:brick_slab
1	Steelynan	5357
2	ReyTheLegend	1774
3	Di_infiri	870
4	Mr_Byzantine	846
5	Frozil20	750
6	Spacewardharpy7	648
7	Merv__	560
8	NameGenerat0r	498
9	ImpavidArcher	468
10	EcksDofficial	456
11	oxfordschool	420
12	KarlKaek	384
13	SaucyDark	324
14	RebelAndroid	282
15	Werbe	256
16	YungMaki	240
17	burbankbuilder28	228
18	SexcMf	222
19	Jackattack53	216
20	_stets	210
20	peach0s	210
22	TheShyPig	192
23	NNikitas	186
24	tuckerdoodle	168
25	Soplight	146
26	Mahoose	138
27	Dedalus36	126
28	El_Jalapeno	120
29	Doom_melon	108
30	Smoke____	96
31	SkateboardR6	90
31	stahouo	90
33	Inchef	86
34	NomadicRobin_	84
34	Eraxa	84
36	kekhon	74
37	PlasticOtari	72
38	Nekomin0	66
39	Nicserso	60
40	Kakolbus	54
41	cowgirlkasia	48
41	2Stout	48
41	Akoot_	48
41	wobn	48
41	HellsSponge	48
41	erkada	48
41	FGamerJ	48
48	ShedJr_	42
48	noam464	42
50	MindyDooWho	36
50	fkGrim	36
52	Enderslayerxz3	32
53	MyNameIsDakar	30
53	Quotary	30
55	Barlycorn	24
56	UCP_TheKingK	20
56	SpacesickPrism	20
58	roxycherry	18
58	NotMeanttoChange	18
58	andy_rex	18
58	DemTechAlpha	18
62	Hpdinosaur	12
62	Diavri	12
62	thewindmillman	12
62	Felenov	12
62	groofles	12
62	Jiminbub	12
62	SingedBread	12
69	Jiminie	10
70	TheSecondLord	8
70	500am	8
72	SlowMoNinja1994	6
72	Sleek_Storm_721	6
72	eitanzaki	6
72	SpaceGrenadier	6
72	Historical_Sand	6
72	titanlax	6
72	TheThomas69	6
72	SteveCraftBlocks	6
72	TheDiamondCG	6
72	xxPipperDipperxx	6
72	theonlymagikarp	6
72	Onennon	6
72	_naturell	6
72	ogoa	6
72	EveryonesUncle	6
72	Freak_Genius	6
72	Deguns123	6
72	Njensen7	6
72	Ezekson	6
72	Jordan_R	6
72	00000000-0000-0000-0009-01f16526f034	6
93	420BreadLizard	2
