rank	username	minecraft:crafted/minecraft:chest
1	thewindmillman	70405
2	noam464	44834
3	Di_infiri	16955
4	Spacewardharpy7	16387
5	Hyp3rion_	11971
6	HellsSponge	11289
7	PigDab	11020
8	gcaisawesome	6114
9	EcksD	5766
10	Smoke____	5722
11	joethahobo	5560
12	Blaiku	5231
13	Werbe	5161
14	thescout7	4308
15	eitanzaki	4206
16	Ezekson	4123
17	Zythose	4069
18	Historical_Sand	3683
19	beeperbeeper5	3300
20	EveryonesUncle	3185
21	Jackattack53	3135
22	El_Jalapeno	2838
23	Inbefour	2664
24	YungMaki	2587
25	Shogunite	2514
26	fffMike	2483
27	_Nuf	2405
28	Mahoose	2334
29	m_be9	2312
30	Awyrlas	2285
31	Lord_Jord	2215
32	500am	2150
33	TheShyPig	2111
34	Darkgon	2048
35	Hisiste	2011
36	pintsizedrogue	1994
37	Enderslayerxz3	1956
38	jnp_gaming	1910
39	MightyWertu	1842
40	Steelynan	1659
41	Frozil12	1624
42	lordpipe	1605
43	Kakolbus	1521
44	Jimi7hits	1458
45	obzii	1430
46	Spenduh	1426
47	r123moore	1409
48	Sheldor097	1393
49	EMC_	1337
50	RebelAndroid	1303
51	Sral7	1223
52	Hermanni__	1222
53	Groovy_MoonBird	1192
54	MyNameIsJobo	1159
55	12Magner05	1131
56	Malorn_Aetherius	1118
57	stahouo	1091
58	Snowflowe	1090
59	MilleGrug	1082
60	Racengan	1071
61	NameGenerat0r	1055
62	kekhon	1031
63	Fullut	1029
64	TechnoNinja64	1018
65	ApophisNova	1011
65	MyNamaSheff	1011
67	oxfordschool	972
68	mwrty	966
69	TheThomas69	945
70	T045RTY	937
71	Jovaphobic	911
72	sp00ky_ghost977	906
73	teslawolf38	866
73	KarlKaek	866
75	Deathkob	864
76	Z3braYTIL	858
76	set67	858
78	_Virify_	843
79	MakeHistory157	837
80	PlasticOtari	830
81	Akoot_	814
82	Blackberry1310	811
83	Legendosh	798
84	Groundler	784
85	PhantomsGhost_	777
86	Comma__	766
87	BronkerBrum	760
88	WyngGoy	759
89	Barlycorn	749
90	rarrq	735
91	Chromary	724
92	Quotary	718
93	Skylord_Luke	712
94	Syropatathe	698
95	ssleepless	697
96	censorsheep	686
97	ProfessorBee	673
98	Bumpy419	671
99	Nycteus_	666
100	Miko_Fullbuster	665
101	Skippeh	662
102	Dedalus36	655
103	ROY4LE	647
104	gabriels543	630
105	Hoid_the_Roamer	628
106	Covalents	624
107	Kowcio_	622
108	_Dean_123	616
109	audiocracked	606
110	Soplight	590
111	Freak_Genius	583
112	eviltunix	573
113	picardred	565
114	Njensen7	556
115	Vorlice	554
116	DanTheBuilderino	550
117	TheSecondLord	549
118	Inchef	548
118	Eczbek	548
120	MangoTheFish	536
121	The_slideV3	529
122	Deerfoot	515
123	eiC_	514
124	Mewar	512
125	CollinMH06	501
126	Cowison	494
127	Paintz	484
127	Steven1282598	484
129	MinttyFressh	479
130	Warlord324	478
131	Hiryu27	477
132	ImpavidArcher	470
133	Menthas	469
134	mariominejedi	463
135	Jiminie	461
136	hcb238	456
137	SkateboardR6	455
138	Ryker	448
138	awesomeoneme	448
138	Nicky19	448
141	EcksDofficial	443
142	Zaridey	440
143	Zoeyfortnite	427
144	emrekn	425
145	Megarboh	422
145	vandmanden	422
147	bloodbiter	412
148	Eraxa	395
149	6king6colt6	393
150	M_Patata	392
150	masskedman	392
152	Kyrum2169	391
153	Zedducius	385
154	h2p_emrld	383
155	Rumpletaezer	378
156	__tomato	376
157	Blu3beast	375
158	Meatlaugh	368
159	Nicserso	359
160	FirsTimeGamingTV	353
161	xxPipperDipperxx	351
162	PlzNoBM	349
163	AuroraValkyrie	348
164	Xalithia	345
165	Drlzyy	341
166	fluddd	333
167	Fuhrer_Teemo	321
168	FishyBoy3811	320
169	_Karmaa	319
169	PortlyPete69	319
171	RyuNeko932000	318
172	SexcMf	315
173	JESS_THE_RERE	313
174	MustaLoordi	312
175	q_wq	298
176	Merv__	297
177	Prodiginus	295
178	Auseawesome	293
178	GravitySaint	293
180	TheSeismicDuck	289
181	SlayerCrypto	287
181	HolyVenom	287
183	PegLegPete93	286
184	yulgur1	278
185	yatsuta	277
186	fred870d	276
187	ayamefag	274
187	diggydog67	274
189	Sky_light_KING	272
189	MasterNueve	272
191	Yatitay	268
192	Onennon	266
192	chipklip	266
194	Arceus1975	263
194	SammiWolfGirl	263
196	egglapras	262
196	07shiny	262
198	diamondgolem35	256
199	ori0le	254
200	cedric72	253
200	Winston_Ingram	253
202	claivin	252
203	_naturell	249
204	Mr_Byzantine	248
205	lillips	247
206	Swexti	245
207	loveseeker	240
208	dimondking777	234
209	Winklepicker279	233
209	kinas45y5	233
211	lcvezra	230
212	Scathra	227
213	GingerNeutron	226
213	Kferno	226
215	soundad	223
215	AltnumberF4	223
217	CoffeeNoir	222
218	tuckerdoodle	221
219	Factoroni	217
220	IvarEXE	215
221	Windo_licker	213
221	Rebytre	213
223	MSK__	212
224	himak1	208
224	anbbang	208
226	Maenara	203
227	TooManyDuck	200
228	NomadicRobin_	198
229	Astronicky	197
230	benediktine1	194
230	DTwenty	194
232	Incinere	192
233	Hyugo	191
233	ivorico	191
233	Quincannon	191
233	UrbanPlanner1978	191
237	NoChumpChange	190
237	Deodorante	190
239	BumbleBeever	188
240	RoskobiOne	187
240	SellyZ	187
242	GoofyBread	185
243	Optiprimus	184
244	Flores991	183
244	RodSerlingCringe	183
246	Nyxiom_	182
247	JEWISHBadenBeele	181
248	AuroraSkies	179
248	Fildyr	179
250	bigstankyy	178
250	Segotep999	178
252	MattieHD	175
252	seramalen	175
254	Da_Boss_Rani	170
254	King_Pancake1	170
256	Airem_Core	169
257	fkGrim	168
257	UCP_TheKingK	168
257	Dreamdbr14	168
260	BlancoFlaco	167
261	pappaberg	166
261	KartivGal	166
261	KingMatthew506	166
264	Rasmanden	165
265	OfficerAnvil	163
266	selectrix	162
267	YoshikageBites	161
268	Iagoku	158
268	BobDeBouwer1337	158
268	ZeroKraken	158
271	surfinggiraffejp	156
271	ToastedGamingYT	156
273	AngalexikCZ	154
273	Typadopoulos	154
275	SaucyDark	153
275	wezzzi	153
277	Powowowow	148
278	livingdaydreams	147
279	XboxPanda	146
279	Kouridragon	146
281	BodaciousCake	143
281	Smashic	143
281	starbits140	143
284	_8man	142
284	AlphaWolfPlaysMC	142
284	2blox	142
287	_NieToksikpl_	141
287	Ssor69	141
287	HesDemonPants	141
290	TheTrueClipse	140
291	Rich_Kat	139
291	SingedBread	139
291	Cocoamallows	139
294	ibarker21	136
295	Giannism	135
296	titanlax	134
296	cog	134
298	Sabby65	133
299	TheDankPlatypus	132
300	Lutres_Torane	131
