rank	username	minecraft:crafted/minecraft:melon
1	noam464	64975
2	Blaiku	45258
3	Lord_Jord	39247
4	Hyp3rion_	39096
5	Frozil20	36373
6	Inbefour	34098
7	pintsizedrogue	33017
8	Soplight	29195
9	luseis	28766
10	FreakGenius	22798
11	joethahobo	21687
12	MightyWertu	19713
13	Kakolbus	19176
14	PigDab	18271
15	Snowflowe	18093
16	Zythose	17753
17	pixelviolin	16926
18	Di_infiri	16884
19	thewindmillman	14542
20	ConnorDanky_	13066
21	sp00ky_ghost977	12764
22	The_slideV3	11708
23	Yamdalorian	9929
24	SpacesickPrism	9830
25	Comma__	9827
26	kekhon	9729
27	Steelynan	9158
28	m_be9	8877
29	IamCL4SSY	8839
30	RebelAndroid	8142
31	_stets	7919
32	Enderxz3	7836
33	thescout7	7737
34	himak1	7688
35	_3Stump_	7452
36	BungalowBeet	7317
37	slkiey	6597
38	Xalithia	6144
39	YungMaki	6033
40	beeperbeeper5	5855
41	Jimb0nat0r	5827
42	ZaneABrain	5460
43	TechnoNinja64	4898
44	FelixPSY375	4688
45	TheShyPig	4487
46	NotMeanttoChange	4177
47	Rumpletaezer	3943
48	500am	3920
49	KingMatthew506	3799
50	Manaateee	3788
51	Apollo_993	3770
52	NameGenerat0r	3755
53	Karetoko	3620
54	Sleepy_Time_	3574
55	Dogcorn69420	3546
56	SteveCraftBlocks	3397
57	Fullut	3242
58	Sheldor097	3235
59	theonlymagikarp	3228
60	q_wq	3128
61	MC_Gamer_Geek	3050
62	Zoeyfortnite	3002
63	Rich_Kat	2979
64	Kyrum2169	2915
65	_Virify_	2798
66	EngagedGrub41	2749
67	Awyrlas	2713
68	EMC_	2612
69	Hiryu27	2545
70	Akoot_	2514
71	John6970	2449
72	Ezekson	2336
73	gcaisawesome	2331
74	Smashic	2240
75	Mahoose	2203
76	Merv__	2175
77	BodaciousCake	2163
78	j5ylim	2118
79	Kamflame	2050
80	TheBananaKat	1988
81	Deathkob	1965
82	RadarHz	1957
83	Hpdinosaur	1952
84	Danire207	1880
85	Eraxa	1862
86	AspenLightVT	1766
87	PlasticOtari	1748
88	EveryonesUncle	1707
89	eitanzaki	1693
89	Quotary	1693
91	PazinGaming	1683
92	Rocco_Lane	1678
93	Werbe	1633
94	Legendosh	1620
95	jnp_gaming	1615
96	FadedSpade82	1592
97	PlzNoBM	1590
98	hermmm_	1572
99	I_Am_Mushkin	1545
100	Healthing	1506
101	XxCookiequeenxX	1498
102	CoffeeNoir	1468
103	Felenov	1449
104	MoistMicrowave	1446
105	vandmanden	1409
106	TheSecondLord	1405
107	Dan_Scha	1399
108	UrbanPlanningEx	1330
109	MrExplorer	1326
110	MakeHistory157	1300
111	Historical_Sand	1287
112	emreknugrlu	1285
113	cyrusisntgay	1280
114	TheDumbHuman	1211
115	abdomera	1182
116	NoHaHeHa	1093
117	legal_tax_evader	1092
118	fade_emerge78823	1088
118	Skylord_Luke	1088
120	emrekn	1056
121	PegLegPete93	1042
122	ApophisNova	1022
122	MyNamaSheff	1022
124	NNikitas	993
125	Rasmanden	968
126	groofles	960
127	G1ldor	953
127	Bolete	953
129	SuperStreetCat	917
130	Jackattack53	898
131	2Stout	888
132	rarrq	857
133	FishisTTV	840
134	lordpipe	826
135	diamondgolem35	811
136	Lutres_	792
137	set67	776
138	Pumpkin_P_Patch	753
139	Gundam_Steven	732
140	Diavri	719
141	jushykins	705
142	Spacewardharpy7	703
143	KarlKaek	675
144	Valoth	650
145	ImpavidArcher	645
146	MustardSquid	640
147	SkateboardR6	632
148	NamelessGG	629
149	Onennon	622
150	Deodorante	611
151	Doom_melon	603
152	teslawolf38	589
153	xzvu	570
154	IAmTheWalrus910	568
155	bloodbiter	562
156	ECstardust	544
157	geekbird	543
158	Ryan_GEMS	511
159	fw3xy74	499
160	Crowvens	478
161	TachibanaAkira	468
161	drompje	468
163	2blox_	461
164	Voxin2K	450
165	heckface	447
165	_AAZAR	447
167	ProfessorBee	440
168	Racengan	438
169	starbits140	433
170	oscminus	430
170	claivin	430
172	Mr_Byzantine	425
173	erkada	424
174	ROY4LE	411
175	MunkaKris	398
176	Jahara	396
177	Afinnity	390
178	Gus2005	385
178	ReyTheLegend	385
180	Kekoo	359
181	SuperPooch06	339
182	shadowthemonkey	334
183	Houstonion	326
