rank	username	minecraft:crafted/minecraft:mangrove_trapdoor
1	Mr_Byzantine	154
2	beeperbeeper5	146
3	Jimb0nat0r	140
4	k_ce	134
5	luseis	132
6	Steelynan	78
7	Merv__	72
8	Mattesco	64
8	AdmiralSmoke	64
10	Mahoose	54
11	Manaateee	40
12	Soplight	38
13	oscminus	35
14	SvenskaHugo	34
15	pintsizedrogue	30
16	Werbe	26
16	EngagedGrub41	26
18	Huwulling	24
19	xxPipperDipperxx	12
19	Legendosh	12
19	PlasticOtari	12
22	00000000-0000-0000-0009-01ff0c3e5e4f	10
23	Segotep999	8
23	Enderxz3	8
25	TheSecondLord	6
25	12Magner05	6
25	MineMaster0012	6
28	SpacesickPrism	4
29	T045RTY	2
29	pixelviolin	2
29	Kowcio_	2
29	CalebDHawk	2
29	00000000-0000-0000-0009-01fc3bb26159	2
