rank	username	minecraft:crafted/minecraft:iron_pickaxe
1	Zythose	626
2	pintsizedrogue	287
3	Wolverine4302	162
4	DanTheBuilderino	161
5	m_be9	156
6	RatatJuice	152
7	Yamdalorian	150
8	MisfitsMike	143
9	Lord_Jord	139
10	El_Jalapeno	126
11	cedric72	124
12	bloodbiter	123
13	Kubelz	116
14	Di_infiri	115
15	djancak	114
15	Njensen7	114
17	Iamthejo	101
18	_Dean_123	83
19	intropass	81
20	gcaisawesome	79
20	Drewen24	79
22	Froste131	77
22	Fildyr	77
24	RyuNeko932000	76
25	beeperbeeper5	74
26	TheShyPig	72
26	Kowcio_	72
28	TheSecondLord	69
29	luseis	68
29	Razzgriz	68
31	ZeroAbyssTTV	67
32	livingdaydreams	64
33	ooga47	62
34	SaucyDark	60
34	PaperCanvas	60
34	lordpipe	60
37	theonlymagikarp	56
38	lotarp	55
38	Vetral1	55
38	lizardfightclub	55
41	PegLegPete93	52
41	Kakolbus	52
41	00000000-0000-0000-0009-01fa5d833510	52
44	Mr_Byzantine	50
44	SPUDonSTEROIDS	50
44	RedcatVII	50
47	RustyKedel	49
47	Xclax101	49
47	Soffbord	49
50	Kamflame	48
50	PlasticOtari	48
52	Scathra	47
52	LordZacler	47
52	Akoot_	47
52	Lord_Zacler	47
56	Kim_Jong_eel	46
57	Skylord_Luke	45
58	CoffeeNoir	44
58	2Stout	44
58	mobunni	44
58	zmpeg	44
62	07shiny	43
62	jnp_gaming	43
64	ciemacigans	42
65	purpolepickle	41
65	_Karmaa	41
65	Spacewardharpy7	41
68	Orcus113	40
68	MyNameIsJobo	40
68	Kouridragon	40
68	Decaying_Lotus	40
68	00000000-0000-0000-0009-01ff0c3e5e4f	40
73	joethahobo	39
73	_MeowMix	39
75	monky_irl	38
76	UncleDanDan	37
77	Wooptey	36
77	Nach0Bear	36
77	Zaridey	36
80	Studyhallsaver	35
80	Ajax6	35
80	wobn	35
80	Darkgon	35
84	Astronicky	34
84	TheSeismicDuck	34
86	picardred	33
86	U_Mos_	33
86	MousePlays	33
86	420BreadLizard	33
90	redikul	32
90	n0qtrnL	32
90	Avocadogerms	32
90	FreakGenius	32
90	Matorz	32
90	__tomato	32
96	Tobinator_007	31
96	Literally_Rat	31
96	Groundler	31
96	Toriankel	31
