rank	username	minecraft:crafted/minecraft:spruce_boat
1	PigDab	283
2	beeperbeeper5	191
3	Werbe	183
3	AssEatrAndLicker	183
5	Soplight	168
6	joethahobo	118
7	Hyp3rion_	115
8	EveryonesUncle	94
9	_Dean_123	63
10	HellsSponge	61
11	Blackberry1310	57
12	MyNameIsJobo	53
13	rarrq	50
14	Merv__	47
15	claivin	44
16	set67	40
17	Mahoose	32
17	Frozil12	32
19	eitanzaki	29
20	_3Stump_	28
21	Deathkob	27
22	MangoTheFish	26
23	12Magner05	25
24	Natofthese	24
24	Sky_light_KING	24
26	EcksDofficial	22
27	MineMaster0012	21
27	Zoeyfortnite	21
29	Tommhh	20
30	RodSerlingCringe	19
31	ibarker21	18
32	fluddd	17
33	KarlKaek	16
33	G1ldor	16
33	Chromary	16
33	chipklip	16
37	pintsizedrogue	15
37	Fullut	15
37	Jackattack53	15
37	_Boipl_	15
37	Bumpy419	15
37	lillips	15
43	Skippeh	14
44	500am	13
44	Di_infiri	13
44	obzii	13
47	peach0s	12
47	Inchef	12
47	RobotMinion101	12
47	Inbefour	12
47	fkGrim	12
47	Smoke____	12
53	jimintyy	11
53	xxPipperDipperxx	11
53	cedric72	11
53	FishyBoy3811	11
57	Guillemet	10
57	fr_ser	10
57	Rumpletaezer	10
57	Shiirazuku	10
57	YungMaki	10
57	stellarjay	10
57	erkada	10
57	Ezekson	10
65	mwrty	9
65	noam464	9
65	Groundler	9
65	SkateboardR6	9
69	picardred	8
69	BlueZabu	8
69	Arceus1975	8
69	Factoroni	8
69	OG_Songsee	8
74	T045RTY	7
74	H72l9w	7
74	Euclidoris	7
74	TheSecondLord	7
74	WET_WET_WET	7
74	Spacewardharpy7	7
74	VentiHilton	7
74	Legendosh	7
82	PhantomsGhost_	6
82	Drlzyy	6
82	SuperPooch06	6
82	whoaluv	6
82	pappaberg	6
82	Vetral1	6
82	TheShyPig	6
82	NomadicRobin_	6
82	The_slideV3	6
82	El_Jalapeno	6
82	Blu3beast	6
82	NebulousBadger	6
82	Chuglyfe	6
82	LeeMcGee30	6
82	x86assembly	6
97	AlazelTheReal	5
97	awesomeoneme	5
97	gaziter10	5
97	kekhon	5
97	boog4loo	5
97	Covalents	5
97	FetteMutter	5
97	lizardfightclub	5
97	ese_wn_po	5
97	Racengan	5
97	Razzgriz	5
97	ayamefag	5
97	SammiWolfGirl	5
97	PlzNoBM	5
97	sebastiensaborio	5
97	oxfordschool	5
97	BreadBacon	5
97	Nicserso	5
97	Powowowow	5
116	Groovy_MoonBird	4
116	ImpavidArcher	4
116	BlancoFlaco	4
116	Seyaboy	4
116	Historical_Sand	4
116	Stynxy	4
116	Ardennes	4
116	Kkanot	4
116	sandmire	4
116	thescout7	4
116	himak1	4
116	eviltunix	4
116	xBaltaci	4
116	John6970	4
116	loveseeker	4
116	CruncyIsTaken	4
116	Project_MKBRD	4
116	OtariCharlie	4
116	MonitorLizards	4
116	Rasmanden	4
116	Akoot_	4
116	ogoa	4
116	Jiminbub	4
116	master9067	4
116	Deodorante	4
116	censorsheep	4
116	SingedBread	4
116	LordAurum	4
116	lordpipe	4
116	WyngGoy	4
116	Nagasaki_Riku	4
116	stahouo	4
116	lcvezra	4
116	Winston_Ingram	4
116	bitsplease	4
116	Vellu21	4
116	Haadrada	4
116	Enderslayerxz3	4
116	jnp_gaming	4
116	2blox	4
156	hollowww	3
156	bigstankyy	3
156	Lukeee33	3
156	Tolhart	3
156	Incinere	3
156	SidorAlex	3
156	tramizu	3
156	DirtyDalle	3
156	ratglock	3
156	Comma__	3
156	m_be9	3
156	SirMinza	3
156	CrookedKaptain	3
156	ROY4LE	3
156	gcaisawesome	3
156	eiC_	3
156	SlayerCrypto	3
156	drompje	3
156	Lord_Jord	3
156	Meepcraft	3
156	DemTechAlpha	3
156	YourPersonalChef	3
156	Jij0	3
156	ediballbearings	3
156	Spenduh	3
156	Fizznut909	3
156	CalebDHawk	3
156	FlagsAreBad	3
156	EcksD	3
156	Yogscast_Manden	3
156	WYFYoyo	3
156	diggydog67	3
156	561cool	3
189	TheBiggestFeller	2
189	MunkaKris	2
189	Boliipop	2
189	Bandito_Roamer	2
189	heysushii	2
189	Harotio	2
189	Ninzyyy	2
189	Cowison	2
189	KingFaenor	2
189	EMC_	2
189	chimpmunker	2
189	Houstonion	2
189	Nesquiczek	2
189	Iagoku	2
189	hm947	2
189	TooManyDuck	2
189	Sabby65	2
189	Jahara	2
189	GirlFrick3r	2
189	Natty	2
189	Os_qq	2
189	MOSS000	2
189	301851	2
189	Ganjier	2
189	Ssor69	2
189	dopplexd	2
189	ATrojansLegend	2
189	MattieHD	2
189	Aurenz	2
189	slkiey	2
189	redikul	2
189	crying_wolf_13	2
189	Kamflame10	2
189	Septemb3r	2
189	ayqq	2
189	DermeinUser	2
189	TheDankPlatypus	2
189	TableTim	2
189	jandrs	2
189	Ecplosive	2
189	PeteO1995	2
189	ImDisconnected_	2
189	mariominejedi	2
189	__Fanda__	2
189	F_22_	2
189	popcanter	2
189	QueenHearts	2
189	thewindmillman	2
189	andy_rex	2
189	Nyxiom_	2
189	Parcc	2
189	BlossomOwO	2
189	Onennon	2
189	fred870d	2
189	_Raiko	2
189	TTNG	2
189	_naturell	2
189	thgrocks	2
189	Huic_ostiarius	2
189	TheTrueClipse	2
189	valkam13	2
189	linxthesontaran	2
189	WarpRanger	2
189	Jiminie	2
189	NYJ	2
189	Fuhrer_Teemo	2
189	_Bguette_	2
189	rotten_mango	2
189	Meatlaugh	2
189	NameGenerat0r	2
189	Aoiraa	2
189	_Sir_Leon_	2
189	E775	2
189	Deerfoot	2
189	EfficientC52	2
189	TiborSterle	2
189	FlashMigma	2
189	MustaLoordi	2
189	Xclax101	2
189	Bloo2406	2
189	MightyWertu	2
189	cringenaynaybaby	2
189	yoyoYoloMonke	2
189	MentheMan09	2
189	Dusk_95	2
189	lilguppy	2
189	Eraxa	2
189	KG1999	2
189	Y3ntai	2
189	SvenskaHugo	2
189	pixelviolin	2
189	yatsuta	2
189	Kowcio_	2
189	SSytex_X	2
189	PortlyPete69	2
189	CoryJJ	2
189	Moetis	2
189	krutas2000	2
189	Cylni	2
189	scarletwarrior1	2
189	smogfrog	2
189	HesDemonPants	2
189	Sral7	2
189	kinas45y5	2
189	trexgb	2
294	rats_life	1
294	Louiis123	1
294	Im_SMX	1
294	fingerguns__	1
294	Krimys	1
294	Thaumatarge	1
294	RED_DOG_	1
