rank	username	minecraft:crafted/minecraft:red_banner
1	Soplight	1000
2	TheShyPig	370
3	EveryonesUncle	362
4	sebastiensaborio	329
5	Merv__	303
6	beeperbeeper5	213
7	Lord_Jord	203
8	ImpavidArcher	155
9	Legendosh	80
10	Kowcio_	77
11	Mahoose	68
12	Sral7	51
13	Inchef	50
14	oxfordschool	43
15	TheSecondLord	35
16	rarrq	33
17	joethahobo	32
17	Jiminie	32
19	pintsizedrogue	28
19	xxPipperDipperxx	28
19	Sky_light_KING	28
19	YungMaki	28
23	Gundam_Steven	25
24	500am	22
24	Skylord_Luke	22
26	SexcMf	20
26	__tomato	20
28	kekhon	19
29	ShedJr_	18
29	noam464	18
29	Frozil12	18
32	PegLegPete93	17
33	Hermanni__	15
34	MattieHD	14
34	_Dean_123	14
36	Blackberry1310	13
37	Werbe	12
37	MyNameIsDakar	12
37	Freak_Genius	12
37	PlasticOtari	12
37	WYFYoyo	12
42	NameGenerat0r	11
42	MilleGrug	11
42	EcksDofficial	11
45	Dedalus36	10
45	Deerfoot	10
47	_Virify_	8
47	AlexStrange	8
49	NomadicRobin_	7
50	AnnieBathory	6
50	fred870d	6
52	Fullut	5
52	epiksk8erduck	5
52	thgrocks	5
52	CheifJumbo	5
56	Snowflowe	4
56	Bumpy419	4
56	fkGrim	4
56	Groundler	4
56	lordpipe	4
56	stahouo	4
56	h2p_emrld	4
63	MixerDixer	3
63	Cowison	3
63	m_be9	3
63	Stiar	3
63	BigMoneyH	3
63	MustardDrinker	3
63	ApophisNova	3
63	HellsSponge	3
63	pixelviolin	3
63	MyNamaSheff	3
73	SaucyDark	2
73	hm947	2
73	youhjjhhhjj	2
73	Prodiginus	2
73	SuperPooch06	2
73	Onennon	2
73	Akoot_	2
73	fluddd	2
73	LeeMcGee30	2
73	KingMatthew506	2
73	EcksD	2
73	TechnoNinja64	2
85	RosaDoesMC	1
85	awesomeoneme	1
85	Misato_0	1
85	titanlax	1
85	shdesolt	1
85	bloodbiter	1
85	Awyrlas	1
85	TheDankPlatypus	1
85	Winklepicker279	1
85	Rumpletaezer	1
85	Hoid_the_Roamer	1
85	The11thDoctor	1
85	CruncyIsTaken	1
85	audiocracked	1
85	Kyrum2169	1
85	kinas45y5	1
