rank	username	minecraft:crafted/minecraft:gray_stained_glass
1	joethahobo	34624
2	non089	32552
3	thescout7	8584
4	lordpipe	5568
5	cog	5056
6	Deathkob	4168
7	Spacewardharpy7	3840
8	thewindmillman	2184
9	TheSecondLord	2080
10	mwrty	1936
11	beeperbeeper5	1848
12	mihimihimihi	1680
13	Blackberry1310	1472
14	noam464	1320
15	PlasticOtari	1216
16	pixelviolin	944
17	Smoke____	800
18	Merv__	760
19	Groundler	720
20	500am	528
21	MattieHD	512
21	MakeHistory157	512
23	TheShyPig	472
24	Mahoose	448
24	ogoa	448
26	ApophisNova	408
26	MyNamaSheff	408
28	Enderxz3	344
29	Inchef	280
29	Chromary	280
31	Stynxy	256
31	Di_infiri	256
33	Arceus1975	240
34	Mattesco	216
35	Marbz_	192
35	Werbe	192
35	LexMakesHistory	192
38	kekhon	184
38	Blaiku	184
40	XxCookiequeenxX	176
41	eitanzaki	160
42	lillips	128
42	claivin	128
44	SammiWolfGirl	112
45	Rebytre	104
46	EMC_	96
46	IamCL4SSY	96
48	Jeteight	88
48	RoofTyler	88
50	Frozil20	80
51	Huwulling	64
51	Hyp3rion_	64
51	binman420	64
51	EveryonesUncle	64
51	ConnorDanky_	64
56	JokoFiskare	48
56	Jackattack53	48
56	MonitorLizards	48
56	Eraxa	48
60	Snowflowe	40
60	Akoot_	40
60	lcvezra	40
63	El_Jalapeno	32
63	__tomato	32
63	Jimb0nat0r	32
66	HellsSponge	28
67	ImpavidArcher	24
67	Historical_Sand	24
67	Ecplosive	24
67	MyNameIsJobo	24
67	Skippeh	24
72	Jorrdi	16
72	teslawolf38	16
72	oreee	16
72	Fuad_R	16
72	Xclax101	16
72	Soplight	16
72	HesDemonPants	16
79	pintsizedrogue	8
79	Jalvajar	8
79	Spaghettatron	8
79	ThiccExotic	8
79	rarrq	8
79	CliffEmAll	8
79	xxPipperDipperxx	8
79	M_Patata	8
79	Zythose	8
79	Hoid_the_Roamer	8
79	Maenara	8
79	fluddd	8
79	MasterNueve	8
79	Kowcio_	8
79	fffMike	8
79	Quotary	8
