rank	username	minecraft:crafted/minecraft:orange_terracotta
1	thewindmillman	18336
2	YungMaki	3192
3	joethahobo	2880
4	Segotep999	1728
5	HellsSponge	580
6	Karbl	576
7	rarrq	512
7	TheSecondLord	512
9	lordpipe	396
10	Lord_Jord	348
11	Lez_	320
12	lillips	256
13	EcksD	252
14	Krowuss	220
15	Mr_Byzantine	200
16	Werbe	192
17	AdmiralSmoke	129
18	Legendosh	128
19	Apollo_993	108
19	Hyp3rion_	108
21	luseis	96
22	pintsizedrogue	88
22	NameGenerat0r	88
24	SuperPooch06	84
25	Onennon	80
26	Sral7	76
27	ImpavidArcher	72
28	PazinGaming	64
28	Huwulling	64
28	jessewegottacook	64
28	Notta	64
28	Marbz_	64
33	gcaisawesome	60
34	xolstoi	40
35	pixelviolin	35
36	Hpdinosaur	32
36	2Stout	32
36	Bumpy419	32
36	yatsuta	32
40	Parcc	24
40	Blu3beast	24
40	ConnorDanky_	24
43	Smashic	12
43	noam464	12
43	NNikitas	12
43	Kowcio_	12
47	Mahoose	8
47	Awyrlas	8
47	Inbefour	8
47	duqboy	8
47	PlasticOtari	8
52	Eraxa	7
53	Comma__	3
54	EngagedGrub41	1
