rank	username	minecraft:crafted/minecraft:oak_pressure_plate
1	2Stout	577
2	Njensen7	349
3	noam464	228
4	_Karmaa	124
5	YungMaki	110
6	Blackberry1310	109
7	Tolhart	106
8	HellsSponge	94
9	Lez_	74
10	Cocoamallows	70
11	Hyp3rion_	65
11	Dogcorn69420	65
13	TheShyPig	63
14	Mahoose	60
15	joethahobo	50
16	Merv__	45
17	Nicky19	42
18	Mimiir345	38
19	_Dean_123	35
20	weabis	34
21	Cowison	32
21	6king6colt6	32
21	Huwulling	32
24	EveryonesUncle	30
25	DanTheBuilderino	25
26	ClemenPine	24
26	Hermanni__	24
28	Megarboh	22
29	Xclax101	20
29	AdmiralSmoke	20
31	Maenara	19
32	q_wq	18
33	PazinGaming	17
33	ItsDeltaMC	17
33	Legendosh	17
36	Jackster03	16
36	MustardDrinker	16
36	fffMike	16
39	SteveCraftBlocks	15
39	Fullut	15
39	Groundler	15
42	jacxhadow	14
42	ProfessorDiaper	14
42	Powowowow	14
45	thewindmillman	13
45	Inconvenionce	13
47	Yatitay	12
47	eitanzaki	12
47	DemTechAlpha	12
47	PlzNoBM	12
51	jaimshae	10
51	BreadBacon	10
53	kars0n	9
53	BlankityMcBlank	9
53	Quotary	9
53	trexgb	9
57	Jovaphobic	8
57	titanlax	8
57	ItsHydroMC	8
57	Chickenchaser2	8
57	Awyrlas	8
57	Kouridragon	8
57	KlausVonStiglitz	8
57	tsitrawhy	8
65	FirsTimeGamingTV	7
65	UncreativeArtist	7
65	MyNameIsJobo	7
65	andy_rex	7
65	djancak	7
70	pintsizedrogue	6
70	Groovy_MoonBird	6
70	youhjjhhhjj	6
70	12Magner05	6
70	CharlieButt	6
70	The11thDoctor	6
70	Akoot_	6
70	Fuad_R	6
70	CalebDHawk	6
70	Iamthejo	6
80	weezygator	5
80	KingFaenor	5
80	beeperbeeper5	5
80	crying_wolf_13	5
80	prizm_	5
80	legal_tax_evader	5
80	Drewen24	5
80	Soap_Bender	5
80	Blu3beast	5
80	stavgod	5
80	ReyTheLegend	5
80	xof_on_microwave	5
80	DennyKai	5
93	Mr_Byzantine	4
93	CLG_Kata	4
93	KomputerDude	4
93	dopplexd	4
93	Upstro10	4
93	StanceTB	4
93	500am	4
93	Smashic	4
93	xXxSebastianLxXx	4
93	Guno327	4
93	Dyosy	4
93	ninjacat027	4
93	fenkuu	4
93	RyuNeko932000	4
93	Flucxks	4
93	seramalen	4
93	zToasty69z	4
93	AlphaWolfPlaysMC	4
