rank	username	minecraft:crafted/minecraft:slime_block
1	MyNameIsJobo	72573
2	joethahobo	60726
3	YungMaki	48313
4	EcksD	31072
5	thewindmillman	28802
6	Di_infiri	21567
7	Hyp3rion_	20049
8	HellsSponge	8224
9	thescout7	8141
10	mihimihimihi	4355
11	noam464	3408
12	Blaiku	2779
13	Ezekson	2405
14	Soplight	2064
15	TheShyPig	2051
16	MightyWertu	2040
17	ZeroKraken	1322
18	Spacewardharpy7	1314
19	luseis	1181
20	EngagedGrub41	757
21	Enderxz3	658
22	eitanzaki	643
23	DanTheBuilderino	627
24	Snowflowe	556
25	ConnorDanky_	491
26	eviltunix	442
27	DTwenty	417
28	Maenara	391
29	Frozil20	383
30	pintsizedrogue	341
31	Jackattack53	314
32	PigDab	294
33	Bumpy419	290
34	Groundler	273
35	Deathkob	257
36	FreakGenius	255
37	jnp_gaming	246
38	Historical_Sand	231
39	PlasticOtari	227
40	SkateboardR6	218
41	Mahoose	213
42	AdmiralSmoke	204
43	ProfessorBee	200
44	Mewar	195
45	BumbleBeever	191
46	rarrq	181
47	WyngGoy	173
48	ediballbearings	163
49	beeperbeeper5	150
50	Steelynan	147
51	KarlKaek	142
52	Factoroni	135
53	livingdaydreams	125
54	Blu3beast	120
55	Eraxa	107
56	lordpipe	102
57	legal_tax_evader	99
57	domagawha	99
59	Werbe	86
60	Awyrlas	83
61	Skippeh	79
62	Eczbek	77
63	mwrty	76
64	Eraza	75
65	soundad	73
65	FishisTTV	73
67	PhantomsGhost_	72
68	kekhon	69
69	Dogcorn69420	68
70	Lez_	67
70	MakeHistory157	67
72	anbbang	66
73	Hoid_the_Roamer	64
73	TheTrueClipse	64
73	Winston_Ingram	64
73	HesDemonPants	64
77	Lord_Jord	63
78	Sleek_Storm_721	62
79	ECstardust	60
80	AuroraValkyrie	59
81	_Virify_	57
81	Barlycorn	57
81	Hisiste	57
84	500am	56
85	m_be9	53
85	pixelviolin	53
87	bloodbiter	52
88	Paint	48
88	Hpdinosaur	48
90	eiC_	47
91	Blackberry1310	45
92	EMC_	44
92	godipose	44
94	vandmanden	41
95	Manaateee	40
96	Iamthejo	39
97	TechnoNinja64	38
98	Hiryu27	36
99	ImpavidArcher	35
100	Sleepy_Time_	33
100	Kakolbus	33
102	Kowcio_	32
103	T045RTY	30
104	EveryonesUncle	29
105	skrongus	28
106	Eczbox	27
106	Akoot_	27
106	PortlyPete69	27
109	ReSynced	25
110	Soap_Bender	24
111	Arceus1975	23
111	oscminus	23
111	Karbl	23
111	The_slideV3	23
111	claivin	23
116	Inchef	21
116	Aangezet	21
116	Syropatathe	21
119	Fuhrer_Teemo	19
120	Ebsen05	18
120	Onennon	18
120	Tyrannosplart	18
120	Legendosh	18
124	RebelAndroid	17
124	obzii	17
126	Njensen7	16
126	Jimb0nat0r	16
128	fanofbands101	15
128	I_Am_Mushkin	15
128	Steve897	15
131	SellyZ	14
131	FreddyFart	14
131	djancak	14
131	cichy096	14
135	Kyrum2169	13
135	Dreamdbr14	13
137	noodlepack	12
137	Zythose	12
139	Airem_Core	11
140	Alteriity	10
140	_Nuf	10
140	Muffindrake	10
140	calamariclam_I	10
140	JayToe	10
145	Swexti	9
145	MrExplorer	9
145	moist_jellyfish	9
145	diggydog67	9
149	ssleepless	8
149	gcaisawesome	8
149	balin55	8
149	sp00ky_ghost977	8
153	Groovy_MoonBird	7
153	Nicky_H225	7
153	NotMeanttoChange	7
153	RobotMinion101	7
153	Gryglu583	7
153	Lutres_	7
153	Powowowow	7
153	Sral7	7
153	xolstoi	7
162	Gundam_Steven	6
162	RyuNeko932000	6
162	F_Uhre	6
162	MustaLoordi	6
162	KingMatthew506	6
167	TooManyDuck	5
167	12Magner05	5
167	Tiberonus	5
167	xxPipperDipperxx	5
167	El_Jalapeno	5
167	mawileite	5
173	ExtraDumb	4
173	tuckerdoodle	4
173	Rich_Kat	4
173	Rocco_Lane	4
173	Kouridragon	4
173	valkam13	4
173	Hermanni__	4
180	Tobinator_007	3
180	ShedJr_	3
180	Cryptacity	3
180	WingedTortoise	3
180	stavgod	3
180	07shiny	3
180	__tomato	3
180	Luigipunch989	3
180	00000000-0000-0000-0009-01f570995a20	3
189	DiscardedCE	2
189	SaucyDark	2
189	KomputerDude	2
189	excelsionprime	2
189	yheece	2
189	Doom_melon	2
189	AlexxO_o	2
189	Nicky19	2
189	JESS_THE_RERE	2
189	Dakar_	2
189	censorsheep	2
189	Fildyr	2
189	SvenskaHugo	2
189	CattSoup	2
189	Zoeyfortnite	2
204	Merv__	1
204	Jackywho	1
204	DepressedCubic	1
204	Iagoku	1
204	H72l9w	1
204	FirsTimeGamingTV	1
204	Prodiginus	1
204	Malorn_Aetherius	1
204	jacxhadow	1
204	Fullut	1
204	crying_wolf_13	1
204	mariominejedi	1
204	eli_tschki	1
204	SuperPooch06	1
204	Aerqophs	1
204	Azmodan_246	1
204	Rebytre	1
204	Luminad3	1
204	masskedman	1
204	Inbefour	1
204	sufjanlover	1
204	DarlaMeow	1
204	EfficientC52	1
204	fluddd	1
204	MovingFish7	1
204	monky_irl	1
204	Druid95	1
204	LordSpeed37	1
204	MineMaster0012	1
204	stellarjay	1
204	_i_ERROR_i_	1
204	fffMike	1
204	mobunni	1
204	FelixPSY375	1
204	h2p_emrld	1
