rank	username	minecraft:crafted/minecraft:birch_fence_gate
1	AdmiralSmoke	6690
2	HellsSponge	4180
3	TheShyPig	669
4	beeperbeeper5	499
5	Alteriity	265
6	joethahobo	197
7	Soplight	145
8	Spacewardharpy7	129
9	Lez_	128
9	Cocoamallows	128
11	noam464	127
12	Di_infiri	105
13	Mahoose	101
14	thewindmillman	72
14	lordpipe	72
16	thescout7	64
17	tuckerdoodle	58
18	Kowcio_	52
19	Enderxz3	51
20	4774	50
21	Legendosh	43
22	Sral7	39
23	Zythose	38
23	sp00ky_ghost977	38
25	Mr_Byzantine	34
26	07shiny	32
26	Spenduh	32
28	Steelynan	31
29	Zielo2017PL	30
29	mihimihimihi	30
31	YungMaki	28
32	teslawolf38	27
32	Stiar	27
34	KarlKaek	26
34	AlexxO_o	26
36	pintsizedrogue	25
37	Fuad_R	24
38	PigDab	22
38	luseis	22
38	IAmTheWalrus910	22
41	kekhon	21
42	Bolete	20
42	burbankbuilder28	20
42	IamCL4SSY	20
42	Quotary	20
46	Lord_Jord	19
47	eitanzaki	18
47	500am	18
47	Manaateee	18
47	Ezekson	18
51	mwrty	17
51	Onennon	17
51	Nicserso	17
54	Krasnal1337	16
54	Akoot_	16
54	MAns_44	16
54	anbbang	16
54	RoboTramp7865	16
54	Zoeyfortnite	16
60	Blamphe	15
61	Cowison	14
61	AltnumberF4	14
63	Merv__	13
63	Arceus1975	13
63	Racengan	13
63	diggydog67	13
67	LeeMcGee30	12
68	Iagoku	10
68	jimintyy	10
68	Frxnkz	10
68	_Cloverbelle_	10
72	ImpavidArcher	9
72	PortlyPete69	9
74	titanlax	8
74	LilLizardWizard	8
74	xolstoi	8
77	cichy096	7
77	UrbanPlanningEx	7
79	livingdaydreams	6
79	ITDV	6
79	SuperPooch06	6
79	jewbacaman	6
79	Meatlaugh	6
79	DemTechAlpha	6
85	HollieDaNugget	5
85	r123moore	5
85	Kynigito	5
85	Groundler	5
89	PizzaJake	4
89	SaucyDark	4
89	RebelAndroid	4
89	301851	4
89	corvidpartyfor6	4
89	_Dean_123	4
89	TheDankPlatypus	4
89	RustyKedel	4
89	SirPiccardo	4
89	epiksk8erduck	4
89	Kryktal	4
89	Tyrannosplart	4
89	BumbleBeever	4
89	OfficerAnvil	4
89	MelodyGaysharks	4
104	Mewar	3
104	eviltunix	3
104	FreakGenius	3
104	MightyWertu	3
104	djancak	3
104	CalebDHawk	3
104	Hermanni__	3
104	FelixPSY375	3
112	I_Am_Mushkin	2
112	Killercatty78	2
112	jessewegottacook	2
112	Comma__	2
112	SoftSix	2
112	UncreativeArtist	2
112	Winklepicker279	2
112	legal_tax_evader	2
112	MyNameIsJobo	2
112	Hyp3rion_	2
112	dendydoom	2
112	F_Uhre	2
112	Drewen24	2
112	Rasmanden	2
112	Darkgon	2
112	The_Skramz	2
112	SingedBread	2
112	monky_irl	2
112	sleepdrifter_	2
112	PlasticOtari	2
132	Ryan_GEMS	1
132	rarrq	1
132	dopplexd	1
132	ashetrays	1
132	Ravenbie	1
132	12Magner05	1
132	ProfessorBee	1
132	NotMeanttoChange	1
132	LavenderBi1ch	1
132	SHAOBADMAN	1
132	Giannism	1
132	ChillenChiggen	1
132	Malware_Mara	1
132	AJplaysMC_	1
132	Eczbox	1
132	oscminus	1
132	Btabtab	1
132	lizardfightclub	1
132	Pootis11	1
132	NoChumpChange	1
132	claivin	1
132	E775	1
132	ReflexCode	1
132	fluddd	1
132	radioactv_jelly	1
132	bndo	1
132	JosephCW	1
132	_Tilariel_	1
132	brofrickcheaters	1
132	ediballbearings	1
132	Eczbek	1
132	EcksD	1
132	jnp_gaming	1
132	Jordan_R	1
