rank	username	minecraft:crafted/minecraft:emerald_block
1	thewindmillman	562027
2	noam464	115854
3	Spacewardharpy7	43728
4	beeperbeeper5	11985
5	joethahobo	8358
6	Werbe	8340
6	AssEatrAndLicker	8340
8	PigDab	7932
9	Blaiku	7816
10	pintsizedrogue	4950
11	TechnoNinja64	4567
12	Sral7	4088
13	Soplight	2402
14	Di_infiri	2317
15	Inbefour	2283
16	Hyp3rion_	1958
17	Lord_Jord	1867
18	Smoke____	1722
19	Frozil12	1655
20	Merv__	1533
21	Drlzyy	1351
22	thescout7	1307
23	Zythose	1281
24	pixelviolin	1227
25	oxfordschool	1080
26	YungMaki	1075
27	RebelAndroid	1025
28	Dogcorn69420	1012
29	Sky_light_KING	936
30	Snowflowe	898
31	kekhon	810
32	TheSecondLord	782
33	MightyWertu	771
34	mariominejedi	770
35	set67	690
36	sp00ky_ghost977	655
37	Mahoose	610
38	Fullut	608
39	Freak_Genius	568
40	KingMatthew506	496
41	WyngGoy	488
42	bloodbiter	457
43	Ezekson	454
44	Enderslayerxz3	452
45	500am	431
46	HellsSponge	396
47	FelixPSY375	386
48	EcksDofficial	365
49	slkiey	348
50	himak1	314
51	MakeHistory157	312
51	stahouo	312
53	Quotary	307
54	loveseeker	292
55	Dedalus36	288
56	Historical_Sand	281
57	claivin	277
58	lordpipe	274
59	MilleGrug	269
60	Rumpletaezer	261
61	OtariCharlie	240
62	_3Stump_	238
63	ZeroKraken	232
64	fffMike	224
65	fluddd	215
66	6king6colt6	212
67	NoChumpChange	211
68	EcksD	207
69	Kyrum2169	204
69	Spenduh	204
71	AuroraValkyrie	194
72	BumbleBeever	185
73	Skippeh	171
74	TheEnderman548	163
75	Hermanni__	162
76	thgrocks	161
77	m_be9	157
78	Skylord_Luke	150
79	jnp_gaming	147
80	PhantomsGhost_	146
81	EveryonesUncle	145
82	ImpavidArcher	138
83	ROY4LE	137
84	fred870d	135
85	Groovy_MoonBird	128
86	ZaneABrain	125
87	Racengan	115
88	NotMeanttoChange	112
89	2Stout	110
90	diamondgolem35	109
91	Kkanot	104
92	FirsTimeGamingTV	102
93	PlzNoBM	101
94	youhjjhhhjj	99
94	TheDumbHuman	99
96	cedric72	98
97	Vizzoid	97
98	lillips	94
99	SuperStreetCat	92
100	ElectricDragon81	91
101	I_Am_Mushkin	89
102	Comma__	84
102	ClemenPine	84
104	Bumpy419	83
104	Akoot_	83
106	NomadicRobin_	80
107	CliffEmAll	77
108	2blox	75
109	ProfessorBee	71
110	SteveCraftBlocks	70
111	emrekn	69
112	gcaisawesome	68
113	Njensen7	65
114	jushykins	64
114	Rocco_Lane	64
114	masskedman	64
117	mwrty	63
118	diggydog67	62
119	Rasmanden	58
120	censorsheep	55
121	wezzzi	54
121	Gab4101	54
123	Gryglu583	53
124	BobDeBouwer1337	51
125	PegLegPete93	50
126	oreee	49
126	Hiryu27	49
126	TheShyPig	49
126	Sheldor097	49
130	Awyrlas	48
131	_TCARREIRA_	47
131	Nicserso	47
133	Tommhh	46
133	H72l9w	46
133	TheOuterCore	46
136	HolyVenom	45
137	MattieHD	42
138	q_wq	41
138	Valoth	41
138	Hoid_the_Roamer	41
138	vandmanden	41
142	LexMakesHistory	39
142	MissCeleste7	39
144	El_Jalapeno	38
145	Hpdinosaur	37
145	BodaciousCake	37
147	mimbo1211	36
148	titanlax	35
148	Eraxa	35
150	JohnnyFyes	34
150	eitanzaki	34
152	awesomeoneme	33
152	_Nuf	33
154	ShedJr_	32
155	Kubeusz2010	31
155	Dr0xzy	31
157	xxPipperDipperxx	28
157	ApophisNova	28
157	yulgur1	28
157	fkGrim	28
157	MyNamaSheff	28
162	Hisiste	27
162	__tomato	27
164	WarHammer3	26
164	Blackberry1310	26
164	sebastiensaborio	26
167	Xclax101	25
167	geekbird	25
167	GlitchyPlate810	25
170	Soap_Bender	24
171	Inchef	23
171	Arceus1975	23
171	SkateboardR6	23
174	stavgod	22
174	alderban107	22
176	iSlimSonic	21
177	SaucyDark	20
177	r123moore	20
177	M_Patata	20
177	MasterNueve	20
181	Wooptey	19
181	DarlaMeow	19
181	Steven1282598	19
181	Groundler	19
185	ItzWqlfy	18
185	starbits140	18
185	JayToe	18
188	Winklepicker279	17
188	FallenCorps	17
190	SoftSix	16
190	Nycteus_	16
190	07shiny	16
190	Luigipunch989	16
194	Mewar	15
194	Paintz	15
196	fanofbands101	14
196	Ailmast	14
198	gabriels543	13
198	chipklip	13
198	Cocoamallows	13
198	h2p_emrld	13
202	TooManyDuck	12
202	livingdaydreams	12
202	Rich_Kat	12
202	kensli	12
202	Kouridragon	12
202	IdeallyGrey	12
208	DTwenty	11
208	NameGenerat0r	11
210	AnnieBathory	10
210	lizardfightclub	10
210	RodSerlingCringe	10
