rank	username	minecraft:crafted/minecraft:pink_glazed_terracotta
1	QuiCreans	1336
2	Yamdalorian	416
3	Buuck_	316
4	Hyp3rion_	276
5	lordpipe	244
6	Biites	206
7	beeperbeeper5	192
8	Jimb0nat0r	164
9	luseis	121
10	Lez_	110
11	FreakGenius	100
12	Jackattack53	84
13	Blaiku	73
14	noam464	63
15	oscminus	60
16	ImpavidArcher	48
17	Snowflowe	46
18	Mr_Byzantine	36
18	mymayowasgone	36
20	jnp_gaming	33
21	pixelviolin	29
22	Werbe	24
22	Kowcio_	24
22	Pumpkin_P_Patch	24
25	Krowuss	23
26	Boipl	21
27	joethahobo	20
28	SaucyDark	16
29	EMC_	12
29	Smashic	12
29	Lord_Jord	12
29	MAns_44	12
29	sp00ky_ghost977	12
29	hermmm_	12
35	Bumpy419	8
35	PaperCanvas	8
35	Inbefour	8
35	StinkyDiplomat	8
35	Gus2005	8
35	mobunni	8
41	PhantomsGhost_	7
41	Ryker	7
41	Historical_Sand	7
44	doublemaki	4
45	EngagedGrub41	3
46	Bandito_Roamer	1
46	ItsDeltaMC	1
46	Enderxz3	1
