rank	username	minecraft:crafted/minecraft:gray_terracotta
1	doublemaki	104496
2	thewindmillman	24032
3	Rumpletaezer	13932
4	joethahobo	9552
5	Huwulling	7472
6	EcksD	6604
7	QuiCreans	3680
8	kekhon	2352
9	titanlax	1928
10	Jackattack53	1760
11	cuddlyMonster	1624
12	Inbefour	1528
13	xxPipperDipperxx	1340
14	TheSecondLord	1312
15	Alteriity	1228
16	craaaash	936
17	Mahoose	792
18	ConnorDanky_	784
19	Werbe	768
20	Dan_Scha	760
21	Kowcio_	748
22	Mr_Byzantine	720
23	milltesco	704
24	HellsSponge	668
25	DarlaMeow	600
26	Frozil20	576
27	Sral7	523
28	pintsizedrogue	468
29	Mattesco	396
30	Onennon	320
30	CattSoup	320
30	PlasticOtari	320
33	ImpavidArcher	280
34	mymayowasgone	240
35	TheShyPig	200
36	eitanzaki	192
36	bl1ss0	192
36	Chromary	192
36	Hiryu27	192
36	ZoomieZoomie	192
41	Zaridey	184
42	Kakolbus	152
43	Blackberry1310	144
43	Hyp3rion_	144
43	Jimb0nat0r	144
46	_Karmaa	136
47	hanaryheatwave	132
48	500am	128
49	oscminus	120
50	luseis	108
51	Manaateee	96
52	Yamdalorian	95
53	EMC_	80
53	NameGenerat0r	80
55	Merv__	72
55	beeperbeeper5	72
57	Tommhh	64
57	mwrty	64
57	Marbz_	64
57	lordpipe	64
57	MilleGrug	64
62	MattieHD	60
63	Lez_	56
63	Syropatathe	56
65	ooga47	40
66	emreknugrlu	36
66	Pumpkin_P_Patch	36
68	noam464	34
69	Enderxz3	32
69	LuvLuvLove	32
71	pixelviolin	30
72	Bandito_Roamer	24
72	ECstardust	24
72	Krowuss	24
72	Akoot_	24
72	The_SlideV5	24
77	2Stout	16
78	XxCookiequeenxX	12
79	_Huge_Male_	8
79	NinjaKnifeKill	8
79	Crowman1	8
79	excelsionprime	8
79	Snowflowe	8
79	MonitorLizards	8
79	Deathkob	8
79	Karbl	8
79	StinkyDiplomat	8
79	Spacewardharpy7	8
79	ItsDeltaMC	8
79	StarCookiees_	8
91	Comma__	5
91	Buuck_	5
93	EngagedGrub41	2
