rank	username	minecraft:crafted/minecraft:apple
1	noam464	4040
2	eitanzaki	2660
3	Frozil12	2256
4	PlasticOtari	1992
5	Werbe	1756
6	500am	1536
7	beeperbeeper5	1420
8	Blaiku	1024
9	TechnoNinja64	856
10	pintsizedrogue	704
11	Di_infiri	616
12	Kakolbus	580
12	PigDab	580
14	jnp_gaming	572
15	TheShyPig	552
16	MightyWertu	522
17	NotMeanttoChange	512
17	HolyVenom	512
19	Hyp3rion_	504
19	Smoke____	504
21	egglapras	448
21	Spacewardharpy7	448
23	Racengan	388
24	Inchef	384
25	Historical_Sand	376
26	Drlzyy	360
27	_Virify_	320
27	gcaisawesome	320
27	fred870d	320
27	Lord_Jord	320
31	RebelAndroid	308
32	joethahobo	304
33	DarlaMeow	288
34	slkiey	256
34	GlitchyPlate810	256
34	Sral7	256
37	stahouo	224
38	Snowflowe	212
39	Enderslayerxz3	200
40	Comma__	196
41	Lez_	192
41	fw3xywashere	192
41	TheEnderman548	192
41	AltnumberF4	192
45	TheSecondLord	188
46	The_slideV3	152
47	Sleepy_Time_	140
48	kekhon	136
49	oxfordschool	132
50	hm947	128
50	CruncyIsTaken	128
50	lillips	128
50	Powowowow	128
54	SvenskaHugo	116
55	MinttyFressh	112
55	Skylord_Luke	112
55	Eraxa	112
58	Fast_Turtle	96
58	Skippeh	96
60	thescout7	80
61	m_be9	72
61	Nicserso	72
63	Bumpy419	70
64	Inbefour	68
65	teslawolf38	64
65	EMC_	64
65	Fullut	64
65	emrekn	64
65	ROY4LE	64
65	XboxPanda	64
65	Rumpletaezer	64
65	Sky_light_KING	64
65	Jiminie	64
65	chipklip	64
65	wwwwinnebagoooo	64
65	lordpipe	64
65	Soplight	64
65	SammiWolfGirl	64
65	LeeMcGee30	64
65	EcksD	64
81	Cowison	60
81	Arceus1975	60
83	pixelviolin	56
83	Luigipunch989	56
85	sp00ky_ghost977	52
86	MineMaster0012	48
86	FishisTTV	48
88	jacxhadow	44
89	BodaciousCake	40
89	sufjanlover	40
91	CoffeeNoir	36
92	censorsheep	35
93	Merv__	32
93	Maltyy	32
95	T045RTY	28
95	PegLegPete93	28
97	himak1	24
97	ApophisNova	24
97	Kouridragon	24
97	Onennon	24
97	MyNamaSheff	24
102	Ryker	20
102	JayToe	20
104	John6970	16
104	IdeallyGrey	16
104	WYFYoyo	16
107	set67	12
107	xo_Marren_xo	12
107	sammidk	12
110	diamondgolem35	8
110	Mahoose	8
110	mwrty	8
110	theonlymagikarp	8
110	ooga47	8
110	Dogcorn69420	8
110	Lowjinx	8
110	Zoeyfortnite	8
118	SyntheticSurgeon	4
118	ShedJr_	4
118	Blackberry1310	4
118	loveseeker	4
118	starbits140	4
118	ZeroKraken	4
118	KingMatthew506	4
118	FelixPSY375	4
