rank	username	minecraft:crafted/minecraft:yellow_stained_glass
1	Hyp3rion_	17344
2	beeperbeeper5	5952
3	lordpipe	4992
4	hanaryheatwave	1744
5	Lez_	1528
6	MakeHistory157	544
7	EcksD	488
8	El_Jalapeno	432
9	Frozil20	408
10	groofles	368
11	RoskobiOne	296
12	Soplight	272
12	LuvLuvLove	272
14	oscminus	248
14	claivin	248
14	stellarjay	248
17	TheSecondLord	240
17	Yamdalorian	240
19	Jimb0nat0r	232
20	wx4z	192
20	Spacewardharpy7	192
20	mihimihimihi	192
20	Eczbek	192
24	The_slideV3	184
25	EMC_	176
26	xxPipperDipperxx	160
26	Kowcio_	160
28	pintsizedrogue	152
28	Kubelz	152
30	luseis	144
31	Rumpletaezer	136
32	joethahobo	128
32	Jackattack53	128
32	TheShyPig	128
32	Deathkob	128
32	Cache3	128
37	Touched_Bread	120
38	cuddlyMonster	108
39	Groundler	104
40	titanlax	96
40	tobinwilliams	96
40	AlexxO_o	96
43	blackeemperor	80
43	PlasticOtari	80
45	BlueZabu	72
45	Maenara	72
45	Blaiku	72
48	_Huge_Male_	64
48	BadenStayFly	64
48	Notta	64
48	kekhon	64
48	philandr	64
48	Marbz_	64
48	DC_XII	64
55	Steelynan	56
55	jnp_gaming	56
57	500am	48
57	Chuvacevedo	48
57	ougstur	48
60	Niklas20114552	32
60	Wooptey	32
60	jushykins	32
60	Snowflowe	32
60	ConnorDanky_	32
65	Literally_Rat	24
65	Mahoose	24
65	royal_2	24
65	mwrty	24
65	Inchef	24
65	ROY4LE	24
65	thewindmillman	24
65	Bumpy419	24
65	Mattesco	24
65	XxCookiequeenxX	24
65	tompup	24
65	MrMeisterProper	24
65	The_SlideV5	24
78	HellsSponge	20
79	AuroraValkyrie	16
79	xXTheWolfmanXx	16
79	akap47	16
79	12Magner05	16
79	Inbefour	16
79	EveryonesUncle	16
79	Sorry_Arey07	16
79	MAns_44	16
79	Optiprimus	16
79	LordSpeed37	16
79	fffMike	16
90	Jovaphobic	8
90	CLG_Kata	8
90	dabloons	8
90	PazinGaming	8
90	Merv__	8
90	shineh10	8
90	powercas_gamer	8
90	6king6colt6	8
90	SaucyDark	8
90	SOA1RR	8
90	Huwulling	8
90	rarrq	8
90	Saucepeh	8
90	CliffEmAll	8
90	corvidpartyfor6	8
90	Smashic	8
90	Fullbit_	8
90	Awyrlas	8
90	fade_emerge78823	8
90	orxngejuice	8
90	Zaridey	8
90	bl1ss0	8
90	craaaash	8
90	yheece	8
90	MyNameIsJobo	8
90	Arceus1975	8
90	domagawha	8
90	Werbe	8
90	ScootOfBoot	8
90	RobotMinion101	8
90	Onennon	8
90	Akoot_	8
90	ogoa	8
90	KlausVonStiglitz	8
90	Meatlaugh	8
90	Manaateee	8
90	Blu3beast	8
90	Xclax101	8
90	_flud	8
90	TheDumbHuman	8
90	pixelviolin	8
90	Spenduh	8
90	miramyu	8
90	PortlyPete69	8
90	robonya_	8
90	Dogcorn69420	8
90	_3Stump_	8
90	Quotary	8
90	little_dUki	8
