rank	username	minecraft:crafted/minecraft:smooth_sandstone_stairs
1	joethahobo	8964
2	sebastiensaborio	1745
3	2Stout	760
4	Frozil12	465
5	SteveCraftBlocks	336
6	_stets	215
7	Babushka0430	152
8	Kim_Jong_eel	144
9	CoffeeNoir	136
9	The_slideV3	136
11	KarlKaek	132
12	TheShyPig	128
13	Merv__	123
14	Inchef	88
15	XxCookiequeenxX	84
16	YungJakobo	72
16	ApophisNova	72
16	MyNamaSheff	72
19	ImpavidArcher	64
19	Wooptey	64
19	John6970	64
19	Winklepicker279	64
23	Blackberry1310	62
24	YoshikageBites	60
25	Onennon	48
26	Jiminie	45
27	andy_rex	44
28	peach0s	40
28	Eraxa	40
28	AltnumberF4	40
31	Soplight	36
32	cedric72	32
33	Groovy_MoonBird	28
33	MeowMeowMcmuffin	28
33	mwrty	28
36	kekhon	24
36	RodSerlingCringe	24
38	Inbefour	20
38	SexcMf	20
40	eitanzaki	16
40	duqboy	16
40	Meatlaugh	16
40	__tomato	16
40	EcksDofficial	16
45	Werbe	12
45	Kyrum2169	12
45	oxfordschool	12
45	Enderslayerxz3	12
49	Hpdinosaur	8
49	Mahoose	8
49	oreee	8
49	SuperPooch06	8
49	chipklip	8
49	MyNameIsDakar	8
55	ReyTheLegend	6
55	PlasticOtari	6
57	pintsizedrogue	4
57	AuroraValkyrie	4
57	I_Am_Mushkin	4
57	Ssor69	4
57	NotMeanttoChange	4
57	Felenov	4
57	RobotMinion101	4
57	Akoot_	4
57	FreddyFart	4
66	beeperbeeper5	2
67	Wowful	1
