rank	username	minecraft:crafted/minecraft:charcoal
1	EveryonesUncle	5298
2	DTwenty	1275
3	dartwaffle	1131
4	Smoke____	887
5	PeteO1995	463
6	TastyPorkchop	435
7	Felenov	410
8	KarlKaek	395
9	selectrix	393
10	TAKrules	328
11	layabout100	303
12	Russiancat1	293
13	dendydoom	260
14	Jovaphobic	256
15	Fullut	241
16	Tommhh	237
17	Teebone15	232
18	RebelAndroid	220
19	kyouma777	181
20	himak1	171
21	livingdaydreams	163
22	Ryker	152
23	Mr_Byzantine	148
23	Lukeee33	148
23	Gingayy	148
26	ese_wn_po	147
27	_Cloverbelle_	146
28	xxPipperDipperxx	143
29	Drawgirll	136
30	BlueZabu	131
30	Lowjinx	131
32	PhantomsGhost_	130
33	Arceus1975	128
34	_stets	124
35	LordAurum	113
36	Spacewardharpy7	108
37	2Stout	93
37	IAmTheWalrus910	93
39	spencersolberg	92
40	__hinterland__	91
41	BurgerKnight	90
42	Studyhallsaver	89
43	Soul_Atreus	88
44	Kryktal	79
45	ooga47	78
46	John6970	75
47	MineMaster0012	69
48	Khelvoryk	66
48	NotoriousNina	66
50	SlayerCrypto	65
50	lolpoottoot	65
52	Paint	64
52	LitoDelvito	64
52	MonitorLizards	64
52	Toiton	64
52	DemTechAlpha	64
52	Zoeyfortnite	64
58	Bobby808	63
59	KeruNatsema	60
60	Bandito_Roamer	59
61	Hormones	58
62	CarltheCuck	55
63	DeeDeeThonk	54
64	Strangemonkey71	51
65	Groovy_MoonBird	48
65	Ristebraaten	48
65	Poppy235	48
68	InfernalMound	47
68	ehunt54	47
70	Prodiginus	45
71	Sleek_Storm_721	44
72	Kynigito	43
72	MADDMASTA	43
72	Schlitzman	43
75	leaf26	41
76	Malorn_Aetherius	40
76	DarlaMeow	40
76	SUN_DREAM	40
76	Nargotah	40
80	PhantomBionic	39
80	Rorrofighter	39
82	Hiryu27	38
83	SunsetwolfGG	37
84	CollinMH06	35
85	Thaumatarge	34
85	PigDab	34
85	Syropatathe	34
88	Fuhrer_Teemo	33
89	MunkaKris	32
89	weezygator	32
89	Arteriana	32
89	Blackberry1310	32
89	minersam1	32
89	ROY4LE	32
89	Quinasin	32
89	rotten_mango	32
89	Freak_Genius	32
89	carpet4_69	32
99	NibPicker	31
99	Akoot_	31
99	Blu3beast	31
99	monky_irl	31
99	x86assembly	31
104	Slinkyy7071	30
104	eitanzaki	30
104	_Karmaa	30
107	12Magner05	29
107	Sheldor097	29
109	SyK7	28
109	regulator75	28
111	AngalexikCZ	27
112	not_a_duck_23	26
112	noam464	26
112	HolyVenom	26
115	pumpfonzo	25
115	ReyTheLegend	25
115	Kowcio_	25
118	CruncyIsTaken	24
118	_Bguette_	24
118	CheifJumbo	24
118	AltnumberF4	24
122	_Razar	23
123	MrBeesMan	22
123	hm947	22
123	__Fanda__	22
126	Binobena	21
126	Deathkob	21
126	balin55	21
129	pintsizedrogue	19
129	Cidah	19
129	falcn15	19
129	OreoPenguin_	19
129	mountaingirl311	19
134	The_Great_Jake	18
134	Aurenz	18
134	CyrusIsTired	18
134	SHAOBADMAN	18
134	Lord_Jord	18
134	TheOnlyRake	18
140	SaltineDream	17
140	Kegradigm	17
140	Tino666	17
140	Winklepicker279	17
140	stahouo	17
145	HuangMeiHua	16
146	BodaciousCake	15
146	dopplexd	15
146	m_be9	15
146	RedbreadPiracy	15
146	xKhoshekh	15
146	rii1efnaki	15
146	JasmineGK	15
153	TheBiggestFeller	14
153	Stynxy	14
153	RainbowSpaceCow	14
153	TheSecondLord	14
153	DarkDescent2392	14
153	lizardfightclub	14
153	comjosh64	14
153	Typadopoulos	14
153	Vorlice	14
153	sp00ky_ghost977	14
163	Goleam	13
163	CliffEmAll	13
163	kekhon	13
163	ToxicHauntling	13
