rank	username	minecraft:crafted/minecraft:birch_fence
1	Smoke____	7410
2	joethahobo	2367
3	TechnoNinja64	984
4	kekhon	960
5	sp00ky_ghost977	923
6	Di_infiri	884
7	Kryktal	705
7	El_Jalapeno	705
9	stuy9	687
10	stellarjay	672
11	Kynigito	657
12	FreakGenius	648
13	Mahoose	633
14	lordpipe	615
15	eitanzaki	579
15	Spacewardharpy7	579
17	Ezekson	561
18	Legendosh	516
19	beeperbeeper5	513
20	SkyHighSkier	474
21	Lez_	468
22	UrbanPlanningEx	453
23	AlexStrange	369
24	Wowful	348
25	LeauVox4921	336
26	Simon_Lowell	324
27	TheShyPig	312
28	_Cloverbelle_	303
28	ClemenPine	303
30	UCP_TheKingK	288
31	LilLizardWizard	275
32	Blackberry1310	273
33	KarlKaek	270
34	pintsizedrogue	258
35	Zielo2017PL	255
36	IAmTheWalrus910	249
37	Zythose	243
37	xolstoi	243
39	DermeinUser	219
40	legal_tax_evader	210
41	Sabby65	209
42	catandmoose	195
43	EMC_	192
44	Fuad_R	186
45	Akoot_	183
46	Deerfoot	180
47	Soplight	177
48	xzvu	174
49	ReflexCode	168
49	MakeHistory157	168
51	diggydog67	165
52	SaucyDark	162
53	djancak	153
54	eviltunix	150
55	SyntheticSurgeon	138
55	crying_wolf_13	138
57	Esme_1	132
57	ProfessorBee	132
57	Quotary	132
60	jspwn	129
61	_Dean_123	126
62	BumbleBeever	117
63	dendydoom	114
64	RustyKedel	108
64	thewindmillman	108
64	The_Quack_Dealer	108
67	Foof13	96
67	picardred	96
67	Elastiq	96
67	Lord_Jord	96
67	LeeMcGee30	96
72	Drewen24	93
73	cichy096	90
74	TheSecondLord	87
74	DC_XII	87
76	anbbang	83
77	Nicserso	81
78	InfernalMound	78
78	MinttyFressh	78
78	olliebollie48	78
78	burbankbuilder28	78
82	MelodyGaysharks	75
83	KlausVonStiglitz	72
83	E775	72
85	Mr_Byzantine	69
85	smarticuno	69
85	NoChumpChange	69
88	500am	66
88	DanTheBuilderino	66
88	tompup	66
91	WET_WET_WET	63
91	bndo	63
91	Sral7	63
94	The_Skramz	62
95	Killercatty78	60
95	Smashic	60
95	Stiar	60
95	F_Uhre	60
95	Pootis11	60
95	Warlord324	60
95	RoboTramp7865	60
95	jnp_gaming	60
103	PizzaJake	57
103	teslawolf38	57
103	shdesolt	57
103	Arceus1975	57
107	Tommhh	54
107	dopplexd	54
107	jedi_george	54
107	_Karmaa	54
107	Catharsist	54
112	Krasnal1337	51
112	ImpavidArcher	51
112	Deathkob	51
112	OfficerAnvil	51
116	tuckerdoodle	48
116	mwrty	48
116	MousePlays	48
116	HellsSponge	48
116	BuildTheGondola	48
121	Crasswolf	46
122	CoffeeNoir	45
122	ShedJr_	45
122	Jokerman369	45
122	LavenderBi1ch	45
122	CollinMH06	45
122	HAruSAme14	45
128	UncreativeArtist	43
129	SuperPooch06	42
129	LunarRedPanda	42
129	Xclax101	42
129	SingedBread	42
129	EcksD	42
129	BreadBacon	42
135	RebelAndroid	39
135	livingdaydreams	39
135	r123moore	39
135	Inbefour	39
135	YungMaki	39
135	SammiWolfGirl	39
135	Nargotah	39
142	PhantomsGhost_	36
142	301851	36
142	DBoydart303	36
142	ashetrays	36
142	luseis	36
142	nonarso	36
148	bigstankyy	33
148	stopfive	33
148	Snowflowe	33
148	ooga47	33
148	Moofyman	33
148	CACTUSLAD	33
148	Enderxz3	33
148	PlasticOtari	33
156	XboxPanda	30
156	KeruNatsema	30
156	Blamphe	30
159	Ssor69	27
159	noam464	27
159	AlexChristian	27
159	EveryonesUncle	27
159	NYJ	27
159	wwwwinnebagoooo	27
159	Vellu21	27
166	I_Am_Mushkin	24
166	Nicky_H225	24
166	Ravenbie	24
166	Bazongoman	24
166	ChillenChiggen	24
166	MyNameIsJobo	24
166	Racengan	24
166	ReyTheLegend	24
174	GingerNeutron	21
174	Inchef	21
174	xxPipperDipperxx	21
174	JoeSaysBingBong	21
174	monky_irl	21
174	ConnorDanky_	21
180	Groovy_MoonBird	18
180	himak1	18
180	surfinggiraffejp	18
180	Bolete	18
180	fluddd	18
180	LetsDoItLive	18
180	07shiny	18
180	__tomato	18
188	Hormones	15
188	_Nuf	15
188	Fullut	15
188	Jij0	15
192	6king6colt6	12
192	Iagoku	12
192	IWorkAtIkea	12
192	Kkanot	12
192	NotTrixi	12
192	mimbo1211	12
192	prizm_	12
192	SlayerCrypto	12
192	RoofTyler	12
192	Blu3beast	12
192	c0la_c0ca	12
192	KingMatthew506	12
204	La_Conne	9
204	jessewegottacook	9
204	SteveCraftBlocks	9
204	4774	9
204	NotMeanttoChange	9
204	The11thDoctor	9
204	LeGold	9
204	NomadicRobin_	9
204	RedcatVII	9
204	yatsuta	9
204	Kowcio_	9
204	ediballbearings	9
204	Steelynan	9
204	bitsplease	9
218	ANGIELUVSDWEAM	6
218	ganyuganyu	6
218	diamondgolem35	6
218	BlancoFlaco	6
218	Alteriity	6
218	heckface	6
218	TheDankPlatypus	6
218	SHAOBADMAN	6
218	Avrelion	6
218	fallingemma	6
218	CarltheCuck	6
218	killmeiamtraitor	6
218	Hiryu27	6
218	Werbe	6
218	Onennon	6
218	MonitorLizards	6
218	Rasmanden	6
218	magmaniacmc	6
218	Groundler	6
218	NiveauSubmarine	6
218	SvenskaHugo	6
218	MineMaster0012	6
218	CattSoup	6
218	Powowowow	6
218	bladeefan2009	6
218	JayToe	6
244	Merv__	3
244	Wooptey	3
244	jimintyy	3
244	T045RTY	3
244	Myszoaz	3
244	Swexti	3
244	bloodbiter	3
244	12Magner05	3
244	corvidpartyfor6	3
244	TheDiamondCG	3
244	Awyrlas	3
244	Poppycop	3
244	Winklepicker279	3
244	Giannism	3
244	Hoid_the_Roamer	3
244	wrinkledpiglet	3
244	AlexxO_o	3
244	YahooScreen9000	3
244	dezxalo	3
244	IamCL4SSY	3
244	ADEXTV	3
244	Gryglu583	3
244	_Bguette_	3
244	Soap_Bender	3
244	NameGenerat0r	3
244	DukBob	3
244	Cavetorch	3
244	SUN_DREAM	3
244	Eraxa	3
244	pixelviolin	3
244	CalebDHawk	3
244	mawileite	3
244	little_dUki	3
244	AltnumberF4	3
244	MrMeisterProper	3
