rank	username	minecraft:crafted/minecraft:black_wool
1	Kowcio_	2970
2	LuvLuvLove	2552
3	Werbe	2387
4	pintsizedrogue	1922
5	Hyp3rion_	1729
6	PigDab	1661
7	Jimb0nat0r	774
8	DarlaMeow	704
9	Huwulling	688
10	beeperbeeper5	661
11	xxPipperDipperxx	639
12	mwrty	593
13	Lez_	589
14	jnp_gaming	475
15	Yamdalorian	438
16	QuiCreans	345
17	Frozil20	320
18	MakeHistory157	282
19	CattSoup	274
20	EcksD	256
21	Mattesco	252
22	kekhon	230
23	burbankbuilder28	220
24	eitanzaki	213
25	Kakolbus	204
26	Spenduh	189
27	fffMike	164
28	EdGalbraith	155
29	SingedBread	134
30	IamCL4SSY	128
30	LexMakesHistory	128
30	SvenskaHugo	128
33	k_ce	121
34	handsome_strong	112
35	cuddlyMonster	110
36	Crowman1	100
36	TheWickedBird	100
38	Mr_Byzantine	99
39	EMC_	90
39	Blackberry1310	90
39	MAns_44	90
42	Myntsys	87
43	500am	86
44	MC_Skribble	80
45	MattieHD	79
46	Spacewardharpy7	78
47	Manaateee	70
48	Cache3	66
49	seanitoo	64
49	tuckerdoodle	64
49	Inchef	64
49	Cocoamallows	64
49	PlzNoBM	64
49	Nicserso	64
49	Enderxz3	64
49	UrbanPlanningEx	64
57	Krowuss	63
58	Inbefour	61
59	Studio4x32	60
60	Merv__	59
61	Legendosh	57
62	_Karmaa	54
63	cedric72	53
64	ECstardust	50
64	M_Patata	50
64	MasterNueve	50
67	ooga47	48
68	Btabtab	45
69	Winklepicker279	44
70	PlasticOtari	43
71	TheSecondLord	37
71	thewindmillman	37
71	miramyu	37
74	Blu3beast	36
75	hm947	34
75	m_be9	34
75	Kynigito	34
75	weabis	34
79	Maenara	33
80	_flud	32
81	T045RTY	30
81	EveryonesUncle	30
83	Rocco_Lane	29
83	Bumpy419	29
83	Onennon	29
86	Leyna3	28
87	Fullut	27
88	Quotary	26
89	teslawolf38	24
89	titanlax	24
89	Kyrum2169	24
92	MrExplorer	21
92	CarltheCuck	21
92	ZoomieZoomie	21
95	RobotMinion101	20
96	ImpavidArcher	18
96	Kronos42	18
96	skroobiez	18
96	Kubeusz2010	18
100	rarrq	17
100	hermmm_	17
102	noam464	15
103	Snowflowe	14
103	KeruNatsema	14
105	Olib3ar	12
105	audiocracked	12
105	censorsheep	12
108	Covalents	11
108	Dakar_	11
110	Zaridey	10
110	Chromary	10
110	Boipl	10
110	DemTechAlpha	10
110	FreakGenius	10
110	doublemaki	10
110	MilleGrug	10
117	robertsnose	9
117	pappaberg	9
117	Avocadogerms	9
117	Slapface522	9
121	Mahoose	8
121	Arceus1975	8
123	Reamdin	7
123	El_Jalapeno	7
125	SuperPooch06	6
125	TheShyPig	6
125	Drewen24	6
125	layabout100	6
125	Razzgriz	6
125	Eraxa	6
125	__tomato	6
125	SSytex_X	6
125	Eczbek	6
125	es0th	6
135	Cryptacity	5
135	Buuck_	5
137	hollowww	4
137	heckface	4
137	Nach0Bear	4
137	LilLizardWizard	4
137	Fuad_R	4
137	TheKingK_	4
137	PortlyPete69	4
137	Winston_Ingram	4
145	Morgf	3
145	Ssor69	3
145	HAIRYCLOUD626	3
145	xDraggin	3
145	ReflexCode	3
145	Colmer94	3
145	starbits140	3
152	squigglybones	2
152	Gregward_Smith	2
152	LetsDoItLive	2
152	LordSpeed37	2
152	pixelviolin	2
152	JayToe	2
158	Megarboh	1
158	Guillemet	1
158	_witch_craft_	1
158	Scathra	1
158	imcombxt	1
158	Rumpletaezer	1
158	Akoot_	1
158	Renchi19	1
158	Luigipunch989	1
