rank	username	minecraft:crafted/minecraft:nether_brick
1	TheShyPig	15375
2	BobDeBouwer1337	10681
3	pintsizedrogue	10364
4	Bandito_Roamer	9139
5	cedric72	7922
6	jacxhadow	7744
7	Vorlice	6564
8	TheBiggestFeller	6356
9	ciemacigans	4417
10	EveryonesUncle	3514
11	ooga47	3071
12	King_Pancake1	2957
13	m_be9	2751
14	Smoke____	2553
15	Eraxa	2432
16	Legendosh	2366
17	Lord_Jord	2353
18	dudcreeper	2308
19	stellarjay	2245
20	djancak	2112
21	kekhon	2075
22	RobotMinion101	1937
23	AlphaWolfPlaysMC	1884
24	rarrq	1713
25	SvenskaHugo	1690
26	Kamflame10	1685
27	DermeinUser	1653
28	Nargotah	1646
29	AnnieBathory	1623
30	MyNameIsJobo	1521
31	DanTheBuilderino	1472
32	chlorinex	1402
33	Decaying_Lotus	1318
34	Cowison	1307
35	Xclax101	1247
36	dendydoom	1199
37	Snowflowe	1186
38	The_slideV3	1088
39	Wolf_Mauler_73	1049
40	livingdaydreams	1024
41	Aezekial	1016
42	SyK7	1012
43	Dedalus36	943
44	Sleek_Storm_721	916
45	YungMaki	896
46	r123moore	888
47	yulgur1	832
48	Xalithia	768
49	BlancoFlaco	754
50	MAns_44	704
51	ogoa	640
51	lcvezra	640
51	h2p_emrld	640
54	starbits140	604
55	xxPipperDipperxx	578
56	Blackberry1310	577
57	Enderslayerxz3	576
58	lordpipe	562
59	anbbang	550
60	DennyKai	518
61	Frozil12	515
62	Jackster03	512
62	ApophisNova	512
62	GravitySaint	512
62	Spacewardharpy7	512
62	MyNamaSheff	512
67	Moetis	499
68	Paint	466
69	nataliecool	463
70	FlashMigma	447
71	Ardennes	440
72	bloomkieren	430
73	fred870d	390
74	Njensen7	384
74	bitsplease	384
74	mobunni	384
77	Incinere	380
78	Zythose	363
79	TheSecondLord	342
80	CliffEmAll	340
81	sebastiensaborio	324
82	SUN_DREAM	320
83	striker90333	312
84	NatrixxddxYT	286
85	Kynigito	270
86	EcksD	261
87	ImDisconnected_	254
88	ADEXTV	241
89	Meepcraft	240
90	noam464	231
91	Natty	221
92	ATurtle4936	192
92	sp00ky_ghost977	192
92	kyouma777	192
95	Dusk_95	184
96	Kubelz	179
96	HellsSponge	179
98	Werbe	166
98	AssEatrAndLicker	166
100	stavgod	163
101	egglapras	157
102	_Wannabe_	144
103	Darkgon	143
104	RedcatVII	129
105	Groovy_MoonBird	128
105	Tolhart	128
105	Simon_Lowell	128
105	CollinMH06	128
105	master9067	128
105	wobn	128
105	Typadopoulos	128
112	ROY4LE	112
113	Parcc	101
114	RodSerlingCringe	98
115	Kowcio_	91
116	whoaluv	89
117	Yatitay	73
117	HoldThatPee	73
119	Mahoose	72
120	ShedJr_	67
121	_Virify_	64
121	12Magner05	64
121	MattieHD	64
121	surfinggiraffejp	64
121	mimbo1211	64
121	Skylord_Luke	64
121	lizardfightclub	64
128	Hpdinosaur	62
129	breadbowlgamer	56
130	burbankbuilder28	55
131	Blaiku	44
132	Reamdin	43
133	ayamefag	40
134	chipklip	32
134	MilleGrug	32
136	_Nuf	29
137	I_Am_Mushkin	20
138	Arceus1975	19
139	fr_ser	18
140	420BreadLizard	17
141	Donutt	16
142	bee_gorl	13
142	Quinasin	13
142	oxfordschool	13
145	gcaisawesome	11
146	Freeman666	10
146	Poppy235	10
148	301851	8
148	Kijiki	8
150	jewbacaman	7
151	Freak_Genius	6
152	CharlieButt	4
152	Soplight	4
152	TechnoNinja64	4
155	thewindmillman	2
155	Luigipunch989	2
157	brofrickcheaters	1
