rank	username	minecraft:crafted/minecraft:deepslate_tile_slab
1	Jackattack53	5925
2	mihimihimihi	2653
3	thewindmillman	1036
4	Winklepicker279	906
5	EMC_	852
6	iSammael	846
7	Fuad_R	414
8	Jimi7hits	252
9	joethahobo	202
10	non089	144
11	00000000-0000-0000-0009-01ff0c3e5e4f	138
12	12Magner05	108
13	SvenskaHugo	102
14	Marbz_	82
15	PigDab	76
16	Smoke____	68
17	Steelynan	62
18	RadarHz	54
19	ImpavidArcher	44
19	UCP_TheKingK	44
21	Wowful	42
22	Spacewardharpy7	36
23	hm947	32
24	LeEricc	30
25	Huwulling	24
25	breadbowlgamer	24
25	ZoomieZoomie	24
28	Lord_Doob	22
29	Blackberry1310	20
29	sp00ky_ghost977	20
31	Lez_	18
32	Ryker	16
32	Ezekson	16
34	91stCataclysm	14
35	RoskobiOne	12
35	fluddd	12
37	luseis	8
38	_Boipl_	6
38	Moofyman	6
38	mobunni	6
41	Smashic	4
41	Hyp3rion_	4
41	CalebDHawk	4
44	lordpipe	2
44	Soplight	2
