rank	username	minecraft:crafted/minecraft:purple_dye
1	thewindmillman	101176
2	noam464	13889
3	ConnorDanky_	7230
4	beeperbeeper5	5572
5	YungMaki	2612
6	Huwulling	2504
7	AdmiralSmoke	1887
8	Marbz_	1864
9	PlasticOtari	1756
10	luseis	1732
11	lordpipe	1182
12	Spacewardharpy7	1156
13	Hyp3rion_	1086
14	TheSecondLord	816
15	Snowflowe	702
16	Inbefour	648
17	Rumpletaezer	574
18	TheShyPig	542
19	sxc_	516
20	Steelynan	452
21	pintsizedrogue	430
22	bigstankyy	404
23	MakeHistory157	394
24	kekhon	392
25	LordSpeed37	348
26	HellsSponge	313
27	Awyrlas	264
28	Di_infiri	256
29	mihimihimihi	216
30	joethahobo	208
31	DarlaMeow	200
32	Lez_	198
33	jnp_gaming	188
34	Legendosh	168
35	Froste131	164
36	Kowcio_	158
36	EcksD	158
38	500am	152
39	XxCookiequeenxX	148
40	EMC_	146
41	Cocoamallows	130
42	rarrq	128
42	lillips	128
44	Inchef	112
45	XboxPanda	108
46	gustarlep	100
46	TheEnderMan548	100
48	Merv__	76
48	xxPipperDipperxx	76
50	00000000-0000-0000-0009-01ff0c3e5e4f	74
51	Ezekson	72
52	Akoot_	70
53	SuperPooch06	68
54	shineh10	66
55	Kakolbus	64
55	audiocracked	64
55	EveryonesUncle	64
55	Hermanni__	64
59	MaGro2010	60
60	m_be9	58
60	Bumpy419	58
62	monky_irl	54
63	burbankbuilder28	52
63	BRRRN179	52
65	SmashingPump	48
65	Jackattack53	48
67	Soplight	46
67	PortlyPete69	46
69	pixelviolin	42
70	_Dean_123	40
71	slkiey	38
72	12Magner05	34
73	KarlKaek	32
74	6king6colt6	30
74	tobinwilliams	30
74	_i_ERROR_i_	30
77	Fullut	28
77	ougstur	28
77	UrbanPlanningEx	28
80	Sleek_Storm_721	26
80	Cryptacity	26
82	Notta	24
82	Sharkbyte0	24
82	Blu3beast	24
82	EngagedGrub41	24
82	Quotary	24
82	Enderxz3	24
88	RatatJuice	22
88	Wooptey	22
88	King_Pancake1	22
88	FishyBoy3811	22
88	_TCARREIRA_	22
88	Jimb0nat0r	22
94	Groovy_MoonBird	20
94	Bandito_Roamer	20
94	Comma__	20
94	Typadopoulos	20
94	underscore_2	20
94	MineMaster0012	20
100	heckface	18
100	corvidpartyfor6	18
100	mwrty	18
100	Touched_Bread	18
100	oscminus	18
100	claivin	18
106	BobDeBouwer1337	16
106	ApophisNova	16
106	bearlystraight	16
106	_3Stump_	16
106	ZoomieZoomie	16
106	mobunni	16
106	MyNamaSheff	16
113	Mahoose	14
113	jacxhadow	14
113	dnlksl	14
113	LilLizardWizard	14
113	sp00ky_ghost977	14
113	KingMatthew506	14
119	SaucyDark	12
119	AnnieBathory	12
119	Maenara	12
119	IamCL4SSY	12
119	LordAurum	12
119	stavgod	12
119	lcvezra	12
119	Powowowow	12
127	hollowww	10
127	Crowman1	10
127	surfinggiraffejp	10
127	BlankityMcBlank	10
131	Jovaphobic	8
131	QuiCreans	8
131	Zaridey	8
131	DJenthousiast	8
131	Onennon	8
131	mehen_hokker	8
131	Jiminbub	8
131	KlausVonStiglitz	8
131	El_Jalapeno	8
131	Nycteus_	8
131	censorsheep	8
131	Xclax101	8
131	fluddd	8
131	starbits140	8
131	Luigipunch989	8
146	TechnoNinja64	7
147	Ssor69	6
147	Scathra	6
147	Stiar	6
147	hanaryheatwave	6
147	_Boipl_	6
147	The11thDoctor	6
147	Skomo	6
147	Lord_Jord	6
147	_Karmaa	6
147	StinkyDiplomat	6
147	marumochis	6
147	SingedBread	6
147	SammiWolfGirl	6
147	HesDemonPants	6
161	Mr_Byzantine	4
161	Apollo_993	4
161	soundad	4
161	AuroraValkyrie	4
161	Ryker	4
161	livingdaydreams	4
161	Alteriity	4
161	Swexti	4
161	redikul	4
161	Bolete	4
161	whoaluv	4
161	Krowuss	4
161	Hoid_the_Roamer	4
161	AuroraSkies	4
161	NomadicRobin_	4
161	Deathkob	4
161	MinuteMira	4
161	Tyrannosplart	4
161	Groundler	4
161	Racengan	4
161	SvenskaHugo	4
182	k_ce	2
182	RoskobiOne	2
182	CloroxBleach385	2
182	Paint	2
182	TrNrGhost	2
182	ImNotYuqii	2
182	chimpmunker	2
182	ExtraDumb	2
182	TooManyDuck	2
182	Hpdinosaur	2
182	HollieDaNugget	2
182	RebelAndroid	2
182	Natty	2
182	ZaneABrain	2
182	Prismyst	2
182	ShedJr_	2
182	H72l9w	2
182	Historical_Sand	2
182	Da_Boss_Rani	2
182	TheFlfthHorseman	2
182	Euclidoris	2
182	Sparky_KT	2
182	Prodiginus	2
182	Malorn_Aetherius	2
182	SnowyAvi	2
182	jushykins	2
182	bloodbiter	2
182	Smashic	2
182	Xalithia	2
182	r123moore	2
182	ARandomHedge	2
182	M_Patata	2
182	SeverianOfUrth	2
182	fallingemma	2
182	MyNameIsJobo	2
182	Malware_Mara	2
182	Mattesco	2
182	epiksk8erduck	2
182	MousePlays	2
182	SaintJosie	2
182	420BreadLizard	2
182	Joestra	2
182	Russiancat1	2
182	Fuhrer_Teemo	2
182	NameGenerat0r	2
182	Deerfoot	2
182	Barlycorn	2
182	lolpoottoot	2
182	Hisiste	2
182	_Meow_Mix	2
182	MasterNueve	2
182	iSammael	2
182	Razzgriz	2
182	Eraxa	2
182	bloomkieren	2
182	AssFullaCum	2
182	SSytex_X	2
182	Fizznut909	2
182	Dogcorn69420	2
182	Invintic	2
182	anbbang	2
182	_Dri_	2
