rank	username	minecraft:crafted/minecraft:light_gray_shulker_box
1	pintsizedrogue	157
2	thewindmillman	84
3	luseis	66
4	Awyrlas	65
4	Hyp3rion_	65
6	m_be9	45
7	Skylord_Luke	36
8	500am	33
9	little_dUki	27
10	TheSecondLord	26
11	Mahoose	24
12	Blaiku	22
13	Eraxa	19
13	gusstationwerker	19
15	sp00ky_ghost977	18
15	ConnorDanky_	18
17	Deathkob	16
17	pixelviolin	16
19	Alteriity	15
20	jnp_gaming	14
20	PlasticOtari	14
22	kekhon	12
22	Zythose	12
24	Blackberry1310	10
25	Snowflowe	8
25	Akoot_	8
25	wezzzi	8
25	lordpipe	8
25	YungMaki	8
30	Da_Boss_Rani	7
30	mwrty	7
32	Jackattack53	6
32	HellsSponge	6
32	StinkyDiplomat	6
32	Enderxz3	6
36	Ailmast	5
36	r123moore	5
38	TooManyDuck	4
38	CollinMH06	4
38	Chromary	4
38	Bumpy419	4
38	Racengan	4
43	Frozil20	3
43	Lez_	3
43	Historical_Sand	3
43	beeperbeeper5	3
43	Kakolbus	3
43	groofles	3
43	DTwenty	3
43	_Karmaa	3
43	claivin	3
43	Hisiste	3
43	iSammael	3
43	SammiWolfGirl	3
43	Nicserso	3
56	Merv__	2
56	ImpavidArcher	2
56	Huwulling	2
56	Myszoaz	2
56	ITDV	2
56	joethahobo	2
56	Fullut	2
56	set67	2
56	fade_emerge78823	2
56	LeauVox4921	2
56	gcaisawesome	2
56	Rumpletaezer	2
56	MangoTheFish	2
56	yulgur1	2
56	audiocracked	2
56	Tyrannosplart	2
56	NameGenerat0r	2
56	Jamstroxian	2
56	Nycteus_	2
56	fluddd	2
56	Groundler	2
56	SingedBread	2
56	Warlord324	2
56	Optiprimus	2
56	Kowcio_	2
56	Dogcorn69420	2
56	Njensen7	2
56	Eczbek	2
56	h2p_emrld	2
85	ProbablyNick	1
85	PhantomsGhost_	1
85	RoskobiOne	1
85	AuroraValkyrie	1
85	6king6colt6	1
85	diamondgolem35	1
85	Iagoku	1
85	ExtraDumb	1
85	NinjaKnifeKill	1
85	H72l9w	1
85	rarrq	1
85	Euclidoris	1
85	SDMNAEK	1
85	Cryptacity	1
85	jushykins	1
85	bloodbiter	1
85	MrExplorer	1
85	Megarboh	1
85	corvidpartyfor6	1
85	thescout7	1
85	Xalithia	1
85	xxPipperDipperxx	1
85	Covalents	1
85	noam464	1
85	Zaridey	1
85	prizm_	1
85	Marbz_	1
85	gabriels543	1
85	Arceus1975	1
85	pappaberg	1
85	Hoid_the_Roamer	1
85	Donutt	1
85	Rebytre	1
85	cedric72	1
85	Ender_Souls	1
85	ClemenPine	1
85	IamCL4SSY	1
85	Lord_Jord	1
85	Inbefour	1
85	Lutres_Torane	1
85	YungWali	1
85	1442	1
85	MAns_44	1
85	Blu3beast	1
85	censorsheep	1
85	Xclax101	1
85	MightyWertu	1
85	ProfessorDiaper	1
85	TheTommyGun63	1
85	CornOnTheCobalt	1
85	WyngGoy	1
85	OG_Songsee	1
85	IdeallyGrey	1
85	djancak	1
85	brofrickcheaters	1
85	Sheldor097	1
85	fffMike	1
85	Dreamdbr14	1
85	Steelynan	1
85	EngagedGrub41	1
85	Skippeh	1
85	Iamthejo	1
85	Jimb0nat0r	1
85	bladeefan2009	1
85	calamariclam_I	1
85	Smoke____	1
