rank	username	minecraft:crafted/minecraft:stone_pickaxe
1	LordSpeed37	632
2	SteveCraftBlocks	150
3	Smoke____	112
4	gcaisawesome	106
5	Miko_Fullbuster	102
6	RodSerlingCringe	90
7	soundad	88
8	PlasticOtari	72
9	brycepants	71
10	FishyBoy3811	64
11	AJplaysMC_	63
12	BlankityMcBlank	60
13	Hyp3rion_	59
13	Zythose	59
13	Jiminie	59
16	KlausVonStiglitz	58
17	beeperbeeper5	56
17	Winklepicker279	56
19	Purplehere	53
20	SeverianTheLame	51
20	Powowowow	51
22	himak1	50
23	Di_infiri	47
23	stahouo	47
25	Ghemmah	44
25	Warlord324	44
27	ooga47	43
28	Mahoose	42
29	rotten_mango	41
30	TheShyPig	40
31	Chaotic1s	39
32	fxiryglitch	34
32	Skyle169	34
32	MinuteMira	34
35	ExtraDumb	33
35	ori0le	33
37	DASH_X7	32
38	Skylord_Luke	31
38	iHuntWeeaboos	31
38	Freak_Genius	31
38	TechnoNinja64	31
42	Kryktal	30
42	Kferno	30
44	joethahobo	29
44	UncreativeArtist	29
46	kekhon	28
46	BreadFruggis	28
46	thescout7	28
46	Touched_Bread	28
50	419mmurphy	26
51	jjsadler	25
51	Cambo5000	25
51	2Stout	25
51	Crasswolf	25
51	JustAWill_	25
51	Katsuragi0243218	25
51	Xi_J1nping	25
51	Wolverine4302	25
59	jjettii	24
59	m_be9	24
59	Darkgon	24
59	HellsSponge	24
63	Chroikey	23
63	beeleg	23
63	Blaiku	23
63	Ossem	23
67	Kymarmalade	22
68	FennYuzuna	21
68	Forcolp	21
68	Schlitzman	21
71	BakersBanchOf	20
71	Nach0Bear	20
71	SHAOBADMAN	20
71	BlueZabu	20
71	Shavrin	20
71	obtusely	20
77	NatrixxddxYT	19
77	Windo_licker	19
77	ClemenPine	19
77	The_Skramz	19
77	claivin	19
77	cytotoxaint	19
77	Lowjinx	19
84	WarHammer3	18
84	xxPipperDipperxx	18
84	RyuNeko932000	18
84	Akoot_	18
84	madderfall	18
84	Racengan	18
84	Vorlice	18
84	Moetis	18
84	Hermanni__	18
93	PegLegPete93	17
93	noam464	17
93	regulator75	17
93	SwooshBoi	17
93	El_Jalapeno	17
98	SyntheticSurgeon	16
98	FetteMutter	16
98	Parcc	16
98	Nekomin0	16
102	tramizu	15
102	Covalents	15
102	Werbe	15
102	_Cloverbelle_	15
102	brickman241	15
102	Sky_light_KING	15
102	n0qtrnL	15
102	xX_Stalin69_Xx	15
102	Ezekson	15
102	oxfordschool	15
102	Goat_Man512	15
113	Groovy_MoonBird	14
113	RebelAndroid	14
113	Blackberry1310	14
113	Kubelz	14
113	Dan_Scha	14
113	Lord_Jord	14
113	aldplaysmc	14
113	Frozil12	14
113	RedcatVII	14
113	Slapface522	14
123	tortillatitan	13
123	mariominejedi	13
123	victorLIE	13
123	Cattoh	13
123	binman420	13
123	legoclone09	13
123	Western_1	13
123	Creeper_ez	13
123	RoboTramp7865	13
123	JayToe	13
133	weezygator	12
133	Froste131	12
133	BlancoFlaco	12
133	Ryker	12
133	Cats_Fly	12
133	ChampPog_	12
133	xPixelRainx	12
133	Mookle96	12
133	Kynigito	12
133	SolicitedPuma101	12
133	shrimp_flips	12
133	E775	12
133	QueenShuvi	12
133	Toriankel	12
133	Hisiste	12
133	Mistruth	12
133	EngagedGrub41	12
133	BreadBacon	12
133	Legendosh	12
152	Batoser	11
152	SyK7	11
152	jpoxman	11
152	Guillemet	11
152	BigMoneyH	11
152	Icyyyyy	11
152	Sagaram	11
152	valiSW	11
152	_Boipl_	11
152	epiksk8erduck	11
152	Drewen24	11
152	privatemeekly	11
152	avalan64	11
152	fluddd	11
152	Matorz	11
152	Factoroni	11
152	Soul_Atreus	11
169	Myrosia	10
