rank	username	minecraft:crafted/minecraft:orange_stained_glass_pane
1	beeperbeeper5	3834
2	SkateboardR6	1160
3	Mattesco	928
4	AdmiralSmoke	712
5	r123moore	672
6	pintsizedrogue	640
7	TheShyPig	480
8	Winklepicker279	192
9	lillips	176
10	BobDeBouwer1337	144
11	jacxhadow	128
12	Chromary	112
13	m_be9	80
13	tobinwilliams	80
13	El_Jalapeno	80
16	Fullut	64
16	Onennon	64
16	Steelynan	64
19	Lez_	48
19	Blackberry1310	48
19	Blaiku	48
19	lordpipe	48
19	tompup	48
24	SvenskaHugo	40
25	TheSecondLord	32
25	Spacewardharpy7	32
25	jnp_gaming	32
28	hanaryheatwave	24
28	AlexxO_o	24
30	k_ce	16
30	_Virify_	16
30	Merv__	16
30	EMC_	16
30	Frozil20	16
30	Arteriana	16
30	oreee	16
30	yheece	16
30	SuperPooch06	16
30	Rumpletaezer	16
30	Rebytre	16
30	ItsAki_	16
30	zToasty69z	16
30	Manaateee	16
30	HellsSponge	16
30	MangoSalad316	16
30	Jimb0nat0r	16
30	The_SlideV5	16
48	Comma__	8
48	500am	8
48	YahooScreen9000	8
48	Nicserso	8
48	HesDemonPants	8
48	2blox_	8
48	PlasticOtari	8
