rank	username	minecraft:crafted/minecraft:light_gray_dye
1	thewindmillman	98557
2	noam464	16486
3	oxfordschool	11555
4	Inbefour	9139
5	OtariCharlie	3950
6	Werbe	2689
6	AssEatrAndLicker	2689
8	Di_infiri	1344
9	HellsSponge	1335
10	xxPipperDipperxx	1171
11	lordpipe	1146
12	Groundler	1042
13	Winklepicker279	899
14	Jackattack53	867
15	joethahobo	719
16	YungMaki	709
17	RobotMinion101	679
18	SkateboardR6	576
19	audiocracked	571
20	Rasmanden	531
21	HAIRYCLOUD626	460
22	EcksD	454
23	mwrty	453
24	Swexti	452
25	beeperbeeper5	436
26	sebastiensaborio	429
27	EveryonesUncle	426
28	Kakolbus	409
29	Blackberry1310	387
30	TheShyPig	378
31	Rumpletaezer	377
32	kekhon	358
33	BumbleBeever	328
34	ImpavidArcher	326
34	Sral7	326
36	MousePlays	320
37	CoffeeNoir	317
37	The_slideV3	317
39	Quotary	315
40	TheSecondLord	308
41	DarlaMeow	298
42	MattieHD	292
43	Yatitay	275
43	Blaiku	275
45	KartivGal	260
46	remmisrat	256
47	Snowflowe	237
48	Blu3beast	235
49	Legendosh	227
50	lillips	225
51	500am	201
52	pintsizedrogue	197
53	Comma__	193
54	Njensen7	175
55	__tomato	164
55	Enderslayerxz3	164
57	thescout7	154
58	Incinere	145
58	King_Pancake1	145
60	EcksDofficial	140
61	Winston_Ingram	128
62	Nicserso	122
63	Merv__	121
64	M_Patata	118
64	MasterNueve	118
66	SellyZ	116
67	Onennon	113
68	lcvezra	107
69	Arceus1975	102
70	Cryptacity	101
70	Avrelion	101
72	m_be9	100
73	pappaberg	93
74	Smoke____	88
75	PhantomsGhost_	84
75	SuperPooch06	84
77	eitanzaki	83
78	jacxhadow	82
79	Reamdin	81
80	_k2x	77
81	Hermanni__	75
82	Lord_Jord	69
82	_TCARREIRA_	69
84	SingedBread	68
85	TechnoNinja64	67
86	Mahoose	66
86	NotMeanttoChange	66
88	chipklip	65
88	kinas45y5	65
90	XxCookiequeenxX	64
91	epiksk8erduck	61
92	surfinggiraffejp	59
92	pixelviolin	59
94	jnp_gaming	58
95	PeteO1995	57
96	Bumpy419	56
96	sp00ky_ghost977	56
98	Bandito_Roamer	54
99	MixerDixer	52
99	teslawolf38	52
99	Eraxa	52
102	MovingFish7	51
103	ImDisconnected_	48
103	The_SlideV5	48
105	ExtraDumb	47
106	AuroraValkyrie	46
107	Frozil12	45
108	Windo_licker	44
108	Wowful	44
110	Tommhh	43
110	LordSpeed37	43
112	ShedJr_	42
112	rarrq	42
112	Spacewardharpy7	42
115	ProfessorBee	41
116	tobinwilliams	40
116	Hiryu27	40
116	wezzzi	40
119	Xclax101	38
120	Fuhrer_Teemo	37
121	Zaridey	36
121	AJplaysMC_	36
123	Skylord_Luke	35
124	WyngGoy	34
125	MyNameIsJobo	33
125	El_Jalapeno	33
125	fluddd	33
128	EfficientC52	32
129	GlitchyPlate810	31
130	Akoot_	30
131	Chromary	29
132	BlankityMcBlank	28
133	theonlymagikarp	26
133	Skippeh	26
135	Kowcio_	24
135	Sheldor097	24
137	Inchef	22
138	Kubelz	21
138	MakeHistory157	21
140	NinjaKnifeKill	20
140	ratglock	20
142	ProbablyNick	19
142	NomadicRobin_	19
142	Deathkob	19
142	OfficerAnvil	19
146	BlancoFlaco	18
146	Zippyzam	18
146	set67	18
146	Freak_Genius	18
146	Warlord324	18
146	Nekomin0	18
152	H72l9w	17
153	PortlyPete69	15
154	SeverianTheLame	14
154	MustardDrinker	14
154	claivin	14
157	Diavri	13
157	_8man	13
157	_Karmaa	13
160	livingdaydreams	12
160	Tjhodskins19	12
160	Zythose	12
160	stahouo	12
164	Malorn_Aetherius	11
164	whoaluv	11
164	Donutt	11
164	Sky_light_KING	11
164	Barlycorn	11
164	gabbyeden	11
164	CalebDHawk	11
171	Historical_Sand	10
171	oreee	10
171	Z3braYTIL	10
171	Hyp3rion_	10
171	The11thDoctor	10
171	MangoSalad316	10
171	Dusk_95	10
171	SammiWolfGirl	10
171	Ezekson	10
180	strongman951753	9
180	12Magner05	9
180	Fullut	9
180	Erased_Identity	9
180	FelixPSY375	9
185	Groovy_MoonBird	8
185	squigglybones	8
185	ewsophie	8
185	Notta	8
185	Rich_Kat	8
185	Scathra	8
185	r123moore	8
185	Racengan	8
193	TooManyDuck	7
193	MSK__	7
193	bloodbiter	7
193	MrExplorer	7
193	RodSerlingCringe	7
193	Quincannon	7
193	NameGenerat0r	7
193	Jamstroxian	7
193	stellarjay	7
202	Jalvajar	6
202	SaucyDark	6
202	redikul	6
202	Awyrlas	6
202	Bolete	6
202	Hoid_the_Roamer	6
202	Skomo	6
202	MilleGrug	6
202	anbbang	6
211	T045RTY	5
211	Myszoaz	5
211	Whiterooster001	5
211	Jokerman369	5
211	Xalithia	5
211	ROY4LE	5
211	HypixelForums	5
211	mimbo1211	5
211	CollinMH06	5
211	gabriels543	5
211	KillerNekoRain	5
211	Truckoss	5
211	NormanFetus	5
211	Toasty_Tom	5
211	Optiprimus	5
211	brofrickcheaters	5
211	K_a__a_n	5
211	Miko_Fullbuster	5
229	I_Am_Mushkin	4
229	eiC_	4
229	Ender_Souls	4
229	Eerini	4
229	420BreadLizard	4
229	stavgod	4
229	IdeallyGrey	4
229	Soplight	4
237	RebelAndroid	3
237	Franco093	3
237	Natofthese	3
237	TheFlfthHorseman	3
237	SDMNAEK	3
237	DarkFisto	3
237	shyshyannne	3
237	CyrusIsTired	3
237	orxngejuice	3
237	Dan_Scha	3
237	DTwenty	3
237	Karbl	3
237	Hisiste	3
237	monky_irl	3
237	bloomkieren	3
237	djancak	3
237	SSytex_X	3
237	Fizznut909	3
237	Luigipunch989	3
237	Dogcorn69420	3
237	Vellu21	3
237	xorompole	3
259	SugarMyNuggets	2
259	Sleek_Storm_721	2
259	Iagoku	2
259	IWorkAtIkea	2
259	CliffEmAll	2
259	jushykins	2
259	ashetrays	2
259	eclipseboi	2
259	gcaisawesome	2
259	Roosje69	2
259	MonitorLizards	2
259	KeruNatsema	2
259	theofiel	2
259	Maenara	2
259	ogoa	2
259	Quaintster	2
259	Nycteus_	2
259	MightyWertu	2
259	KG1999	2
259	HuangMeiHua	2
259	JayToe	2
259	Freedrik	2
281	Whalezz	1
281	Jovaphobic	1
281	seanitoo	1
281	Jorrdi	1
281	dabloons	1
281	Vaarde	1
281	soundad	1
281	chimpmunker	1
281	Houstonion	1
281	hm947	1
281	Spaghettatron	1
281	maliraspberry	1
281	No_u4	1
281	Natty	1
281	ZaneABrain	1
281	_AceOfSpace_	1
281	awesomeoneme	1
281	bbrothers_5	1
281	Euclidoris	1
281	GingerNeutron	1
