rank	username	minecraft:crafted/minecraft:dark_oak_fence_gate
1	Paintz	1089
2	thewindmillman	869
3	HellsSponge	858
4	beeperbeeper5	495
5	Legendosh	452
6	M_Patata	395
7	MasterNueve	393
8	Jackattack53	389
9	Notta	361
10	Blackberry1310	309
11	wezzzi	256
12	luseis	245
13	Snowflowe	242
14	Sral7	224
15	noam464	192
15	Elastiq	192
17	Manaateee	186
18	Mahoose	184
18	Groundler	184
20	FishyBoy3811	183
21	TheShyPig	177
22	Merv__	167
23	xzvu	157
24	Frozil20	150
25	Historical_Sand	145
26	joethahobo	132
27	Wowful	128
28	pintsizedrogue	125
29	500am	120
29	Werbe	120
31	Winklepicker279	111
32	Fullut	103
33	TheSecondLord	101
34	audiocracked	100
34	ZoomieZoomie	100
34	Biites	100
37	PigDab	95
38	XxCookiequeenxX	93
39	Di_infiri	92
40	PlasticOtari	91
41	Lez_	83
42	Stiar	74
43	groofles	72
44	rarrq	71
45	diamondgolem35	68
46	Powowowow	64
47	m_be9	62
48	Jakobo1337	61
49	ImpavidArcher	51
50	Leyna3	48
51	SmashingPump	44
52	Skippeh	43
53	_Huge_Male_	42
53	xxPipperDipperxx	42
55	eitanzaki	36
55	pixelviolin	36
57	ConnorDanky_	34
58	rachcl	33
58	NieToksikpl	33
60	Huwulling	32
60	Skylord_Luke	32
62	xolstoi	28
63	SDMNAEK	26
63	SingedBread	26
65	Y_A_N_N_I	24
65	CattSoup	24
67	RobotMinion101	23
67	Mattesco	23
67	Dakar_	23
67	jnp_gaming	23
71	burbankbuilder28	21
71	Rebytre	21
73	Fizznut909	20
74	Felenov	19
74	Enderxz3	19
76	I_Am_Mushkin	18
76	EcksD	18
78	FirsTimeGamingTV	17
79	Sleek_Storm_721	16
79	Rumpletaezer	16
79	brycepants	16
79	Eraxa	16
83	titanlax	15
83	dartwaffle	15
83	Russiancat1	15
83	Hisiste	15
87	6king6colt6	14
87	smogfrog	14
89	teslawolf38	13
89	Cortexia	13
89	Deguns123	13
89	Steelynan	13
93	Ryker	12
93	Marbz_	12
93	lcvezra	12
96	kekhon	11
96	thescout7	11
98	Yatitay	10
98	SyntheticSurgeon	10
98	Alteriity	10
98	Druid95	10
102	EMC_	9
102	Ssor69	9
102	MindyDooWho	9
102	r123moore	9
102	prizm_	9
102	Tyrannosplart	9
102	LordSpeed37	9
109	Apollo_993	8
109	SaucyDark	8
109	Incinere	8
109	Pofen	8
109	Motsaro	8
109	bearlystraight	8
109	lillips	8
109	YungMaki	8
109	anbbang	8
118	Onennon	7
118	Kynigito	7
118	PortlyPete69	7
118	mountaingirl311	7
122	Swexti	6
122	Ravenbie	6
122	TheDankPlatypus	6
122	KeruNatsema	6
122	censorsheep	6
127	RosaDoesMC	5
127	RatatJuice	5
127	intropass	5
127	Ezekson	5
131	peach0s	4
131	Hyp3rion_	4
131	RohnJosin	4
131	Fuhrer_Teemo	4
131	Barlycorn	4
131	Kowcio_	4
131	BlankityMcBlank	4
131	CalebDHawk	4
131	LeeMcGee30	4
131	2blox_	4
141	featherflyy	3
141	eviltunix	3
141	Ecplosive	3
141	NormanFetus	3
141	ReflexCode	3
141	FreakGenius	3
141	bruh072	3
148	Ryan_GEMS	2
148	DinoDoctor_	2
148	livingdaydreams	2
148	Sebaschan__	2
148	Prismyst	2
148	ITDV	2
148	Atroxes	2
148	heckface	2
148	Crowman1	2
148	BobDeBouwer1337	2
148	MrExplorer	2
148	minersam1	2
148	Smashic	2
148	orxngejuice	2
148	ARandomHedge	2
148	benediktine1	2
148	Chromary	2
148	theofiel	2
148	Jimi7hits	2
148	AlphaWolfPlaysMC	2
148	Joestra	2
148	Inbefour	2
148	JoeSaysBingBong	2
148	avalan64	2
148	Lutres_	2
148	Dooinfe	2
148	Travka100	2
148	yoyoYoloMonke	2
148	Warlord324	2
148	UCP_TheKingK	2
148	KingMatthew506	2
148	TheOnlyRake	2
148	potatocan	2
148	TechnoNinja64	2
148	JayToe	2
148	AdmiralSmoke	2
184	Jovaphobic	1
184	Mr_Byzantine	1
184	Foof13	1
184	carloselpapii	1
184	Nicky_H225	1
184	ProfessorBee	1
184	GingerNeutron	1
184	fade_emerge78823	1
184	olliebollie48	1
184	SuperPooch06	1
184	AnnieBathory	1
184	selectrix	1
184	Moofyman	1
184	IamCL4SSY	1
184	parodypatient	1
184	Lord_Jord	1
184	AuroraSkies	1
184	420BreadLizard	1
184	bpmm	1
184	DTwenty	1
184	EveryonesUncle	1
184	The_slideV3	1
184	Nycteus_	1
184	carpet4_69	1
184	GeromeMerris	1
184	MightyWertu	1
184	monky_irl	1
184	voiding_	1
184	djancak	1
184	LeEricc	1
184	SammiWolfGirl	1
184	fffMike	1
184	Hermanni__	1
184	Rainaldus	1
184	Kubeusz2010	1
184	TheOuterCore	1
184	cichy096	1
