rank	username	minecraft:crafted/minecraft:mossy_cobblestone_stairs
1	EMC_	1640
2	wezzzi	96
3	thewindmillman	78
4	layabout100	52
5	ogoa	45
6	Elastiq	32
7	pintsizedrogue	25
8	joethahobo	24
9	Eraxa	20
10	Jeteight	16
10	SammiWolfGirl	16
10	Steelynan	16
13	luseis	13
14	SaltineDream	12
14	Kubelz	12
14	Kowcio_	12
14	Enderxz3	12
18	rachcl	11
19	BlancoFlaco	8
19	Prismyst	8
19	thescout7	8
19	PegLegPete93	8
19	groofles	8
19	Roikdean	8
19	ese_wn_po	8
19	Shogunite	8
19	FreakGenius	8
19	bladeefan2009	8
29	Cryptacity	4
29	500am	4
29	xxPipperDipperxx	4
29	Onennon	4
29	PuFY	4
29	pixelviolin	4
29	Sral7	4
36	beeperbeeper5	2
36	Soplight	2
