rank	username	minecraft:crafted/minecraft:bricks
1	Legendosh	11967
2	EveryonesUncle	10924
3	joethahobo	9946
4	sebastiensaborio	8098
5	YungMaki	7419
6	Di_infiri	5979
7	noam464	5683
8	Smoke____	5125
9	Merv__	5120
10	TheShyPig	3584
11	OtariCharlie	3581
12	SingedBread	3254
13	RodSerlingCringe	3114
14	Spacewardharpy7	2774
15	Historical_Sand	2715
16	Snowflowe	2550
17	Mahoose	2396
18	El_Jalapeno	2255
19	Ezekson	2103
20	thewindmillman	2034
21	burbankbuilder28	1927
22	Frozil12	1883
23	Enderslayerxz3	1787
24	Soplight	1750
25	Dogcorn69420	1618
26	TheSecondLord	1483
27	Akoot_	1412
28	Sral7	1375
29	EcksDofficial	1288
30	Freak_Genius	1197
31	Quotary	1172
32	_stets	1146
33	Xclax101	1007
34	ImDisconnected_	955
35	shdesolt	940
36	Onennon	900
37	NameGenerat0r	879
38	gcaisawesome	777
39	Blaiku	757
40	Lord_Jord	732
41	ImpavidArcher	709
42	m_be9	703
43	beeperbeeper5	691
44	oxfordschool	689
45	GlitchyPlate810	635
46	ApophisNova	606
46	MyNamaSheff	606
48	Mr_Byzantine	601
49	eitanzaki	567
50	Kakolbus	554
51	__tomato	540
52	Zythose	512
53	Deathkob	489
54	2Stout	485
55	Skylord_Luke	473
56	ReyTheLegend	456
57	PigDab	422
58	vandmanden	408
59	_Bguette_	407
60	NomadicRobin_	402
61	RobotMinion101	385
62	MyNameIsDakar	372
63	fkGrim	364
64	RebelAndroid	350
65	Tommhh	340
65	Shin69	340
67	sp00ky_ghost977	334
68	kekhon	321
69	Dedalus36	319
70	SaucyDark	314
71	xxPipperDipperxx	299
72	stahouo	294
73	pintsizedrogue	292
74	JohnPrice	284
75	_3Stump_	280
76	John6970	277
77	Barlycorn	272
78	KarlKaek	270
79	chipklip	263
79	KermitTheKripple	263
81	The_slideV3	259
82	Kowcio_	258
83	BumbleBeever	251
84	Skippeh	248
85	Deerfoot	240
86	BilboBaggins23	236
87	Spaghettatron	230
88	epiksk8erduck	221
89	500am	220
90	CalebDHawk	217
91	teslawolf38	208
92	seanitoo	207
93	_naturell	204
94	SteveCraftBlocks	200
94	Fullut	200
94	SexcMf	200
97	DTwenty	199
98	stuy9	189
99	KingMatthew506	176
100	Rumpletaezer	175
100	anbbang	175
102	cowgirlkasia	174
103	Nicserso	167
104	PegLegPete93	161
105	Jackattack53	160
105	thechoosenone69	160
105	cog	160
108	Inchef	159
109	lcvezra	156
110	peach0s	154
110	xorompole	154
112	Notta	153
113	set67	151
114	Jordan_R	132
115	CoffeeNoir	129
116	Incinere	128
116	lillips	128
118	DemTechAlpha	127
119	OfficerAnvil	125
120	ExtraDumb	123
121	NNikitas	120
122	CueMix	115
123	TakeThis2UrGrave	113
124	MyNameIsJobo	110
125	MrExplorer	107
125	jnp_gaming	107
127	Russiancat1	106
128	eviltunix	97
129	TooManyDuck	96
129	HellsSponge	96
129	07shiny	96
132	Winklepicker279	89
133	dudcreeper	82
134	Doom_melon	80
134	DarkS0L	80
136	ROY4LE	78
137	andy_rex	73
138	Roikdean	71
138	Bloo2406	71
140	Natty	69
141	bloomkieren	67
142	wobn	65
143	AgressiveEggdog	64
143	titanlax	64
143	MindyDooWho	64
143	Werbe	64
143	Jiminbub	64
143	AssEatrAndLicker	64
149	Hyp3rion_	62
150	FGamerJ	58
151	PhantomsGhost_	52
152	pixelviolin	50
153	Donutt	46
154	SlowMoNinja1994	44
155	Begformurrcy	43
155	420BreadLizard	43
155	Nekomin0	43
158	Hpdinosaur	42
159	ShedJr_	40
160	Valoth	36
161	Sleek_Storm_721	35
162	Chromary	34
162	Corbsman	34
164	TheDiamondCG	33
164	__Fanda__	33
166	RatatJuice	32
166	Quaintster	32
168	drompje	31
169	LotusProject	29
169	EfficientC52	29
169	adiccting01	29
172	Meatlaugh	28
173	DermeinUser	27
174	ashetrays	25
175	Blackberry1310	24
176	yaboo88	21
176	Toasty_Tom	21
176	JESS_THE_RERE	21
176	ozekigod	21
176	MangoSalad316	21
181	Argraol	20
182	TheThomas69	19
182	SSytex_X	19
184	stellarjay	17
185	Stynxy	16
185	shyshyannne	16
185	laron58	16
188	cum_chalice	15
189	roxycherry	14
189	SLASHZEERA	14
191	djancak	13
192	babyjimmyneutron	12
193	censorsheep	11
194	Wowful	10
195	Myszoaz	8
195	Awyrlas	8
195	purpolepickle	8
195	wrinkledpiglet	8
195	Optiprimus	8
200	Inbefour	7
201	Jovaphobic	6
201	JohnnyFyes	6
203	ogoa	4
203	TechnoNinja64	4
205	Ozixar	3
205	theonlymagikarp	3
205	Deguns123	3
205	Kubeusz2010	3
209	SokaOtaku	2
210	abramgray	1
210	Cowison	1
210	SirUnderpants	1
210	CharlieButt	1
210	TheDankPlatypus	1
210	Deadlyy	1
210	Racengan	1
210	cytotoxaint	1
210	lordpipe	1
210	MakeHistory157	1
210	Njensen7	1
