rank	username	minecraft:crafted/minecraft:yellow_stained_glass_pane
1	EMC_	528
2	TheShyPig	392
3	pintsizedrogue	360
4	Cowison	336
5	El_Jalapeno	240
6	Onennon	192
7	beeperbeeper5	176
8	BlueZabu	160
9	titanlax	128
9	set67	128
11	Kubelz	112
11	Groundler	112
13	tobinwilliams	80
13	lillips	80
15	masskedman	72
16	Deathkob	64
16	lordpipe	64
18	Rumpletaezer	56
19	TheSecondLord	48
19	Frozil12	48
19	Blaiku	48
22	AlexxO_o	32
22	LordSpeed37	32
22	OnlyOfficial	32
22	jnp_gaming	32
26	redikul	24
27	Merv__	16
27	awesomeoneme	16
27	Arteriana	16
27	orxngejuice	16
27	ROY4LE	16
27	gabriels543	16
27	Arceus1975	16
27	Snowflowe	16
27	Chuvacevedo	16
27	RobotMinion101	16
27	Meatlaugh	16
27	HellsSponge	16
27	Freak_Genius	16
27	Spacewardharpy7	16
27	Optiprimus	16
27	starbits140	16
27	SSytex_X	16
27	fffMike	16
27	_3Stump_	16
27	Steelynan	16
27	EcksD	16
27	The_SlideV5	16
49	500am	8
49	ToastedGamingYT	8
49	YahooScreen9000	8
49	Jiminie	8
49	LetsDoItLive	8
49	BlankityMcBlank	8
49	blackmage426	8
49	HesDemonPants	8
49	PlasticOtari	8
