rank	username	minecraft:crafted/minecraft:green_shulker_box
1	thewindmillman	379
2	Hyp3rion_	188
3	Lez_	156
4	pintsizedrogue	92
5	non089	88
6	xzvu	61
7	Enderxz3	56
8	cuddlyMonster	53
9	Awyrlas	40
10	luseis	36
11	HellsSponge	34
12	craaaash	26
12	MightyWertu	26
14	Buuck_	24
15	Snowflowe	21
15	NameGenerat0r	21
17	Huwulling	18
17	500am	18
19	Kowcio_	17
20	lorywithay	16
20	MAns_44	16
20	lordpipe	16
23	jnp_gaming	15
24	Manaateee	12
25	beeperbeeper5	11
26	TheShyPig	9
26	PlasticOtari	9
28	Mattesco	8
28	pixelviolin	8
28	TheWickedBird	8
31	nattybears	7
31	Jimb0nat0r	7
33	TooManyDuck	6
33	corvidpartyfor6	6
33	Bumpy419	6
33	IamCL4SSY	6
33	doublemaki	6
33	robonya_	6
33	Ezekson	6
40	QuiCreans	5
40	Fullut	5
42	Mr_Byzantine	4
42	CLG_Kata	4
42	Merv__	4
42	6king6colt6	4
42	Mahoose	4
42	Jackattack53	4
42	hanaryheatwave	4
42	emreknugrlu	4
42	Groundler	4
42	ConnorDanky_	4
42	TwinTowerV2	4
42	Yamdalorian	4
54	Apollo_993	3
54	rarrq	3
54	TheSecondLord	3
54	m_be9	3
54	mwrty	3
54	ApophisNova	3
54	wezzzi	3
54	elliebelle107	3
54	11Brewer	3
54	MyNamaSheff	3
54	es0th	3
65	Hpdinosaur	2
65	titanlax	2
65	Blackberry1310	2
65	bloodbiter	2
65	kekhon	2
65	Krowuss	2
65	Skylord_Luke	2
65	cedric72	2
65	Akoot_	2
65	Deathkob	2
65	Blu3beast	2
65	Hisiste	2
65	sp00ky_ghost977	2
65	SammiWolfGirl	2
65	Steelynan	2
65	Skippeh	2
65	little_dUki	2
65	Powowowow	2
83	Zee_zey	1
83	ProbablyNick	1
83	PhantomsGhost_	1
83	RoskobiOne	1
83	BadenStayFly	1
83	PazinGaming	1
83	teslawolf38	1
83	Niklas20114552	1
83	EMC_	1
83	diamondgolem35	1
83	NotMyLucKMC	1
83	ssleepless	1
83	ImpavidArcher	1
83	SaucyDark	1
83	Alteriity	1
83	ZaneABrain	1
83	CoffeeNoir	1
83	ShedJr_	1
83	Myszoaz	1
83	MSK__	1
83	joethahobo	1
83	skroobiez	1
83	Historical_Sand	1
83	Rani_R	1
83	royal_2	1
83	Euclidoris	1
83	Auseawesome	1
83	jushykins	1
83	Crizma_	1
83	12Magner05	1
83	Scathra	1
83	thescout7	1
83	fade_emerge78823	1
83	Xalithia	1
83	LeauVox4921	1
83	theonlymagikarp	1
83	XboxPanda	1
83	Zaridey	1
83	Kakolbus	1
83	Ecplosive	1
83	Marbz_	1
83	fr_ser	1
83	Chromary	1
83	Rumpletaezer	1
83	King_Pancake1	1
83	pappaberg	1
83	Hoid_the_Roamer	1
83	oscminus	1
83	Werbe	1
83	Olib3ar	1
83	Samificator	1
83	FishyBoy3811	1
83	Lord_Jord	1
83	audiocracked	1
83	TruestTurnip	1
83	Lutres_	1
83	DemTechAlpha	1
83	_Karmaa	1
83	claivin	1
83	blackeemperor	1
83	Xclax101	1
83	_flud	1
83	Blaiku	1
83	Racengan	1
83	QuesoCrusaderIII	1
83	iSammael	1
83	WyngGoy	1
83	OG_Songsee	1
83	Razzgriz	1
83	_Mythic____	1
83	Jij0	1
83	SvenskaHugo	1
83	djancak	1
83	Soplight	1
83	Spenduh	1
83	miramyu	1
83	Dogcorn69420	1
83	Dreamdbr14	1
83	Njensen7	1
83	_3Stump_	1
83	Nicserso	1
83	FelixPSY375	1
83	JayToe	1
83	h2p_emrld	1
83	diggydog67	1
