rank	username	minecraft:crafted/minecraft:gray_banner
1	Lez_	133
2	Eraxa	132
3	noam464	129
4	Incinere	97
5	ConnorDanky_	89
6	Jackattack53	64
7	PlasticOtari	62
8	beeperbeeper5	38
9	pintsizedrogue	34
10	luseis	20
11	Mahoose	14
12	Apollo_993	12
13	Nicserso	7
14	Merv__	6
14	teslawolf38	6
14	H72l9w	6
14	_Dean_123	6
14	Chromary	6
14	Steelynan	6
20	olliebollie48	4
20	Onennon	4
22	titanlax	3
23	Mr_Byzantine	2
23	Blackberry1310	2
23	jushykins	2
23	Awyrlas	2
23	Mattesco	2
23	Ender_Souls	2
23	Manaateee	2
23	pixelviolin	2
31	Cryptacity	1
31	MattieHD	1
31	Toasty_Tom	1
31	MinuteMira	1
31	MAns_44	1
31	starbits140	1
31	Dogcorn69420	1
31	MilleGrug	1
31	jnp_gaming	1
