rank	username	minecraft:crafted/minecraft:melon_seeds
1	Di_infiri	3260
2	eitanzaki	1659
3	Hyp3rion_	1341
4	noam464	1230
5	Deathkob	853
6	xxPipperDipperxx	805
7	q_wq	703
8	diggydog67	555
9	YungMaki	443
10	beeperbeeper5	398
11	Majonezzon	349
12	SpacesickPrism	329
13	HellsSponge	309
14	FreakGenius	282
15	PigDab	274
16	Blackberry1310	257
17	Blaiku	256
18	Inbefour	251
19	Fast_Turtle	243
20	Kakolbus	230
21	_stets	225
22	starbits140	220
23	The_slideV3	209
24	THEKINGLyric10	198
25	Lez_	195
26	Dan_Scha	192
27	kekhon	183
28	CoffeeNoir	176
29	slkiey	168
30	SaucyDark	156
31	Pofen	154
32	Fakiuss	144
33	UrbanPlanningEx	139
34	KarlKaek	137
35	m_be9	133
36	Hisiste	131
37	Marbz_	128
37	_8man	128
37	lillips	128
37	El_Jalapeno	128
37	Sral7	128
42	TheSeismicDuck	127
43	Smoke____	125
44	joethahobo	123
45	Comma__	122
46	TheSecondLord	112
47	Karetoko	110
48	Historical_Sand	102
49	OfficerAnvil	101
50	_Tilariel_	99
51	MyNameIsJobo	96
52	Rumpletaezer	92
53	Snowflowe	91
54	JayToe	90
55	Xalithia	86
55	Voxin2K	86
55	MyNameIsDakar	86
58	HesDemonPants	84
59	Katsuragi0243218	81
59	TechnoNinja64	81
59	Jimb0nat0r	81
62	nut_e	76
63	IamCL4SSY	71
64	HAruSAme14	70
65	Zoeyfortnite	66
66	MightyWertu	65
66	pixelviolin	65
68	TooManyDuck	64
68	RebelAndroid	64
68	Mahoose	64
68	AuroraSkies	64
68	Spacewardharpy7	64
68	sp00ky_ghost977	64
68	Kowcio_	64
68	TrollerYT	64
76	Eraxa	60
77	Sheldor097	59
78	thescout7	57
78	00000000-0000-0000-0009-01f1577a2913	57
80	pintsizedrogue	56
80	SlayerCrypto	56
80	Arceus1975	56
80	luseis	56
84	Cortexia	55
84	PegLegPete93	55
86	EngagedGrub41	53
87	PortlyPete69	51
88	Akoot_	50
89	shineh10	47
90	Russiancat1	45
91	theonlymagikarp	44
91	ItsAki_	44
93	Fullut	42
93	LordAurum	42
95	youhjjhhhjj	41
96	Killercatty78	40
97	cedric72	38
98	AuroraValkyrie	36
98	TheShyPig	36
98	Soplight	36
101	TAKrules	35
101	lizardfightclub	35
103	Bandito_Roamer	34
103	bbrothers_5	34
105	ROY4LE	33
106	RoskobiOne	32
106	ImpavidArcher	32
106	lia1337owo	32
106	platinumzero	32
106	seramalen	32
106	F_Uhre	32
106	Leyna3	32
106	ori0le	32
114	Hormones	31
114	thewindmillman	31
114	Klerick	31
114	FishisTTV	31
118	Legendosh	30
119	HollieDaNugget	29
120	Vorlice	28
121	Mr_Byzantine	27
121	StinkyDiplomat	27
123	IceYoung	25
123	Cocoamallows	25
125	BlueZabu	24
125	Warlord324	24
125	PabloGonza02	24
128	rotten_mango	23
128	Xclax101	23
128	Dusk_95	23
128	lilguppy	23
128	Nekomin0	23
128	Ezekson	23
134	Thaumatarge	22
134	ProfessorBee	22
134	AlexStrange	22
137	ImNotYuqii	21
137	Incinere	21
137	UncreativeArtist	21
137	MustardDrinker	21
141	Bruh77	20
141	CalebDHawk	20
141	Haadrada	20
144	Maenara	19
144	ReflexCode	19
144	monky_irl	19
147	Ssor69	18
147	leaf26	18
147	Werbe	18
147	MonitorLizards	18
147	djancak	18
147	jnp_gaming	18
153	Tommhh	17
153	Motsaro	17
153	xFaiithyX	17
153	striker90333	17
157	John_Acacia	16
157	grislgrobl	16
157	stuy9	16
157	Joestra	16
157	lcvezra	16
157	RadarHz	16
163	rats_life	15
163	H0UNDFRMH3LL	15
163	DarkFisto	15
163	intropass	15
163	drunkeeez	15
163	HuangMeiHua	15
163	calamariclam_I	15
170	legal_tax_evader	14
170	WyngGoy	14
170	LeeMcGee30	14
173	Studyhallsaver	13
173	ooga47	13
173	KlausVonStiglitz	13
173	cichy096	13
177	Alexanderjac	12
177	Sleek_Storm_721	12
177	TheDankPlatypus	12
177	KillerNekoRain	12
177	Barlycorn	12
177	OkamiITA	12
177	stellarjay	12
184	dudcreeper	11
184	H72l9w	11
184	Koffeeinz	11
184	purpolepickle	11
184	Zythose	11
184	Toiton	11
184	Yoaty	11
184	Pickel_Lord	11
192	Gemstuff	10
192	SquadMonster	10
192	Whiterooster001	10
192	Zaridey	10
192	TheOnlyRake	10
197	KingFaenor	9
197	Hyugo	9
197	T045RTY	9
197	dopplexd	9
197	NarwhalTaco	9
197	RoofTyler	9
197	claivin	9
197	MirielThePastor	9
205	eiC_	8
205	nitram49b	8
205	Muffindrake	8
205	groofles	8
205	AlphaWolfPlaysMC	8
205	legoclone09	8
205	VillagerHuh	8
205	Luigipunch989	8
213	6king6colt6	7
213	wiqor	7
213	CrookedKaptain	7
213	corpsecity	7
213	thebaddruid	7
213	Blamphe	7
213	Typadopoulos	7
213	markaus77	7
213	SUN_DREAM	7
213	Quotary	7
223	123louis456	6
223	openatheclose	6
223	livingdaydreams	6
223	cheerytomato	6
223	CollinMH06	6
223	whoaluv	6
223	H_O_M_H	6
223	natajimi	6
223	33sudo	6
223	Jij0	6
223	Deguns123	6
234	The_Thund	5
234	FirsTimeGamingTV	5
234	AlejandroPH1	5
234	jacxhadow	5
234	Lumien_	5
234	BINKENSTOCK	5
234	Chromary	5
234	MadsNT	5
234	pappaberg	5
234	Deadlyy	5
234	EveryonesUncle	5
234	comjosh64	5
234	douwevh	5
234	07shiny	5
234	MrMeisterProper	5
249	funeralhome	4
249	rachcl	4
249	Guillemet	4
249	PlasmaElk	4
249	Kouridragon	4
249	Tyrannosplart	4
249	OffWithTheirHead	4
249	IvarEXE	4
249	bloomkieren	4
249	KingMatthew506	4
249	Skippeh	4
249	h2p_emrld	4
261	dabloons	3
261	Jackster03	3
261	Cryptacity	3
261	AngalexikCZ	3
261	AJplaysMC_	3
261	mobaEnjoyer	3
261	Kynigito	3
261	CarryLine	3
261	masskedman	3
261	aldplaysmc	3
261	fkGrim	3
261	Quaintster	3
261	Crumbls	3
261	halfbakedlasagna	3
261	nonarso	3
261	Rainaldus	3
261	Nicserso	3
261	xolstoi	3
279	Deu_Stew	2
279	jspwn	2
279	Auseawesome	2
279	LitoDelvito	2
279	ese_wn_po	2
279	JESS_THE_RERE	2
279	marumochis	2
279	_TCARREIRA_	2
279	SpaceTurtleOX	2
288	Groovy_MoonBird	1
288	Matemax	1
288	Lukeee33	1
288	NatrixxddxYT	1
288	Base_Tempest	1
288	ThiccExotic	1
288	Cats_Fly	1
288	heckface	1
288	MattieHD	1
288	TheDiamondCG	1
288	ketaminmann	1
288	PvmkinPi3	1
288	M_Patata	1
