rank	username	minecraft:crafted/minecraft:powered_rail
1	thewindmillman	20544
2	noam464	14784
3	Di_infiri	12428
4	Spacewardharpy7	7866
5	HellsSponge	6340
6	RebelAndroid	5756
7	eitanzaki	4678
8	gcaisawesome	3900
9	PigDab	2424
10	thescout7	1530
11	MightyWertu	1510
12	Smoke____	1470
13	Snowflowe	1278
14	Werbe	1254
15	beeperbeeper5	1194
16	PlasticOtari	1092
17	T045RTY	988
18	YungMaki	966
19	Groundler	894
19	oxfordschool	894
21	TheShyPig	870
22	Hyp3rion_	858
23	vandmanden	816
24	EMC_	774
25	fffMike	636
26	Franco093	618
27	Mahoose	612
28	MyNameIsJobo	594
29	Frozil12	582
30	DanTheBuilderino	570
31	Kakolbus	534
32	tsitrawhy	510
33	Blaiku	504
33	ayamefag	504
35	Jackattack53	492
36	Freak_Genius	456
37	Ev0luti0nz	450
38	Skylord_Luke	396
39	joethahobo	390
39	Kowcio_	390
41	audiocracked	372
41	Blu3beast	372
43	Bandito_Roamer	348
43	Jimi7hits	348
45	pintsizedrogue	342
46	El_Jalapeno	324
47	Lord_Jord	312
48	lordpipe	306
49	dimondking777	288
49	Historical_Sand	288
49	Ezekson	288
52	obzii	276
53	Comma__	258
54	__tomato	234
55	Steelynan	232
56	IAmTheWalrus910	228
57	Malorn_Aetherius	222
57	ProfessorBee	222
57	Racengan	222
60	eviltunix	216
61	Typadopoulos	210
61	MilleGrug	210
63	Bumpy419	204
63	Inbefour	204
65	kekhon	198
66	_Virify_	192
66	FirsTimeGamingTV	192
66	Hoid_the_Roamer	192
69	07shiny	190
70	jnp_gaming	186
70	TechnoNinja64	186
72	Akoot_	180
73	Fuad_R	174
74	InfernalMound	168
74	censorsheep	168
76	MattieHD	162
76	MustaLoordi	162
78	Jovaphobic	156
78	RoskobiOne	156
78	pixelviolin	156
78	Jordan_R	156
82	AuroraValkyrie	150
82	MinttyFressh	150
82	theonlymagikarp	150
82	Chromary	150
82	Skomo	150
82	GravitySaint	150
88	_NieToksikpl_	144
88	Sky_light_KING	144
90	xxPipperDipperxx	138
90	Hiryu27	138
90	Cocoamallows	138
93	ivorico	132
94	soundad	126
94	Moofyman	126
94	Sral7	126
97	yatsuta	123
98	emrekn	120
98	CruncyIsTaken	120
98	Onennon	120
98	Eczbek	120
102	TheSeismicDuck	114
102	Soplight	114
104	Cowison	108
104	tuckerdoodle	108
104	awesomeoneme	108
104	mwrty	108
104	silverpopcorn	108
104	Warlord324	108
104	anbbang	108
111	Hisiste	106
112	prizm_	102
112	Nyxiom_	102
112	Sheldor097	102
115	chimpmunker	96
115	jacxhadow	96
115	TheOuterCore	96
115	Quotary	96
115	UrbanPlanner1978	96
120	Barlycorn	93
121	m_be9	90
121	Megarboh	90
121	MakeHistory157	90
124	Deathkob	84
124	StinkyDiplomat	84
124	OfficerAnvil	84
124	EcksD	84
128	Rumpletaezer	78
128	DTwenty	78
128	Darkgon	78
128	Xclax101	78
128	sp00ky_ghost977	78
133	slkiey	72
133	Leyna3	72
133	kyouma777	72
136	q_wq	66
136	ShedJr_	66
136	12Magner05	66
139	Flores991	60
139	Hanselhoof	60
139	ROY4LE	60
139	eiC_	60
139	Ecplosive	60
139	ToastedGamingYT	60
139	masskedman	60
139	Syropatathe	60
139	JESS_THE_RERE	60
139	The_slideV3	60
139	Th6masss	60
139	radioactv_jelly	60
139	mawileite	60
139	Njensen7	60
139	KingMatthew506	60
139	Legendosh	60
139	2blox	60
156	PhantomsGhost_	54
156	Dedalus36	54
156	MOSS000	54
156	Swexti	54
156	M_Patata	54
156	ClemenPine	54
156	Fuhrer_Teemo	54
156	BumbleBeever	54
156	TheDumbHuman	54
156	PlzNoBM	54
156	Skippeh	54
156	Nicserso	54
156	EcksDofficial	54
169	ssleepless	48
169	bloodbiter	48
169	Awyrlas	48
169	Rebytre	48
169	Rasmanden	48
169	Omar_Alone	48
169	LilcoinXX	48
169	Segotep999	48
169	Freedrik	48
178	ExtraDumb	42
178	Jackster03	42
178	RustyKedel	42
178	mariominejedi	42
178	Marbz_	42
178	wezzzi	42
178	Quincannon	42
178	LetsDoItLive	42
178	PortlyPete69	42
178	Zoeyfortnite	42
188	TheSecondLord	36
188	TheThomas69	36
188	Xalithia	36
188	SellyZ	36
188	Covalents	36
188	TheDankPlatypus	36
188	Voxin2K	36
188	Drewen24	36
188	AuroraSkies	36
188	EveryonesUncle	36
188	MasterNueve	36
188	ReyTheLegend	36
188	BlankityMcBlank	36
188	FelixPSY375	36
202	Inchef	33
202	sufjanlover	33
204	Froste131	30
204	Mowelan	30
204	Ryker	30
204	CharlieButt	30
204	andy_rex	30
204	FishyBoy3811	30
204	groofles	30
204	TheTrueClipse	30
204	NameGenerat0r	30
204	UCP_TheKingK	30
204	GlitchyPlate810	30
204	Hermanni__	30
204	HesDemonPants	30
217	teslawolf38	24
217	HollieDaNugget	24
217	Prismyst	24
217	IWorkAtIkea	24
217	Enigma0251	24
217	KGTV	24
217	gabriels543	24
217	_Boipl_	24
217	claivin	24
217	SingedBread	24
217	WyngGoy	24
217	Kyrum2169	24
217	SammiWolfGirl	24
217	Moetis	24
217	MeetTheWollo	24
232	Merv__	18
232	Ssor69	18
232	Smashic	18
232	LotusProject	18
232	Winklepicker279	18
232	MinuteMira	18
232	chipklip	18
232	ItsDeltaMC	18
232	Optiprimus	18
232	stavgod	18
232	Soul_Atreus	18
232	starbits140	18
232	PncakeUniverse	18
232	adiccting01	18
232	MusicMe1005	18
247	Louiis123	12
247	AshleeCW	12
247	Hyugo	12
247	ColeSnyder	12
247	ImpavidArcher	12
247	SaucyDark	12
247	Natty	12
247	Base_Tempest	12
247	fr0stss	12
247	Euclidoris	12
247	picardred	12
247	Blackberry1310	12
247	Notta	12
247	500am	12
247	Fullut	12
247	BilboBaggins23	12
247	Laykon	12
247	NotMeanttoChange	12
247	Kubelz	12
247	benediktine1	12
247	Bolete	12
247	HoltGrim	12
247	CollinMH06	12
247	SlayerCrypto	12
247	Arceus1975	12
247	AlexStrange	12
247	Solar_Power	12
247	kars0n	12
247	KartivGal	12
247	CaptainAvenger7	12
247	Oldham	12
247	LexMakesHistory	12
247	DemTechAlpha	12
247	Charleszetoast	12
247	EfficientC52	12
247	Strangemonkey71	12
247	Winston_Ingram	12
247	laron58	12
247	Miko_Fullbuster	12
247	FishisTTV	12
287	Crowvens	6
287	Drlzyy	6
287	Sleek_Storm_721	6
287	bigstankyy	6
287	youhjjhhhjj	6
287	DirtyDalle	6
287	Vizzoid	6
287	carloselpapii	6
287	Prodiginus	6
287	SoftSix	6
287	_Nuf	6
287	AngalexikCZ	6
287	Masssonnn	6
287	Scathra	6
