rank	username	minecraft:crafted/minecraft:glass_pane
1	joethahobo	86623
2	r123moore	16592
3	thewindmillman	15750
4	pintsizedrogue	11840
5	F_Uhre	7968
6	thescout7	7824
7	Ezekson	7712
8	EveryonesUncle	7168
9	Awyrlas	7143
10	shrimp_flips	6144
11	beeperbeeper5	5888
12	xolstoi	5312
13	pixelviolin	4784
14	TheShyPig	4688
15	Werbe	4512
16	El_Jalapeno	4416
17	Legendosh	4192
18	Sral7	4144
19	xxPipperDipperxx	4000
20	Apollo_993	3488
20	Onennon	3488
22	youhjjhhhjj	3323
23	Nicserso	3296
24	gcaisawesome	3216
25	Merv__	2995
26	_Karmaa	2784
27	Soplight	2528
28	legal_tax_evader	2352
29	AdmiralSmoke	2336
30	_Dean_123	2152
31	Historical_Sand	2128
32	MilleGrug	2096
33	Lez_	1968
34	T045RTY	1872
35	luseis	1808
36	FreakGenius	1777
37	SkateboardR6	1776
38	ImpavidArcher	1744
39	j5ylim	1680
40	vandmanden	1664
41	m_be9	1632
42	HellsSponge	1520
43	Mr_Byzantine	1488
44	diamondgolem35	1328
44	Eraxa	1328
46	EngagedGrub41	1312
47	PlasticOtari	1296
48	CoffeeNoir	1280
49	ThePoliteG	1221
50	weabis	1216
50	stellarjay	1216
52	TheThomas69	1184
52	lillips	1184
54	LeauVox4921	1136
55	SingedBread	1120
55	Kowcio_	1120
57	Vorlice	1103
58	Segotep999	1088
59	Racengan	1072
60	KarlKaek	1056
60	Mahoose	1056
60	ReSynced	1056
60	Optiprimus	1056
64	Steelynan	1040
65	Airem_Core	1024
66	TooManyDuck	1008
67	Rumpletaezer	960
68	Jovaphobic	944
68	rarrq	944
70	Tiktola01	896
71	Groovy_MoonBird	880
72	ayamefag	864
73	BumbleBeever	848
74	Whiterooster001	816
75	ShedJr_	784
75	fffMike	784
75	ConnorDanky_	784
78	Njensen7	768
79	Cortexia	752
79	fluddd	752
79	Western_1	752
82	BreadBacon	748
83	Druid95	736
84	I_Am_Mushkin	720
84	Powowowow	720
86	EMC_	704
86	ogoa	704
88	Frozil20	688
88	RebelAndroid	688
88	__tomato	688
91	Killercatty78	672
91	fw3xy74	672
93	Da_Boss_Rani	656
94	Skippeh	640
95	yheece	624
96	Rich_Kat	608
96	UltraZombie	608
98	titanlax	592
99	tuckerdoodle	576
99	Warlord324	576
99	tsitrawhy	576
99	VentiHilton	576
103	Comma__	560
103	audiocracked	560
103	SvenskaHugo	560
103	lcvezra	560
107	MinttyFressh	544
