rank	username	minecraft:crafted/minecraft:crimson_planks
1	noam464	311119
2	thewindmillman	217762
3	Hyp3rion_	54444
4	Lez_	38666
5	eitanzaki	35164
6	beeperbeeper5	31196
7	joethahobo	27284
8	Di_infiri	27004
9	HellsSponge	11512
10	12Magner05	9284
11	PigDab	9196
12	EcksD	8396
13	AdmiralSmoke	6614
14	Jimb0nat0r	6430
15	xxPipperDipperxx	4144
15	Blaiku	4144
17	Legendosh	3980
18	Lord_Jord	3784
19	shadowthemonkey	2760
20	Mr_Byzantine	2612
21	gcaisawesome	2604
22	RebelAndroid	2264
23	Snowflowe	2212
24	Awyrlas	2150
25	TheDankPlatypus	1924
26	Huwulling	1800
27	YungMaki	1788
28	Marbz_	1640
29	PlasticOtari	1628
30	Steelynan	1564
31	r123moore	1440
32	k_ce	1398
33	Mahoose	1352
34	Kakolbus	1332
35	rarrq	1324
35	Crowman1	1324
37	Skylord_Luke	1280
38	ShedJr_	1256
39	Enderxz3	1240
40	Spacewardharpy7	1212
41	Merv__	1172
42	Optiprimus	1160
43	Dakar_	1140
44	_Razaria	1136
45	RadarHz	1080
46	TheSecondLord	1048
47	Kowcio_	1020
48	Segotep999	996
49	SvenskaHugo	988
50	pintsizedrogue	928
51	AstreaTSS	888
52	himak1	876
53	hanaryheatwave	800
54	MilleGrug	784
55	Jonafrog99	768
55	Werbe	768
57	Fullut	760
58	lunathelemon	720
58	500am	720
60	Luigipunch989	716
61	anbbang	708
62	kyouma777	680
63	lillips	668
64	BiggieDawg	652
65	00000000-0000-0000-0009-01ff0c3e5e4f	640
66	fluddd	628
67	Manaateee	612
68	underscore_2	604
69	PazinGaming	568
70	EveryonesUncle	556
70	weabis	556
72	Lutres_	544
73	Winklepicker279	532
74	luseis	528
75	Rebytre	520
75	MAns_44	520
77	Syropatathe	512
77	Airem_Core	512
79	FreakGenius	484
80	pixelviolin	460
81	kekhon	448
82	Billious	372
83	LeonelSalamanca	360
84	Napoleonpancake	340
85	djancak	336
86	M_Patata	288
87	mihimihimihi	272
88	catandmoose	268
88	set67	268
88	Jackattack53	268
91	Touched_Bread	256
91	mobunni	256
93	Trixididntdie	248
93	Kubeusz2010	248
95	TheWildMateo	216
96	GOOBERGABE04	204
96	Nicserso	204
98	Hermanni__	188
99	xolstoi	156
100	0Vyp_	140
101	SpacesickPrism	136
102	Historical_Sand	132
103	CattSoup	128
104	Yatitay	124
105	Blackberry1310	120
105	MasterNueve	120
105	SammiWolfGirl	120
108	Mattesco	116
108	ConnorDanky_	116
108	diggydog67	116
111	lorpus	112
111	jnp_gaming	112
113	Alteriity	108
113	icim	108
115	zToasty69z	100
116	soundad	98
117	JitteryJared2	92
118	livingdaydreams	84
119	H0UNDFRMH3LL	80
119	King_Pancake1	80
119	thebaddruid	80
119	SingedBread	80
119	brofrickcheaters	80
124	hm947	76
124	Hpdinosaur	76
124	Elastiq	76
124	athereall	76
128	CliffEmAll	72
128	mwrty	72
130	T045RTY	68
130	fffMike	68
132	KarlKaek	64
132	jessewegottacook	64
132	drunkeeez	64
135	ITDV	60
135	GooseWithin	60
135	_i_ERROR_i_	60
138	Eon_57	56
139	Fractured_	52
140	NomadicRobin_	48
140	Gryglu583	48
140	Deathkob	48
143	teslawolf38	44
144	lizardfightclub	40
144	AuroraSkies	40
144	Druid95	40
147	BobDeBouwer1337	36
147	breadbowlgamer	36
147	trixterrx	36
147	oscminus	36
147	_Mythic____	36
152	NieToksikpl	32
152	bloodbiter	32
152	GravitySaint	32
152	Sheldor097	32
152	skrongus	32
157	diamondgolem35	28
157	SOA1RR	28
157	jacxhadow	28
157	Malware_Mara	28
157	SvenskaSara	28
157	Fuad_R	28
157	Ze_BaronKrigler	28
157	Soplight	28
157	MissCeleste7	28
166	Ev0luti0nz	24
166	6king6colt6	24
166	ExtraDumb	24
166	LexMakesHistory	24
166	guccipucci_	24
171	_Virify_	20
171	Cowison	20
171	OreTheBear	20
171	Jordan_R	20
175	BlancoFlaco	16
175	Sleepy_Time_	16
175	DarlaMeow	16
175	CalebDHawk	16
179	Wooptey	12
179	Nycteus_	12
179	Lunkuku	12
179	LazySupport00	12
179	KingMatthew506	12
184	sp00ky_ghost977	10
185	Frozil20	8
185	ActualPatbaf	8
185	burbankbuilder28	8
185	Hahaa_0	8
185	Avocadogerms	8
185	_Ruzeeq_	8
185	ZoomieZoomie	8
185	Skippeh	8
185	HesDemonPants	8
194	Jovaphobic	4
194	Groovy_MoonBird	4
194	fanofbands101	4
194	RatatJuice	4
194	MrExplorer	4
194	Tiberonus	4
194	Zythose	4
194	Bongo_Drums_	4
194	F_Uhre	4
194	gustarlep	4
194	MightyWertu	4
194	WyngGoy	4
194	ItsDeltaMC	4
194	MineMaster0012	4
194	Paguz01	4
