rank	username	minecraft:crafted/minecraft:lead
1	eitanzaki	426
2	HellsSponge	317
3	500am	230
4	pintsizedrogue	212
5	Smoke____	162
6	beeperbeeper5	150
7	thewindmillman	144
8	Kferno	128
9	Mahoose	114
10	Blackberry1310	112
11	KingMatthew506	104
12	YungMaki	102
13	bloodbiter	84
14	xxPipperDipperxx	80
15	noam464	68
16	jnp_gaming	66
17	IAmTheWalrus910	64
18	SammiWolfGirl	52
19	eviltunix	48
19	lordpipe	48
21	T045RTY	44
22	Fullut	42
22	Hyp3rion_	42
24	Spacewardharpy7	40
25	Werbe	36
25	RodSerlingCringe	36
27	mariominejedi	34
27	Akoot_	34
29	Megarboh	32
29	drompje	32
29	TechnoNinja64	32
32	mwrty	30
32	egglapras	30
32	djancak	30
35	SaucyDark	28
35	The11thDoctor	28
37	claivin	26
37	Sral7	26
39	Quaintster	24
40	H72l9w	22
40	Inbefour	22
42	Jackattack53	20
42	lillips	20
44	rarrq	18
44	ProfessorBee	18
44	_Dean_123	18
44	Frozil12	18
44	lcvezra	18
49	EveryonesUncle	16
49	MightyWertu	16
49	PlzNoBM	16
49	oxfordschool	16
49	EcksD	16
54	Hiryu27	14
54	Skylord_Luke	14
54	DarlaMeow	14
54	Eraxa	14
54	pixelviolin	14
54	Luigipunch989	14
60	PhantomsGhost_	12
60	AlphaWolfPlaysMC	12
60	Syropatathe	12
60	MyNameIsDakar	12
64	Cowison	10
64	Ardennes	10
64	slkiey	10
64	Mewar	10
64	MyNameIsJobo	10
64	Bumpy419	10
64	KeruNatsema	10
64	Rasmanden	10
64	TheTrueClipse	10
73	Alexanderjac	8
73	Jovaphobic	8
73	AuroraValkyrie	8
73	Historical_Sand	8
73	ratglock	8
73	MrExplorer	8
73	Arceus1975	8
73	Racengan	8
73	cytotoxaint	8
82	MunkaKris	6
82	Bandito_Roamer	6
82	titanlax	6
82	Ravenbie	6
82	12Magner05	6
82	TheThomas69	6
82	Smashic	6
82	Paintz	6
82	gabriels543	6
82	Voxin2K	6
82	ApophisNova	6
82	sufjanlover	6
82	Meatlaugh	6
82	El_Jalapeno	6
82	fluddd	6
82	Groundler	6
82	Barlycorn	6
82	halfbakedlasagna	6
82	Dusk_95	6
82	Hermanni__	6
82	Skippeh	6
82	MyNamaSheff	6
82	Legendosh	6
82	Powowowow	6
106	Groovy_MoonBird	4
106	Menthas	4
106	Crowvens	4
106	Paint	4
106	Drlzyy	4
106	ImpavidArcher	4
106	RatatJuice	4
106	Ryker	4
106	TAKrules	4
106	Reamdin	4
106	Myszoaz	4
106	nocturne78	4
106	picardred	4
106	Malorn_Aetherius	4
106	kekhon	4
106	zorin123	4
106	thescout7	4
106	John6970	4
106	Ecplosive	4
106	Chromary	4
106	Snowflowe	4
106	pappaberg	4
106	Hoid_the_Roamer	4
106	Rebytre	4
106	RobotMinion101	4
106	Onennon	4
106	TheShyPig	4
106	HolyVenom	4
106	Maenara	4
106	wezzzi	4
106	Jiminie	4
106	chipklip	4
106	MustaLoordi	4
106	censorsheep	4
106	Airem_Core	4
106	AvaRosey	4
106	ayamefag	4
106	07shiny	4
106	Soplight	4
106	brofrickcheaters	4
106	PortlyPete69	4
106	fffMike	4
106	Steelynan	4
106	bitsplease	4
106	Kubeusz2010	4
106	Quotary	4
106	Enderslayerxz3	4
106	vandmanden	4
106	JayToe	4
155	Batoser	2
155	weezygator	2
155	dabloons	2
155	hollowww	2
155	EMC_	2
155	bigstankyy	2
155	Hyugo	2
155	TooManyDuck	2
155	Furiuosbeast0404	2
155	HollieDaNugget	2
155	livingdaydreams	2
155	ewsophie	2
155	Natty	2
155	awesomeoneme	2
155	IWorkAtIkea	2
155	bbrothers_5	2
155	Ssor69	2
155	TheFlfthHorseman	2
155	heckface	2
155	Euclidoris	2
155	cowgirlkasia	2
155	TheSecondLord	2
155	Comma__	2
155	Nicky_H225	2
155	MattieHD	2
155	paranoid_plant	2
155	PegLegPete93	2
155	Covalents	2
155	M_Patata	2
155	CollinMH06	2
155	Marbz_	2
155	SlayerCrypto	2
155	Di_infiri	2
155	SuperPooch06	2
155	Rumpletaezer	2
155	burbankbuilder28	2
155	AnnieBathory	2
155	andy_rex	2
155	CrateOfBoxes	2
155	SokaOtaku	2
155	The_Fulgurator	2
155	selectrix	2
155	Kouridragon	2
155	PigDab	2
155	ClemenPine	2
155	theofiel	2
155	NormanFetus	2
155	Leyna3	2
155	Lord_Jord	2
155	audiocracked	2
155	XxCookiequeenxX	2
155	Russiancat1	2
155	Deodorante	2
155	LexMakesHistory	2
155	Darkgon	2
155	Karbl	2
155	_Karmaa	2
155	Deerfoot	2
155	Freak_Genius	2
155	FlashMigma	2
155	Xclax101	2
155	Cyntrical	2
155	GravitySaint	2
155	SingedBread	2
155	Fildyr	2
155	ProfessorDiaper	2
155	monky_irl	2
155	MasterNueve	2
155	Ze_BaronKrigler	2
155	Nagasaki_Riku	2
155	Soul_Atreus	2
155	KG1999	2
155	Kyrum2169	2
155	BlankityMcBlank	2
155	EtherealEspresso	2
155	ediballbearings	2
155	Western_1	2
155	CalebDHawk	2
155	TheALV	2
155	Njensen7	2
155	laron58	2
155	knzil	2
155	FelixPSY375	2
155	Lowjinx	2
155	FallenCorps	2
155	HesDemonPants	2
155	2blox	2
155	diggydog67	2
