rank	username	minecraft:crafted/minecraft:golden_shovel
1	fffMike	28
2	2Stout	20
3	Deathkob	17
4	Tommhh	6
4	picardred	6
6	cedric72	5
7	EcksDofficial	4
8	Euclidoris	3
8	IdeallyGrey	3
10	Mr_Byzantine	2
10	EkkoTraveler	2
10	BoraMC	2
10	Reamdin	2
10	Frxnkz	2
10	QueenShuvi	2
10	560cool	2
10	ayamefag	2
10	sadvavilloso	2
10	SvenskaHugo	2
10	Teebone15	2
21	Lez_	1
21	12Magner05	1
21	UncleDanDan	1
21	Avermu	1
21	SuperPooch06	1
21	YahooScreen9000	1
21	Sky_light_KING	1
21	Dusk_95	1
21	lcvezra	1
21	SammiWolfGirl	1
21	will2690	1
21	cichy096	1
21	Enderslayerxz3	1
