rank	username	minecraft:crafted/minecraft:mossy_stone_bricks
1	Smoke____	3939
2	luseis	3840
3	Zythose	2184
4	MattieHD	1728
5	El_Jalapeno	1225
6	cedric72	1135
7	layabout100	955
8	Kowcio_	861
9	Shogunite	661
10	Blackberry1310	620
11	beeperbeeper5	538
11	CattSoup	538
13	alderban107	512
14	kekhon	497
15	TheShyPig	450
16	The_Quack_Dealer	448
17	pintsizedrogue	443
18	TheSecondLord	422
19	MissCeleste7	392
20	Akoot_	386
21	Marbz_	353
22	Tommhh	337
23	Merv__	319
24	Lutres_Torane	314
25	Comma__	252
26	Eraxa	241
27	RoofTyler	231
28	binman420	211
29	Notta	192
30	Eraza	177
31	SvenskaHugo	163
32	Winklepicker279	157
33	Historical_Sand	152
33	500am	152
35	Inchef	147
36	thescout7	144
37	Skylord_Luke	128
37	Fuhrer_Teemo	128
39	ROY4LE	121
40	soundad	112
41	SquadMonster	106
42	kyouma777	103
43	XxCookiequeenxX	99
44	BilboBaggins23	98
44	thewindmillman	98
46	burbankbuilder28	93
47	PlasticOtari	86
48	Crowman1	80
49	MyNameIsJobo	79
50	Frozil20	78
50	Onennon	78
52	Reamdin	76
53	Toiton	70
54	Alteriity	66
55	KarlKaek	64
55	impossibleteapot	64
55	Bumpy419	64
55	groofles	64
55	TheSeismicDuck	64
55	_Bguette_	64
55	HELLO_I_AM_BEAR	64
55	07shiny	64
63	Barlycorn	61
64	wwwwinnebagoooo	59
65	00000000-0000-0000-0009-01ff0c3e5e4f	58
66	Enderxz3	56
67	__tomato	50
68	Jeteight	49
69	Yirtle	48
69	Jackattack53	48
71	Xalithia	47
71	Hermanni__	47
73	UCP_TheKingK	45
74	_Dean_123	44
75	Maenara	40
75	MineMaster0012	40
77	Rich_Kat	39
77	Fullut	39
77	YungMaki	39
77	Vellu21	39
81	Werbe	38
81	FreakGenius	38
83	seramalen	37
84	Mr_Byzantine	36
84	_Huge_Male_	36
86	Rumpletaezer	34
87	SuperPooch06	33
87	KingMatthew506	33
89	titanlax	32
89	iSammael	32
89	Skippeh	32
92	T045RTY	30
93	xxPipperDipperxx	29
93	DemTechAlpha	29
95	killmeiamtraitor	28
96	M_Patata	27
96	MasterNueve	27
98	Lord_Doob	22
99	Bandito_Roamer	21
100	annoyingenderman	18
101	PegLegPete93	16
101	ApophisNova	16
101	ogoa	16
101	bloomkieren	16
101	MyNamaSheff	16
101	Legendosh	16
107	godipose	12
108	Cryptacity	11
108	m_be9	11
110	PhantomsGhost_	10
111	pixelviolin	8
112	Kamflame10	4
113	_Boipl_	2
114	Kubeusz2010	1
114	ConnorDanky_	1
