rank	username	minecraft:crafted/minecraft:diamond_chestplate
1	Hyp3rion_	438
2	joethahobo	404
3	Kowcio_	71
4	Huwulling	68
5	TheBananaKat	63
6	SmashingPump	52
7	Apollo_993	41
8	mariominejedi	34
9	OreTheBear	27
10	Skylord_Luke	22
11	bloodbiter	21
12	eitanzaki	20
12	beeperbeeper5	20
14	noam464	16
15	Lez_	15
16	Z3braYTIL	14
16	F_Uhre	14
18	pintsizedrogue	13
19	Frozil20	12
19	Smashic	12
19	IamCL4SSY	12
22	Ryan_GEMS	11
22	Di_infiri	11
22	Akoot_	11
22	Enderxz3	11
26	Merv__	10
26	Mattesco	10
26	djancak	10
29	set67	9
29	hanaryheatwave	9
29	luseis	9
29	THEKINGLyric10	9
29	Soplight	9
34	TheShyPig	8
34	MAns_44	8
34	FreakGenius	8
34	Yamdalorian	8
38	ConnorDanky_	7
38	FelixPSY375	7
40	diamondgolem35	6
40	EfficientC52	6
40	fluddd	6
40	Groundler	6
40	miramyu	6
45	KarlKaek	5
45	Mahoose	5
45	kekhon	5
45	MattieHD	5
45	excelsionprime	5
45	mwrty	5
45	Karetoko	5
45	oscminus	5
45	HellsSponge	5
45	censorsheep	5
45	Airem_Core	5
45	pixelviolin	5
45	__tomato	5
45	NATE_the_HALO	5
59	H0UNDFRMH3LL	4
59	dudcreeper	4
59	I_Am_Mushkin	4
59	Hpdinosaur	4
59	Incinere	4
59	Vizzoid	4
59	Tersea_	4
59	Zedducius	4
59	Kamflame	4
59	emrekn	4
59	XboxPanda	4
59	mimbo1211	4
59	Windo_licker	4
59	ApophisNova	4
59	selectrix	4
59	Maenara	4
59	Inbefour	4
59	Blu3beast	4
59	Blaiku	4
59	Racengan	4
59	TheEnderMan548	4
59	Segotep999	4
59	hermmm_	4
59	Skippeh	4
59	MyNamaSheff	4
59	jnp_gaming	4
85	k_ce	3
85	Froste131	3
85	_stets	3
85	ImpavidArcher	3
85	SaucyDark	3
85	Ryker	3
85	MoistMicrowave	3
85	JuuustYeet	3
85	rarrq	3
85	Comma__	3
85	12Magner05	3
85	Lumien_	3
85	i2f8x4h8ro	3
85	John6970	3
85	Zaridey	3
85	ImDisconnected_	3
85	Jackattack53	3
85	Arceus1975	3
85	Nyxiom_	3
85	Bumpy419	3
85	Lord_Jord	3
85	fkGrim	3
85	sufjanlover	3
85	Fuad_R	3
85	Soap_Bender	3
85	claivin	3
85	Spacewardharpy7	3
85	Bonzaidalek	3
85	Razzgriz	3
85	yatsuta	3
85	SSytex_X	3
85	Spenduh	3
85	xzvu	3
85	Steelynan	3
85	EcksD	3
85	trexgb	3
85	h2p_emrld	3
122	seanitoo	2
122	Tobinator_007	2
122	SyK7	2
122	PhantomsGhost_	2
122	DinoDoctor_	2
122	BodaciousCake	2
122	SyntheticSurgeon	2
122	lorywithay	2
122	ActualPatbaf	2
122	Alteriity	2
122	Jackster03	2
122	MOSS000	2
122	Euclidoris	2
122	ratglock	2
122	TheSecondLord	2
122	jacxhadow	2
122	AfghaniRonnie420	2
122	Tiberonus	2
122	ProfessorBee	2
122	zorin123	2
122	_Dean_123	2
122	Fullut	2
122	NotMeanttoChange	2
122	SharpDev	2
122	ROY4LE	2
122	SPUDonSTEROIDS	2
122	Stiar	2
122	gcaisawesome	2
122	eiC_	2
122	Kubelz	2
122	CharlieButt	2
122	Kakolbus	2
122	SlayerCrypto	2
122	SuperPooch06	2
122	burbankbuilder28	2
122	Boipl	2
122	Azmodan_246	2
122	Werbe	2
122	The11thDoctor	2
122	RobotMinion101	2
122	PigDab	2
122	jewbacaman	2
122	Ender_Souls	2
122	FishyBoy3811	2
122	zToasty69z	2
122	MoonSonata1	2
122	Nicky19	2
122	parodypatient	2
122	wezzzi	2
122	EdGalbraith	2
122	audiocracked	2
122	NoChumpChange	2
122	DarkS0L	2
122	Tyrannosplart	2
122	JESS_THE_RERE	2
122	OverallConcept	2
122	DarlaMeow	2
122	The_slideV3	2
122	Quincannon	2
122	Jamstroxian	2
122	Xclax101	2
122	__Auspicious	2
122	Typadopoulos	2
122	MovingFish7	2
122	monky_irl	2
122	IAmTheWalrus910	2
122	Cocoamallows	2
122	layabout100	2
122	Kura2218	2
122	LordSpeed37	2
122	Eraxa	2
122	Kyrum2169	2
122	_i_ERROR_i_	2
122	CoryJJ	2
122	obzii	2
122	jcool7	2
122	nonarso	2
122	LeeMcGee30	2
122	MilleGrug	2
122	Ezekson	2
122	cichy096	2
122	RadarHz	2
122	Nicserso	2
122	PlasticOtari	2
122	annebolyn	2
122	The_SlideV5	2
122	diggydog67	2
209	TheBiggestFeller	1
209	MunkaKris	1
209	Bruh77	1
209	Mr_Worthless	1
209	RosaDoesMC	1
209	Louiis123	1
209	Lepthymo	1
209	SygnalX	1
209	prodby_Lyka	1
209	Jovaphobic	1
209	xExpresso	1
209	Groovy_MoonBird	1
209	lunaticusx	1
209	N00bula	1
209	Matemkas	1
209	Bandito_Roamer	1
209	Mr_Byzantine	1
209	elicobnoah	1
209	Travasaur	1
209	The_Thund	1
209	2xil2	1
209	Harotio	1
209	abramgray	1
209	RoskobiOne	1
209	Lotheburgh	1
209	Jorrdi	1
209	CloroxBleach385	1
209	Paint	1
209	jspwn	1
209	NotRemets	1
209	EKUG	1
209	teslawolf38	1
209	Niklas20114552	1
209	shineh10	1
209	KingFaenor	1
209	powercas_gamer	1
209	Tommhh	1
209	erikthebeanman	1
209	chimpmunker	1
209	Flex_Tape_Phil	1
209	kidel03	1
209	xXTheWolfmanXx	1
209	Houstonion	1
209	bigstankyy	1
209	SteelCutOats	1
209	Kegradigm	1
209	MoonWatcher19	1
209	Hyugo	1
209	ssleepless	1
209	NotP0tato	1
209	BlancoFlaco	1
209	hm947	1
209	Bad_At_Names_Guy	1
209	Killercatty78	1
209	Gundam_Steven	1
209	Tolhart	1
209	Isaac70096	1
209	Flores991	1
209	_Razaria	1
209	tuckerdoodle	1
209	Horizons86	1
209	Zippyzam	1
209	RebelAndroid	1
209	Franco093	1
209	livingdaydreams	1
209	ewsophie	1
209	NoHaHeHa	1
209	CheetohMilk	1
209	jimintyy	1
209	abdomera	1
209	C0by3llis	1
209	Batman922	1
209	Zlatovlas	1
209	Natty	1
209	TAKrules	1
209	KomputerDude	1
209	AlazelTheReal	1
209	Julmish	1
209	Sebaschan__	1
209	MmervedDK	1
209	YairZaki	1
209	peach0s	1
209	NickNonya	1
209	tsohomie	1
