rank	username	minecraft:crafted/minecraft:spruce_button
1	noam464	8959
2	mwrty	1310
3	Soplight	1293
4	Onennon	975
5	Groovy_MoonBird	368
6	WET_WET_WET	324
7	Mahoose	288
8	MAns_44	259
9	Fullut	234
10	500am	225
11	Spaghettatron	222
12	Legendosh	204
13	EMC_	199
14	cutelilreno	194
15	beeperbeeper5	187
16	luseis	184
17	M_Patata	182
17	MasterNueve	182
19	HellsSponge	180
20	eitanzaki	173
21	EveryonesUncle	159
22	FirsTimeGamingTV	155
23	Kakolbus	154
24	Chromary	153
25	ApophisNova	136
25	MyNamaSheff	136
27	XxCookiequeenxX	128
28	Merv__	124
29	Manaateee	123
30	fkGrim	120
31	Yamdalorian	116
32	Gzrdy	108
33	Spacewardharpy7	103
34	Niklas20114552	97
35	Cowison	96
36	Kowcio_	93
37	TheSecondLord	92
38	RatatJuice	90
38	kekhon	90
40	pintsizedrogue	85
40	TheShyPig	85
42	Malorn_Aetherius	83
42	Mattesco	83
44	Historical_Sand	73
45	FreakGenius	71
46	_witch_craft_	70
47	El_Jalapeno	67
48	Hyp3rion_	65
49	KingFaenor	64
50	mihimihimihi	62
51	m_be9	61
52	PazinGaming	60
52	wwwwinnebagoooo	60
54	Rebytre	59
55	_Huge_Male_	56
56	Cryptacity	52
57	12Magner05	49
57	IamCL4SSY	49
59	Lez_	48
60	craaaash	47
60	Mr_Sun15	47
62	MattieHD	45
63	k_ce	43
64	T045RTY	41
65	andy_rex	36
65	Dakar_	36
65	Biites	36
68	Winklepicker279	35
68	TheKingK_	35
68	SpacesickPrism	35
68	Nicserso	35
72	obzii	34
73	Alteriity	32
73	MOSS000	32
75	Moss_2006	28
76	Comma__	27
77	oscminus	26
78	Jackattack53	25
78	burbankbuilder28	25
78	claivin	25
81	Boipl	24
82	tuckerdoodle	23
82	Shogunite	23
82	Ezekson	23
85	thescout7	22
85	EngagedGrub41	22
87	NieToksikpl	21
88	PhantomBionic	20
88	NebulousBadger	20
